Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
2011-05-01,69,60,50,42,39,35,74,-,32,13,-,0,30.31,-,30.23,-,0.00,-
2011-05-02,63,57,50,50,45,39,83,-,60,10,-,0,30.31,-,30.13,-,0.00,-
2011-05-03,75,65,55,59,54,50,86,-,57,14,-,4,30.14,-,29.94,-,0.00,-
2011-05-04,64,55,46,57,48,38,93,-,66,14,-,0,30.03,-,29.91,-,0.50,-
2011-05-05,65,56,46,39,31,22,76,-,20,18,-,0,30.01,-,29.89,-,0.00,-
2011-05-06,72,61,50,46,36,26,60,-,27,14,-,4,29.99,-,29.84,-,0.00,-
2011-05-07,72,64,55,47,42,36,72,-,28,17,-,0,29.87,-,29.78,-,0.00,-
2011-05-08,74,63,52,48,42,37,71,-,29,13,-,0,29.96,-,29.85,-,0.00,-
2011-05-09,71,63,54,49,39,34,72,-,28,18,-,0,30.01,-,29.88,-,0.00,-
2011-05-10,75,64,53,47,40,35,77,-,29,17,-,0,30.05,-,29.94,-,0.00,-
2011-05-11,71,62,52,50,47,44,83,-,44,16,-,0,30.09,-,30.03,-,0.00,-
2011-05-12,74,63,52,51,47,43,83,-,38,14,-,0,30.1,-,29.99,-,0.00,-
2011-05-13,67,60,52,51,49,47,83,-,56,10,-,0,30.03,-,29.85,-,0.00,-
2011-05-14,64,61,57,55,53,50,87,-,67,10,-,0,29.89,-,29.76,-,0.00,-
2011-05-15,69,64,58,65,60,55,100,-,84,10,-,0,29.74,-,29.56,-,0.89,-
2011-05-16,62,58,53,61,58,53,100,-,93,13,-,0,29.87,-,29.6,-,0.17,-
2011-05-17,60,56,52,57,55,54,100,-,87,17,-,8,29.98,-,29.9,-,0.67,-
2011-05-18,67,61,54,61,58,54,100,-,87,21,-,0,30.03,-,29.93,-,2.18,-
2011-05-19,75,68,60,64,61,57,100,-,68,10,-,0,30.05,-,29.95,-,0.00,-
2011-05-20,64,61,57,61,58,55,100,-,73,6,-,0,29.99,-,29.91,-,0.24,-
2011-05-21,78,67,55,63,57,54,100,-,54,13,-,0,30.05,-,29.91,-,0.07,-
2011-05-22,58,56,54,57,54,51,100,-,86,10,-,0,30.2,-,30.04,-,0.00,-
2011-05-23,67,61,55,63,59,52,100,-,86,10,-,0,30.15,-,29.8,-,0.10,-
2011-05-24,81,74,66,70,64,59,100,-,51,13,-,0,29.81,-,29.54,-,0.00,-
2011-05-25,84,75,65,61,57,54,76,-,40,10,-,0,29.95,-,29.83,-,0.00,-
2011-05-26,78,71,64,68,64,59,90,-,67,10,-,0,29.96,-,29.86,-,0.00,-
2011-05-27,83,74,65,69,65,63,93,-,58,9,-,0,30.01,-,29.9,-,0.00,-
2011-05-28,84,76,67,68,65,63,90,-,54,13,-,0,30.09,-,29.97,-,0.00,-
2011-05-29,82,75,67,69,67,64,90,-,63,10,-,0,30.14,-,30.04,-,0.00,-
2011-05-30,86,78,70,70,68,66,93,-,51,10,-,0,30.13,-,30.01,-,0.29,-
2011-05-31,89,79,69,68,64,58,90,-,36,10,-,0,30.2,-,30.12,-,0.00,-
