Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
2010-06-01,85,76,66,68,66,64,93,-,55,20,-,0,29.91,-,29.72,-,0.00,-
2010-06-02,87,77,67,66,59,48,87,-,29,12,-,0,29.88,-,29.75,-,0.00,-
2010-06-03,87,77,67,70,65,61,93,-,45,14,-,0,29.75,-,29.65,-,0.00,-
2010-06-04,88,80,72,67,64,61,74,-,42,12,-,0,29.82,-,29.73,-,0.00,-
2010-06-05,88,82,76,68,66,64,79,-,48,16,-,4,29.77,-,29.66,-,0.00,-
2010-06-06,89,75,61,69,64,48,79,-,46,21,-,4,29.68,-,29.37,-,0.02,-
2010-06-07,75,66,57,46,42,35,67,-,27,15,-,0,29.95,-,29.68,-,0.00,-
2010-06-08,75,67,58,46,40,37,53,-,29,16,-,0,30.14,-,29.96,-,0.00,-
2010-06-09,68,63,57,58,54,42,100,-,51,13,-,0,30.17,-,29.86,-,0.89,-
2010-06-10,74,66,58,67,61,51,100,-,63,10,-,0,29.98,-,29.81,-,0.25,-
2010-06-11,71,65,58,58,55,50,90,-,63,12,-,0,30.18,-,30,-,0.00,-
2010-06-12,79,70,61,65,61,57,90,-,62,12,-,0,30.16,-,29.9,-,0.00,-
2010-06-13,78,72,65,68,65,61,93,-,64,12,-,0,29.91,-,29.83,-,0.30,-
2010-06-14,79,72,64,68,64,63,100,-,69,8,-,0,29.91,-,29.8,-,0.01,-
2010-06-15,81,73,64,65,52,42,84,-,30,13,-,0,30.15,-,29.9,-,0.00,-
2010-06-16,75,70,64,67,58,47,84,-,48,13,-,0,30.17,-,29.86,-,0.00,-
2010-06-17,74,70,65,70,62,55,97,-,57,17,-,4,30.01,-,29.78,-,0.45,-
2010-06-18,86,73,60,59,55,50,84,-,32,9,-,0,30.1,-,30.01,-,0.00,-
2010-06-19,81,73,64,66,61,48,84,-,47,13,-,0,30.12,-,29.94,-,0.00,-
2010-06-20,89,80,71,72,67,61,90,-,45,14,-,0,29.94,-,29.82,-,0.00,-
2010-06-21,87,79,71,62,59,57,68,-,39,14,-,0,30.08,-,29.93,-,0.00,-
2010-06-22,87,79,71,71,65,57,100,-,44,13,-,0,30.13,-,29.97,-,0.27,-
2010-06-23,89,80,71,69,66,63,93,-,43,15,-,0,29.98,-,29.86,-,0.00,-
2010-06-24,91,85,79,71,66,61,69,-,44,12,-,0,29.87,-,29.71,-,0.00,-
2010-06-25,87,79,71,63,61,57,73,-,40,10,-,0,30.01,-,29.88,-,0.00,-
2010-06-26,89,80,71,63,60,56,73,-,32,12,-,0,29.96,-,29.82,-,0.00,-
2010-06-27,91,81,71,70,66,62,79,-,47,12,-,0,29.82,-,29.65,-,0.00,-
2010-06-28,93,85,76,73,69,68,69,-,47,16,-,4,29.68,-,29.58,-,0.01,-
2010-06-29,91,81,70,72,62,48,82,-,34,15,-,0,29.97,-,29.68,-,0.00,-
2010-06-30,79,71,62,46,42,39,56,-,25,14,-,0,30.12,-,29.99,-,0.00,-
