Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,90.0,82.0,73.0,68.0,65.0,62.0,73.0,nan,45.0,12.0,nan,0.0,30.02,nan,nan,nan,nan,nan
2,88.0,79.0,69.0,71.0,66.0,62.0,97.0,nan,48.0,15.0,nan,0.0,29.91,nan,nan,nan,nan,nan
3,78.0,72.0,66.0,69.0,67.0,46.0,97.0,nan,45.0,12.0,nan,0.0,29.89,nan,nan,nan,nan,nan
4,75.0,66.0,57.0,47.0,41.0,36.0,57.0,nan,29.0,13.0,nan,0.0,30.12,nan,nan,nan,nan,nan
5,74.0,66.0,58.0,53.0,44.0,35.0,78.0,nan,36.0,10.0,nan,0.0,30.21,nan,nan,nan,nan,nan
6,70.0,65.0,59.0,59.0,55.0,48.0,97.0,nan,47.0,13.0,nan,0.0,30.16,nan,nan,nan,nan,nan
7,63.0,61.0,59.0,61.0,59.0,57.0,100.0,nan,90.0,20.0,nan,4.0,30.0,nan,nan,nan,nan,nan
8,77.0,67.0,57.0,63.0,58.0,54.0,93.0,nan,61.0,15.0,nan,0.0,30.05,nan,nan,nan,nan,nan
9,80.0,72.0,63.0,60.0,58.0,54.0,84.0,nan,42.0,10.0,nan,0.0,30.17,nan,nan,nan,nan,nan
10,70.0,66.0,62.0,66.0,63.0,61.0,100.0,nan,68.0,14.0,nan,0.0,30.16,nan,nan,nan,nan,nan
11,80.0,72.0,64.0,67.0,64.0,57.0,100.0,nan,58.0,16.0,nan,0.0,29.82,nan,nan,nan,nan,nan
12,76.0,71.0,65.0,59.0,52.0,49.0,70.0,nan,38.0,16.0,nan,0.0,29.85,nan,nan,nan,nan,nan
13,69.0,62.0,55.0,61.0,58.0,51.0,93.0,nan,55.0,20.0,nan,0.0,29.84,nan,nan,nan,nan,nan
14,72.0,63.0,53.0,60.0,53.0,51.0,93.0,nan,53.0,18.0,nan,0.0,29.89,nan,nan,nan,nan,nan
15,80.0,71.0,61.0,55.0,51.0,46.0,78.0,nan,32.0,12.0,nan,0.0,30.01,nan,nan,nan,nan,nan
16,80.0,73.0,65.0,64.0,56.0,48.0,73.0,nan,43.0,15.0,nan,0.0,29.99,nan,nan,nan,nan,nan
17,84.0,77.0,69.0,66.0,64.0,60.0,84.0,nan,51.0,10.0,nan,0.0,29.91,nan,nan,nan,nan,nan
18,84.0,74.0,64.0,69.0,64.0,62.0,93.0,nan,51.0,12.0,nan,0.0,29.9,nan,nan,nan,nan,nan
19,77.0,68.0,59.0,63.0,53.0,43.0,93.0,nan,31.0,13.0,nan,0.0,30.17,nan,nan,nan,nan,nan
20,80.0,71.0,62.0,57.0,53.0,48.0,67.0,nan,45.0,12.0,nan,0.0,30.27,nan,nan,nan,nan,nan
21,82.0,73.0,64.0,57.0,52.0,43.0,63.0,nan,42.0,10.0,nan,0.0,30.31,nan,nan,nan,nan,nan
22,84.0,75.0,65.0,62.0,54.0,46.0,61.0,nan,44.0,10.0,nan,0.0,30.27,nan,nan,nan,nan,nan
23,88.0,79.0,70.0,70.0,65.0,58.0,82.0,nan,51.0,14.0,nan,0.0,30.19,nan,nan,nan,nan,nan
24,92.0,83.0,74.0,70.0,67.0,60.0,87.0,nan,40.0,13.0,nan,0.0,30.1,nan,nan,nan,nan,nan
25,91.0,82.0,73.0,70.0,66.0,62.0,73.0,nan,44.0,14.0,nan,0.0,29.99,nan,nan,nan,nan,nan
26,85.0,80.0,74.0,70.0,66.0,63.0,82.0,nan,51.0,12.0,nan,0.0,29.85,nan,nan,nan,nan,nan
27,86.0,80.0,73.0,73.0,70.0,66.0,93.0,nan,57.0,13.0,nan,0.0,29.81,nan,nan,nan,nan,nan
28,85.0,79.0,73.0,71.0,69.0,63.0,93.0,nan,55.0,12.0,nan,0.0,29.59,nan,nan,nan,nan,nan
29,83.0,77.0,71.0,71.0,67.0,63.0,84.0,nan,58.0,12.0,nan,0.0,29.7,nan,nan,nan,nan,nan
30,86.0,80.0,73.0,73.0,71.0,68.0,94.0,nan,65.0,10.0,nan,0.0,29.94,nan,nan,nan,nan,nan
