Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,85.0,76.0,66.0,68.0,66.0,64.0,93.0,nan,55.0,20.0,nan,0.0,29.91,nan,nan,nan,nan,nan
2,87.0,77.0,67.0,66.0,59.0,48.0,87.0,nan,29.0,12.0,nan,0.0,29.88,nan,nan,nan,nan,nan
3,87.0,77.0,67.0,70.0,65.0,61.0,93.0,nan,45.0,14.0,nan,0.0,29.75,nan,nan,nan,nan,nan
4,88.0,80.0,72.0,67.0,64.0,61.0,74.0,nan,42.0,12.0,nan,0.0,29.82,nan,nan,nan,nan,nan
5,88.0,82.0,76.0,68.0,66.0,64.0,79.0,nan,48.0,16.0,nan,4.0,29.77,nan,nan,nan,nan,nan
6,89.0,75.0,61.0,69.0,64.0,48.0,79.0,nan,46.0,21.0,nan,4.0,29.68,nan,nan,nan,nan,nan
7,75.0,66.0,57.0,46.0,42.0,35.0,67.0,nan,27.0,15.0,nan,0.0,29.95,nan,nan,nan,nan,nan
8,75.0,67.0,58.0,46.0,40.0,37.0,53.0,nan,29.0,16.0,nan,0.0,30.14,nan,nan,nan,nan,nan
9,68.0,63.0,57.0,58.0,54.0,42.0,100.0,nan,51.0,13.0,nan,0.0,30.17,nan,nan,nan,nan,nan
10,74.0,66.0,58.0,67.0,61.0,51.0,100.0,nan,63.0,10.0,nan,0.0,29.98,nan,nan,nan,nan,nan
11,71.0,65.0,58.0,58.0,55.0,50.0,90.0,nan,63.0,12.0,nan,0.0,30.18,nan,nan,nan,nan,nan
12,79.0,70.0,61.0,65.0,61.0,57.0,90.0,nan,62.0,12.0,nan,0.0,30.16,nan,nan,nan,nan,nan
13,78.0,72.0,65.0,68.0,65.0,61.0,93.0,nan,64.0,12.0,nan,0.0,29.91,nan,nan,nan,nan,nan
14,79.0,72.0,64.0,68.0,64.0,63.0,100.0,nan,69.0,8.0,nan,0.0,29.91,nan,nan,nan,nan,nan
15,81.0,73.0,64.0,65.0,52.0,42.0,84.0,nan,30.0,13.0,nan,0.0,30.15,nan,nan,nan,nan,nan
16,75.0,70.0,64.0,67.0,58.0,47.0,84.0,nan,48.0,13.0,nan,0.0,30.17,nan,nan,nan,nan,nan
17,74.0,70.0,65.0,70.0,62.0,55.0,97.0,nan,57.0,17.0,nan,4.0,30.01,nan,nan,nan,nan,nan
18,86.0,73.0,60.0,59.0,55.0,50.0,84.0,nan,32.0,9.0,nan,0.0,30.1,nan,nan,nan,nan,nan
19,81.0,73.0,64.0,66.0,61.0,48.0,84.0,nan,47.0,13.0,nan,0.0,30.12,nan,nan,nan,nan,nan
20,89.0,80.0,71.0,72.0,67.0,61.0,90.0,nan,45.0,14.0,nan,0.0,29.94,nan,nan,nan,nan,nan
21,87.0,79.0,71.0,62.0,59.0,57.0,68.0,nan,39.0,14.0,nan,0.0,30.08,nan,nan,nan,nan,nan
22,87.0,79.0,71.0,71.0,65.0,57.0,100.0,nan,44.0,13.0,nan,0.0,30.13,nan,nan,nan,nan,nan
23,89.0,80.0,71.0,69.0,66.0,63.0,93.0,nan,43.0,15.0,nan,0.0,29.98,nan,nan,nan,nan,nan
24,91.0,85.0,79.0,71.0,66.0,61.0,69.0,nan,44.0,12.0,nan,0.0,29.87,nan,nan,nan,nan,nan
25,87.0,79.0,71.0,63.0,61.0,57.0,73.0,nan,40.0,10.0,nan,0.0,30.01,nan,nan,nan,nan,nan
26,89.0,80.0,71.0,63.0,60.0,56.0,73.0,nan,32.0,12.0,nan,0.0,29.96,nan,nan,nan,nan,nan
27,91.0,81.0,71.0,70.0,66.0,62.0,79.0,nan,47.0,12.0,nan,0.0,29.82,nan,nan,nan,nan,nan
28,93.0,85.0,76.0,73.0,69.0,68.0,69.0,nan,47.0,16.0,nan,4.0,29.68,nan,nan,nan,nan,nan
29,91.0,81.0,70.0,72.0,62.0,48.0,82.0,nan,34.0,15.0,nan,0.0,29.97,nan,nan,nan,nan,nan
30,79.0,71.0,62.0,46.0,42.0,39.0,56.0,nan,25.0,14.0,nan,0.0,30.12,nan,nan,nan,nan,nan
