May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,68.0,60.0,51.0,57.0,52.0,43.0,100.0,nan,63.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,53.0,52.0,50.0,50.0,48.0,46.0,96.0,nan,83.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,58.0,54.0,50.0,54.0,52.0,48.0,100.0,nan,86.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,73.0,64.0,54.0,62.0,56.0,53.0,100.0,nan,68.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,63.0,60.0,56.0,58.0,55.0,53.0,100.0,nan,78.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,65.0,59.0,53.0,55.0,49.0,41.0,93.0,nan,51.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,65.0,59.0,52.0,51.0,44.0,40.0,69.0,nan,51.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,66.0,61.0,55.0,57.0,53.0,46.0,93.0,nan,67.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,69.0,63.0,57.0,64.0,62.0,57.0,100.0,nan,78.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,64.0,58.0,52.0,57.0,47.0,33.0,100.0,nan,36.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,68.0,59.0,49.0,38.0,33.0,27.0,61.0,nan,22.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,78.0,66.0,53.0,46.0,38.0,31.0,54.0,nan,21.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,81.0,72.0,63.0,57.0,50.0,45.0,66.0,nan,32.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,70.0,67.0,63.0,60.0,58.0,56.0,84.0,nan,63.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,65.0,63.0,61.0,64.0,61.0,57.0,100.0,nan,84.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,78.0,70.0,61.0,67.0,63.0,56.0,100.0,nan,57.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,72.0,63.0,53.0,54.0,42.0,38.0,67.0,nan,31.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,72.0,63.0,54.0,49.0,42.0,38.0,67.0,nan,31.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,80.0,67.0,53.0,50.0,44.0,39.0,72.0,nan,26.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,78.0,68.0,57.0,50.0,43.0,33.0,64.0,nan,23.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,62.0,60.0,57.0,62.0,58.0,51.0,100.0,nan,67.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,70.0,65.0,60.0,63.0,61.0,59.0,100.0,nan,78.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,75.0,70.0,64.0,66.0,64.0,61.0,100.0,nan,73.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,66.0,64.0,62.0,65.0,63.0,62.0,100.0,nan,93.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,75.0,68.0,60.0,67.0,64.0,60.0,100.0,nan,79.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,84.0,76.0,67.0,72.0,69.0,65.0,100.0,nan,65.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,81.0,73.0,64.0,70.0,64.0,58.0,100.0,nan,52.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,89.0,80.0,71.0,70.0,68.0,66.0,93.0,nan,52.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,89.0,79.0,68.0,73.0,70.0,62.0,90.0,nan,55.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,76.0,72.0,68.0,67.0,65.0,60.0,93.0,nan,64.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,79.0,73.0,66.0,64.0,54.0,46.0,84.0,nan,36.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
