May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,69.0,58.0,47.0,43.0,36.0,24.0,71.0,nan,27.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,72.0,61.0,49.0,44.0,40.0,36.0,80.0,nan,27.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,66.0,58.0,49.0,43.0,39.0,33.0,80.0,nan,34.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,69.0,59.0,48.0,44.0,41.0,37.0,86.0,nan,35.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,64.0,55.0,46.0,43.0,39.0,35.0,76.0,nan,36.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,69.0,58.0,46.0,51.0,46.0,42.0,86.0,nan,52.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,74.0,63.0,52.0,57.0,52.0,46.0,83.0,nan,53.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,63.0,59.0,55.0,60.0,57.0,51.0,97.0,nan,78.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,68.0,61.0,54.0,58.0,55.0,52.0,93.0,nan,67.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,79.0,69.0,59.0,55.0,54.0,53.0,80.0,nan,42.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,70.0,66.0,61.0,63.0,61.0,56.0,100.0,nan,78.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,70.0,61.0,51.0,61.0,39.0,24.0,93.0,nan,24.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,58.0,52.0,45.0,32.0,27.0,23.0,58.0,nan,29.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,61.0,52.0,42.0,33.0,26.0,18.0,70.0,nan,19.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,69.0,62.0,54.0,57.0,45.0,28.0,73.0,nan,38.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,79.0,71.0,62.0,56.0,50.0,41.0,78.0,nan,32.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,72.0,65.0,58.0,41.0,39.0,34.0,51.0,nan,29.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,65.0,61.0,56.0,54.0,48.0,39.0,80.0,nan,43.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,59.0,57.0,55.0,57.0,55.0,48.0,100.0,nan,67.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,79.0,69.0,58.0,65.0,60.0,57.0,100.0,nan,64.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,86.0,77.0,68.0,68.0,65.0,64.0,84.0,nan,55.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,78.0,69.0,59.0,68.0,63.0,56.0,90.0,nan,68.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,80.0,72.0,64.0,70.0,66.0,63.0,100.0,nan,67.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,65.0,55.0,45.0,63.0,54.0,40.0,100.0,nan,76.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,54.0,50.0,45.0,44.0,41.0,37.0,92.0,nan,59.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
26,66.0,57.0,48.0,38.0,35.0,31.0,66.0,nan,30.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,73.0,62.0,51.0,39.0,36.0,32.0,54.0,nan,23.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,68.0,62.0,56.0,57.0,52.0,40.0,100.0,nan,43.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,82.0,70.0,58.0,66.0,61.0,57.0,100.0,nan,58.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,90.0,81.0,72.0,66.0,63.0,59.0,73.0,nan,38.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,90.0,83.0,75.0,68.0,63.0,56.0,69.0,nan,35.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
