Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,83.0,75.0,66.0,65.0,53.0,48.0,79.0,nan,33.0,13.0,nan,0.0,30.16,nan,nan,nan,nan,nan
2,78.0,70.0,62.0,60.0,57.0,52.0,78.0,nan,54.0,12.0,nan,0.0,30.16,nan,nan,nan,nan,nan
3,70.0,67.0,63.0,63.0,60.0,57.0,93.0,nan,73.0,8.0,nan,0.0,30.1,nan,nan,nan,nan,nan
4,83.0,75.0,66.0,67.0,64.0,60.0,93.0,nan,55.0,9.0,nan,0.0,30.05,nan,nan,nan,nan,nan
5,71.0,68.0,65.0,67.0,64.0,60.0,93.0,nan,81.0,18.0,nan,0.0,29.91,nan,nan,nan,nan,nan
6,83.0,74.0,65.0,64.0,60.0,54.0,93.0,nan,39.0,13.0,nan,0.0,29.69,nan,nan,nan,nan,nan
7,85.0,75.0,64.0,62.0,55.0,47.0,73.0,nan,29.0,17.0,nan,0.0,29.62,nan,nan,nan,nan,nan
8,67.0,60.0,52.0,53.0,47.0,40.0,93.0,nan,43.0,17.0,nan,6.0,29.8,nan,nan,nan,nan,nan
9,71.0,63.0,54.0,42.0,38.0,34.0,61.0,nan,26.0,21.0,nan,4.0,29.93,nan,nan,nan,nan,nan
10,77.0,67.0,57.0,38.0,37.0,34.0,47.0,nan,23.0,14.0,nan,0.0,30.04,nan,nan,nan,nan,nan
11,88.0,74.0,59.0,66.0,55.0,38.0,65.0,nan,39.0,15.0,nan,0.0,30.06,nan,nan,nan,nan,nan
12,83.0,73.0,62.0,65.0,53.0,39.0,62.0,nan,22.0,21.0,nan,4.0,29.81,nan,nan,nan,nan,nan
13,74.0,66.0,57.0,50.0,46.0,43.0,62.0,nan,41.0,14.0,nan,0.0,29.89,nan,nan,nan,nan,nan
14,79.0,69.0,58.0,48.0,45.0,41.0,62.0,nan,28.0,10.0,nan,0.0,29.97,nan,nan,nan,nan,nan
15,85.0,74.0,62.0,57.0,49.0,41.0,60.0,nan,23.0,12.0,nan,0.0,29.99,nan,nan,nan,nan,nan
16,74.0,70.0,65.0,65.0,62.0,56.0,93.0,nan,54.0,8.0,nan,0.0,29.84,nan,nan,nan,nan,nan
17,78.0,71.0,63.0,60.0,54.0,42.0,87.0,nan,36.0,13.0,nan,0.0,30.12,nan,nan,nan,nan,nan
18,87.0,74.0,61.0,56.0,50.0,47.0,60.0,nan,29.0,9.0,nan,0.0,30.29,nan,nan,nan,nan,nan
19,88.0,77.0,66.0,60.0,55.0,49.0,73.0,nan,36.0,12.0,nan,0.0,30.31,nan,nan,nan,nan,nan
20,84.0,74.0,64.0,64.0,61.0,58.0,87.0,nan,48.0,12.0,nan,0.0,30.24,nan,nan,nan,nan,nan
21,87.0,80.0,72.0,63.0,55.0,44.0,60.0,nan,28.0,15.0,nan,0.0,29.85,nan,nan,nan,nan,nan
22,86.0,77.0,68.0,57.0,49.0,44.0,61.0,nan,27.0,17.0,nan,0.0,29.92,nan,nan,nan,nan,nan
23,83.0,76.0,69.0,65.0,57.0,49.0,79.0,nan,41.0,8.0,nan,0.0,29.91,nan,nan,nan,nan,nan
24,84.0,76.0,67.0,64.0,56.0,49.0,84.0,nan,37.0,15.0,nan,0.0,30.11,nan,nan,nan,nan,nan
25,86.0,75.0,64.0,59.0,55.0,48.0,84.0,nan,34.0,9.0,nan,0.0,30.21,nan,nan,nan,nan,nan
26,87.0,77.0,67.0,60.0,55.0,46.0,68.0,nan,37.0,10.0,nan,0.0,30.23,nan,nan,nan,nan,nan
27,83.0,75.0,67.0,68.0,61.0,49.0,97.0,nan,44.0,12.0,nan,0.0,30.13,nan,nan,nan,nan,nan
28,76.0,72.0,68.0,70.0,67.0,65.0,97.0,nan,79.0,12.0,nan,0.0,30.03,nan,nan,nan,nan,nan
29,83.0,75.0,67.0,67.0,62.0,55.0,93.0,nan,40.0,10.0,nan,0.0,29.94,nan,nan,nan,nan,nan
30,85.0,76.0,67.0,61.0,57.0,53.0,68.0,nan,34.0,8.0,nan,0.0,30.03,nan,nan,nan,nan,nan
