Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,74.0,68.0,62.0,61.0,54.0,46.0,93.0,nan,49.0,15.0,nan,4.0,30.01,nan,nan,nan,nan,nan
2,75.0,68.0,61.0,66.0,60.0,46.0,100.0,nan,48.0,13.0,nan,0.0,29.78,nan,nan,nan,nan,nan
3,76.0,67.0,58.0,57.0,51.0,46.0,73.0,nan,38.0,17.0,nan,0.0,29.77,nan,nan,nan,nan,nan
4,63.0,59.0,54.0,56.0,52.0,44.0,93.0,nan,60.0,16.0,nan,0.0,29.82,nan,nan,nan,nan,nan
5,64.0,58.0,51.0,53.0,48.0,44.0,83.0,nan,56.0,12.0,nan,0.0,29.95,nan,nan,nan,nan,nan
6,72.0,63.0,54.0,57.0,52.0,49.0,86.0,nan,44.0,9.0,nan,0.0,30.0,nan,nan,nan,nan,nan
7,78.0,68.0,58.0,58.0,54.0,49.0,93.0,nan,38.0,9.0,nan,0.0,29.98,nan,nan,nan,nan,nan
8,81.0,71.0,60.0,55.0,53.0,45.0,84.0,nan,30.0,12.0,nan,0.0,29.94,nan,nan,nan,nan,nan
9,78.0,71.0,64.0,59.0,55.0,50.0,66.0,nan,48.0,9.0,nan,0.0,29.99,nan,nan,nan,nan,nan
10,84.0,75.0,66.0,65.0,62.0,59.0,93.0,nan,51.0,10.0,nan,0.0,30.19,nan,nan,nan,nan,nan
11,77.0,71.0,64.0,62.0,58.0,48.0,87.0,nan,38.0,14.0,nan,0.0,30.26,nan,nan,nan,nan,nan
12,72.0,69.0,65.0,66.0,64.0,60.0,100.0,nan,78.0,13.0,nan,0.0,30.18,nan,nan,nan,nan,nan
13,69.0,67.0,64.0,65.0,63.0,61.0,100.0,nan,76.0,14.0,nan,0.0,30.08,nan,nan,nan,nan,nan
14,77.0,70.0,62.0,63.0,59.0,55.0,93.0,nan,54.0,15.0,nan,0.0,30.26,nan,nan,nan,nan,nan
15,80.0,70.0,60.0,59.0,53.0,48.0,84.0,nan,38.0,10.0,nan,0.0,30.3,nan,nan,nan,nan,nan
16,80.0,70.0,60.0,57.0,53.0,47.0,84.0,nan,35.0,12.0,nan,0.0,30.33,nan,nan,nan,nan,nan
17,73.0,66.0,58.0,57.0,55.0,52.0,78.0,nan,57.0,9.0,nan,0.0,30.25,nan,nan,nan,nan,nan
18,72.0,65.0,57.0,56.0,53.0,51.0,86.0,nan,59.0,9.0,nan,0.0,30.18,nan,nan,nan,nan,nan
19,77.0,70.0,63.0,65.0,60.0,55.0,84.0,nan,69.0,9.0,nan,0.0,30.2,nan,nan,nan,nan,nan
20,94.0,82.0,70.0,71.0,68.0,66.0,90.0,nan,46.0,12.0,nan,0.0,30.08,nan,nan,nan,nan,nan
21,94.0,87.0,79.0,69.0,66.0,64.0,69.0,nan,39.0,13.0,nan,0.0,29.94,nan,nan,nan,nan,nan
22,90.0,80.0,70.0,72.0,69.0,65.0,100.0,nan,47.0,14.0,nan,0.0,29.87,nan,nan,nan,nan,nan
23,84.0,77.0,69.0,69.0,61.0,49.0,100.0,nan,33.0,12.0,nan,0.0,29.98,nan,nan,nan,nan,nan
24,84.0,75.0,66.0,66.0,57.0,49.0,68.0,nan,31.0,9.0,nan,0.0,30.02,nan,nan,nan,nan,nan
25,74.0,68.0,62.0,69.0,63.0,51.0,93.0,nan,64.0,10.0,nan,0.0,29.88,nan,nan,nan,nan,nan
26,72.0,65.0,58.0,51.0,48.0,45.0,67.0,nan,38.0,16.0,nan,0.0,29.78,nan,nan,nan,nan,nan
27,81.0,77.0,72.0,51.0,48.0,45.0,65.0,nan,30.0,15.0,nan,0.0,29.86,nan,nan,nan,nan,nan
28,88.0,78.0,68.0,60.0,55.0,51.0,57.0,nan,34.0,12.0,nan,0.0,29.84,nan,nan,nan,nan,nan
29,93.0,81.0,68.0,72.0,67.0,59.0,97.0,nan,41.0,12.0,nan,0.0,29.72,nan,nan,nan,nan,nan
30,93.0,85.0,77.0,68.0,60.0,54.0,62.0,nan,28.0,14.0,nan,0.0,29.79,nan,nan,nan,nan,nan
