Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,58.0,55.0,51.0,55.0,53.0,49.0,93.0,nan,86.0,16.0,nan,5.0,30.16,nan,nan,nan,nan,nan
2,55.0,53.0,50.0,52.0,49.0,47.0,93.0,nan,83.0,14.0,nan,4.0,30.21,nan,nan,nan,nan,nan
3,70.0,61.0,52.0,52.0,49.0,45.0,93.0,nan,40.0,10.0,nan,0.0,30.28,nan,nan,nan,nan,nan
4,65.0,60.0,54.0,50.0,48.0,46.0,77.0,nan,60.0,12.0,nan,0.0,30.29,nan,nan,nan,nan,nan
5,70.0,63.0,55.0,59.0,54.0,47.0,93.0,nan,66.0,9.0,nan,0.0,30.2,nan,nan,nan,nan,nan
6,76.0,68.0,60.0,62.0,54.0,31.0,97.0,nan,22.0,9.0,nan,0.0,30.09,nan,nan,nan,nan,nan
7,74.0,65.0,55.0,49.0,42.0,31.0,55.0,nan,32.0,12.0,nan,0.0,30.22,nan,nan,nan,nan,nan
8,79.0,71.0,63.0,65.0,58.0,50.0,72.0,nan,54.0,15.0,nan,0.0,30.11,nan,nan,nan,nan,nan
9,83.0,76.0,68.0,68.0,63.0,54.0,90.0,nan,39.0,15.0,nan,0.0,29.79,nan,nan,nan,nan,nan
10,82.0,74.0,65.0,58.0,56.0,54.0,68.0,nan,37.0,13.0,nan,0.0,29.9,nan,nan,nan,nan,nan
11,89.0,81.0,72.0,67.0,64.0,58.0,68.0,nan,47.0,14.0,nan,0.0,29.93,nan,nan,nan,nan,nan
12,88.0,81.0,73.0,71.0,64.0,56.0,65.0,nan,43.0,13.0,nan,0.0,29.99,nan,nan,nan,nan,nan
13,86.0,79.0,72.0,69.0,59.0,46.0,65.0,nan,30.0,14.0,nan,0.0,30.02,nan,nan,nan,nan,nan
14,88.0,77.0,66.0,64.0,59.0,56.0,93.0,nan,34.0,10.0,nan,0.0,30.09,nan,nan,nan,nan,nan
15,83.0,74.0,64.0,72.0,66.0,61.0,97.0,nan,69.0,17.0,nan,0.0,30.07,nan,nan,nan,nan,nan
16,79.0,72.0,65.0,71.0,66.0,60.0,87.0,nan,60.0,8.0,nan,0.0,29.97,nan,nan,nan,nan,nan
17,82.0,74.0,66.0,60.0,58.0,55.0,78.0,nan,42.0,12.0,nan,0.0,30.17,nan,nan,nan,nan,nan
18,71.0,68.0,64.0,60.0,58.0,54.0,81.0,nan,66.0,8.0,nan,0.0,30.14,nan,nan,nan,nan,nan
19,87.0,78.0,68.0,67.0,62.0,57.0,84.0,nan,47.0,10.0,nan,0.0,30.0,nan,nan,nan,nan,nan
20,75.0,70.0,64.0,66.0,59.0,50.0,90.0,nan,49.0,15.0,nan,0.0,30.11,nan,nan,nan,nan,nan
21,88.0,80.0,71.0,72.0,69.0,66.0,93.0,nan,50.0,16.0,nan,0.0,29.86,nan,nan,nan,nan,nan
22,87.0,79.0,70.0,69.0,61.0,56.0,87.0,nan,37.0,13.0,nan,0.0,29.99,nan,nan,nan,nan,nan
23,90.0,83.0,75.0,73.0,68.0,59.0,79.0,nan,52.0,16.0,nan,4.0,29.95,nan,nan,nan,nan,nan
24,84.0,76.0,68.0,61.0,54.0,49.0,63.0,nan,36.0,13.0,nan,0.0,30.04,nan,nan,nan,nan,nan
25,83.0,74.0,65.0,60.0,52.0,47.0,64.0,nan,33.0,13.0,nan,0.0,30.08,nan,nan,nan,nan,nan
26,81.0,75.0,69.0,61.0,58.0,54.0,73.0,nan,42.0,16.0,nan,0.0,30.08,nan,nan,nan,nan,nan
27,71.0,65.0,58.0,60.0,56.0,48.0,97.0,nan,47.0,16.0,nan,0.0,30.13,nan,nan,nan,nan,nan
28,73.0,68.0,62.0,64.0,61.0,58.0,93.0,nan,61.0,18.0,nan,0.0,29.86,nan,nan,nan,nan,nan
29,76.0,70.0,63.0,57.0,55.0,53.0,72.0,nan,46.0,12.0,nan,0.0,29.95,nan,nan,nan,nan,nan
30,82.0,75.0,68.0,68.0,61.0,56.0,70.0,nan,42.0,14.0,nan,0.0,29.99,nan,nan,nan,nan,nan
