May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,80.0,64.0,48.0,38.0,30.0,21.0,66.0,nan,12.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,90.0,78.0,65.0,43.0,36.0,32.0,31.0,nan,13.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,92.0,81.0,70.0,69.0,53.0,41.0,90.0,nan,29.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,84.0,78.0,72.0,64.0,62.0,51.0,73.0,nan,40.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,76.0,69.0,61.0,48.0,41.0,33.0,46.0,nan,21.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,66.0,61.0,56.0,51.0,48.0,40.0,80.0,nan,43.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,77.0,66.0,54.0,52.0,50.0,46.0,89.0,nan,36.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,74.0,64.0,53.0,50.0,48.0,46.0,77.0,nan,44.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,77.0,66.0,54.0,51.0,47.0,39.0,89.0,nan,34.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,66.0,60.0,54.0,60.0,53.0,51.0,93.0,nan,63.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,73.0,67.0,60.0,59.0,41.0,28.0,97.0,nan,20.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,63.0,57.0,51.0,53.0,50.0,37.0,96.0,nan,46.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,54.0,53.0,52.0,52.0,50.0,47.0,100.0,nan,77.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,71.0,62.0,52.0,59.0,54.0,51.0,100.0,nan,63.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,88.0,75.0,61.0,67.0,63.0,57.0,100.0,nan,50.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,64.0,60.0,56.0,59.0,57.0,55.0,100.0,nan,73.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,71.0,64.0,56.0,64.0,59.0,55.0,100.0,nan,73.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,67.0,62.0,56.0,64.0,48.0,32.0,93.0,nan,37.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,56.0,53.0,49.0,55.0,51.0,35.0,100.0,nan,47.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,81.0,69.0,56.0,69.0,61.0,53.0,100.0,nan,54.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,79.0,69.0,58.0,53.0,49.0,43.0,86.0,nan,29.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,68.0,62.0,55.0,58.0,54.0,46.0,100.0,nan,52.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,81.0,70.0,59.0,63.0,57.0,48.0,97.0,nan,35.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,83.0,73.0,63.0,53.0,46.0,36.0,67.0,nan,20.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,86.0,76.0,65.0,61.0,53.0,48.0,58.0,nan,29.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
26,89.0,81.0,72.0,69.0,65.0,63.0,74.0,nan,43.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,80.0,68.0,56.0,67.0,58.0,51.0,100.0,nan,62.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,69.0,63.0,56.0,59.0,54.0,51.0,86.0,nan,66.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,89.0,76.0,63.0,66.0,63.0,58.0,93.0,nan,40.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,78.0,70.0,61.0,65.0,61.0,56.0,93.0,nan,61.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,68.0,66.0,63.0,66.0,62.0,57.0,100.0,nan,76.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
