,bus,rail_boardings,total_rides,is_sat,is_holi,avg_precip,temp_mid,temp_rng,temp_bs,hum_mid,hum_rng,wind_mid,wind_rng,pres_mid,pres_rng
2001-02-20,1035400,610284,1645684,0,0,0.0,28.0,18,1.0,60.0,50,10.5,13,30.240000000000002,0.360000000000003
2001-02-21,986212,600133,1586345,0,0,0.0,15.5,11,0.5,46.0,44,10.0,12,30.509999999999998,0.23999999999999844
2001-02-22,986399,606302,1592701,0,0,0.0,24.5,7,-0.5,75.5,25,13.5,17,30.205,0.2900000000000027
2001-02-23,1024235,602352,1626587,0,0,0.01,24.5,11,-0.5,65.5,29,11.5,9,30.28,0.3000000000000007
2001-02-24,505193,246795,751988,1,0,1.25,43.5,27,-1.5,82.0,36,15.5,15,29.884999999999998,0.870000000000001
2001-02-25,351637,172132,523769,0,1,0.02,41.5,27,0.5,77.0,26,26.0,20,29.835,0.9100000000000001
2001-02-26,1009329,609256,1618585,0,0,0.0,32.5,17,-0.5,68.5,31,7.0,14,30.38,0.14000000000000057
2001-02-27,1000630,609305,1609935,0,0,0.0,24.5,11,-0.5,59.5,45,10.0,6,30.475,0.07000000000000028
2001-02-28,990416,610013,1600429,0,0,0.0,20.0,16,0.0,47.5,35,10.0,10,30.255000000000003,0.370000000000001
2001-03-01,1051889,618440,1670329,0,0,0.0,31.5,21,0.5,57.5,49,13.5,13,29.935,0.28999999999999915
2001-03-02,1062234,611578,1673812,0,0,0.0,37.0,10,0.0,78.5,27,10.5,21,29.77,0.0799999999999983
2001-03-03,678870,286786,965656,1,0,0.0,37.0,22,0.0,73.0,54,4.0,8,29.84,0.0799999999999983
2001-03-04,385978,178292,564270,0,1,0.0,30.0,10,0.0,73.5,31,12.0,24,29.965,0.25
2001-03-05,863086,549759,1412845,0,0,0.0,23.5,9,0.5,67.0,52,16.5,19,30.105,0.14999999999999858
2001-03-06,1013530,603561,1617091,0,0,0.0,27.5,13,0.5,60.5,17,12.0,12,30.205,0.08999999999999986
2001-03-07,1028462,616666,1645128,0,0,0.0,34.5,21,-0.5,52.5,39,13.0,16,30.095,0.19000000000000128
2001-03-08,1000946,611371,1612317,0,0,0.0,31.5,7,0.5,63.0,34,12.0,10,29.979999999999997,0.16000000000000014
2001-03-09,1038368,606672,1645040,0,0,0.0,32.0,14,0.0,58.0,34,7.5,15,30.125,0.09000000000000341
2001-03-10,633472,283251,916723,1,0,0.01,37.5,25,0.5,65.0,56,12.0,24,29.96,0.3000000000000007
2001-03-11,410081,188228,598309,0,1,0.08,34.5,9,-0.5,73.0,40,12.0,10,30.035,0.3100000000000023
2001-03-12,979411,588857,1568268,0,0,0.17,41.5,17,0.5,81.5,29,14.5,15,29.755,0.5700000000000003
2001-03-13,1017685,611347,1629032,0,0,0.0,37.5,11,0.5,74.0,36,16.5,15,29.645,0.3500000000000014
2001-03-14,1025283,619417,1644700,0,0,0.03,40.5,21,-0.5,70.5,37,10.0,12,29.86,0.10000000000000142
2001-03-15,960667,596612,1557279,0,0,0.4,41.5,9,0.5,85.5,23,14.5,17,29.83,0.05999999999999872
2001-03-16,923613,583359,1506972,0,0,0.12,33.5,3,0.5,90.5,19,16.0,20,29.939999999999998,0.2799999999999976
2001-03-17,602158,343893,946051,1,0,0.08,32.5,9,-0.5,72.0,48,9.0,18,30.235,0.370000000000001
2001-03-18,412146,194257,606403,0,1,0.0,35.0,20,0.0,63.0,58,5.0,10,30.47,0.08000000000000185
2001-03-19,1021700,602469,1624169,0,0,0.0,38.0,16,0.0,57.0,44,6.0,12,30.41,0.10000000000000142
2001-03-20,1034388,618340,1652728,0,0,0.0,42.0,16,0.0,55.5,41,9.0,8,30.28,0.16000000000000014
2001-03-21,1029332,616764,1646096,0,0,0.0,43.0,20,0.0,51.0,54,8.5,17,30.155,0.07000000000000028
2001-03-22,1030741,617815,1648556,0,0,0.0,45.0,24,0.0,62.0,54,8.0,16,30.08,0.13999999999999702
2001-03-23,1030685,605605,1636290,0,0,0.0,41.5,13,0.5,64.0,42,11.5,13,30.07,0.14000000000000057
2001-03-24,604139,277028,881167,1,0,0.0,30.0,14,0.0,49.5,25,17.5,11,30.16,0.240000000000002
2001-03-25,348817,170742,519559,0,1,0.0,22.0,6,0.0,61.5,49,14.0,8,30.25,0.0799999999999983
2001-03-26,989316,583176,1572492,0,0,0.0,25.0,16,0.0,53.0,30,9.5,9,30.285,0.07000000000000028
2001-03-27,1017904,600914,1618818,0,0,0.0,31.5,11,0.5,56.5,29,8.0,8,30.310000000000002,0.09999999999999787
2001-03-28,1007699,601999,1609698,0,0,0.0,39.0,22,0.0,49.0,46,11.0,12,30.165,0.2699999999999996
2001-03-29,1020098,605027,1625125,0,0,0.01,41.5,9,0.5,72.5,33,9.0,10,30.04,0.05999999999999872
2001-03-30,978244,590403,1568647,0,0,0.0,44.5,11,-0.5,62.5,39,10.0,10,29.96,0.10000000000000142
2001-03-31,626223,280950,907173,1,0,0.06,46.0,18,0.0,68.0,42,11.0,22,29.805,0.21000000000000085
2001-04-01,417716,192717,610433,0,1,0.0,40.0,16,0.0,57.5,43,12.5,17,29.88,0.21999999999999886
2001-04-02,1023629,611098,1634727,0,0,0.0,49.0,26,-1.0,48.5,37,7.5,15,29.97,0.14000000000000057
2001-04-03,1057275,613993,1671268,0,0,0.0,49.0,24,-7.0,70.5,25,14.0,18,30.155,0.3099999999999987
2001-04-04,1047634,625348,1672982,0,0,0.0,46.0,14,0.0,59.5,39,9.5,11,30.355,0.10999999999999943
2001-04-05,973118,606535,1579653,0,0,0.4,52.0,22,0.0,63.0,68,7.0,14,30.065,0.4299999999999997
2001-04-06,1015046,611352,1626398,0,0,0.25,55.0,18,0.0,91.0,18,7.5,15,29.884999999999998,0.16999999999999815
2001-04-07,642265,297971,940236,1,0,0.0,64.0,36,0.0,59.5,81,14.0,28,29.689999999999998,0.2799999999999976
2001-04-08,437035,200720,637755,0,1,0.0,65.0,34,-2.0,51.5,45,11.0,10,29.814999999999998,0.15000000000000213
2001-04-09,998290,596418,1594708,0,0,0.27,54.5,17,-0.5,76.0,28,11.5,13,29.805,0.10999999999999943
2001-04-10,1024817,613311,1638128,0,0,0.0,50.0,8,0.0,83.0,14,10.0,6,29.9,0.120000000000001
2001-04-11,985906,606764,1592670,0,0,0.53,65.0,24,0.0,75.5,37,14.5,17,29.634999999999998,0.389999999999997
2001-04-12,991795,608691,1600486,0,0,0.0,57.0,18,1.0,60.5,21,20.5,25,29.685,0.6099999999999994
2001-04-13,865706,527116,1392822,0,0,0.0,58.5,33,-5.5,68.0,52,6.0,12,29.925,0.4299999999999997
2001-04-14,628526,279728,908254,1,0,0.0,56.0,20,-1.0,51.0,58,6.5,13,29.994999999999997,0.129999999999999
2001-04-15,364972,163191,528163,0,1,0.7,51.0,12,-1.0,62.5,49,8.5,17,29.9,0.14000000000000057
2001-04-16,859713,564614,1424327,0,0,0.0,37.5,15,0.5,70.0,46,16.5,17,30.055,0.13000000000000256
2001-04-17,877834,583859,1461693,0,0,0.0,37.5,15,0.5,61.5,61,16.0,24,30.235,0.28999999999999915
2001-04-18,907539,599600,1507139,0,0,0.0,42.5,25,-0.5,53.5,51,6.0,12,30.25,0.21999999999999886
2001-04-19,917518,596505,1514023,0,0,0.0,55.0,28,-1.0,39.5,27,12.0,12,30.015,0.23000000000000043
2001-04-20,922082,590659,1512741,0,0,0.35,65.5,25,0.5,69.5,39,16.0,12,29.83,0.13999999999999702
2001-04-21,603039,293701,896740,1,0,0.45,71.5,17,-0.5,69.5,49,16.5,19,29.905,0.34999999999999787
2001-04-22,384255,185526,569781,0,1,0.19,67.0,26,0.0,74.0,40,11.5,13,30.07,0.28000000000000114
2001-04-23,979788,590446,1570234,0,0,0.05,59.0,28,1.0,67.5,29,24.0,18,29.785,0.3100000000000023
2001-04-24,1031150,618513,1649663,0,0,0.0,53.0,18,-1.0,47.0,42,14.0,16,30.11,0.3000000000000007
2001-04-25,977794,609447,1587241,0,0,0.0,64.0,32,-10.0,53.5,31,9.5,9,30.25,0.0799999999999983
2001-04-26,1028140,624617,1652757,0,0,0.0,62.5,29,-0.5,48.5,35,14.0,14,30.095,0.23000000000000043
2001-04-27,1034472,610723,1645195,0,0,0.0,57.0,14,1.0,46.0,42,10.0,20,30.145,0.28999999999999915
2001-04-28,624970,289747,914717,1,0,0.0,61.5,31,-6.5,52.5,37,7.0,14,30.365000000000002,0.16999999999999815
2001-04-29,423377,200002,623379,0,1,0.0,64.0,26,-1.0,34.5,37,10.5,9,30.34,0.20000000000000284
2001-04-30,1008390,600424,1608814,0,0,0.0,72.0,30,0.0,36.5,23,10.5,11,30.104999999999997,0.2699999999999996
2001-05-01,1067496,632996,1700492,0,0,0.0,75.0,18,0.0,48.0,36,15.5,17,29.89,0.16000000000000014
2001-05-02,1034088,627894,1661982,0,0,0.0,73.0,18,0.0,49.0,36,15.0,10,29.925,0.14999999999999858
2001-05-03,1065048,634792,1699840,0,0,0.0,75.5,23,-0.5,45.5,35,10.0,12,30.065,0.10999999999999943
2001-05-04,1046692,621087,1667779,0,0,0.0,57.5,13,-0.5,79.0,30,11.5,11,30.16,0.10000000000000142
2001-05-05,637957,307025,944982,1,0,0.03,59.5,13,0.5,64.5,47,12.5,9,30.145,0.13000000000000256
2001-05-06,417760,206450,624210,0,1,0.14,69.5,25,-2.5,59.5,57,11.0,22,30.03,0.17999999999999972
2001-05-07,1007381,598338,1605719,0,0,0.22,63.5,13,0.5,70.5,47,11.5,13,30.07,0.17999999999999972
2001-05-08,1044379,621604,1665983,0,0,0.0,63.5,27,0.5,53.5,53,16.0,20,30.115000000000002,0.15000000000000213
2001-05-09,1041324,619928,1661252,0,0,0.0,69.5,25,0.5,49.0,50,12.0,12,30.06,0.17999999999999972
2001-05-10,1018705,614067,1632772,0,0,0.1,74.0,24,-1.0,52.0,42,13.5,17,29.89,0.259999999999998
2001-05-11,1004068,600295,1604363,0,0,0.62,56.0,20,4.0,81.0,32,9.0,18,29.990000000000002,0.3000000000000007
2001-05-12,649008,289167,938175,1,0,0.01,50.0,14,0.0,58.0,50,9.0,18,30.25,0.1599999999999966
2001-05-13,422270,200996,623266,0,1,0.0,55.0,28,-1.0,51.0,56,6.5,13,30.259999999999998,0.13999999999999702
2001-05-14,963027,581644,1544671,0,0,0.11,60.0,16,-1.0,54.0,42,11.5,23,30.025,0.33000000000000185
2001-05-15,1035512,633053,1668565,0,0,0.0,75.5,31,-0.5,61.5,39,12.0,12,29.73,0.240000000000002
2001-05-16,995884,627978,1623862,0,0,0.09,78.5,25,-0.5,68.0,40,8.5,17,29.615000000000002,0.16999999999999815
2001-05-17,1006118,628882,1635000,0,0,0.04,76.5,21,-1.5,62.5,49,7.5,15,29.72,0.14000000000000057
