,bus,rail_boardings,total_rides,is_sat,is_holi,avg_precip,temp_mid,temp_rng,temp_bs,hum_mid,hum_rng,wind_mid,wind_rng,pres_mid,pres_rng
2002-06-29,636792,369705,1006497,1,0,0.0,78.0,20,0.0,58.0,34,5.0,10,30.08,0.08000000000000185
2002-06-30,441101,309418,750519,0,1,0.0,83.0,20,0.0,64.5,35,8.0,8,30.04,0.0799999999999983
2002-07-01,948966,601509,1550475,0,0,0.0,85.0,16,0.0,59.5,45,11.0,12,30.049999999999997,0.05999999999999872
2002-07-02,955991,621541,1577532,0,0,0.0,86.0,18,-1.0,51.5,39,11.0,14,30.05,0.10000000000000142
2002-07-03,1004276,785621,1789897,0,0,0.0,86.5,19,-0.5,55.5,37,9.5,11,29.985,0.10999999999999943
2002-07-04,441126,279204,720330,0,1,0.02,82.0,18,-1.0,65.5,27,10.5,13,30.035,0.14999999999999858
2002-07-05,807831,500685,1308516,0,0,0.0,76.0,10,0.0,55.0,40,11.0,8,30.15,0.09999999999999787
2002-07-06,597877,324834,922711,1,0,0.0,77.5,13,0.5,60.5,35,6.0,12,30.2,0.0799999999999983
2002-07-07,445916,256321,702237,0,1,0.0,81.0,18,-1.0,56.5,33,5.0,10,30.16,0.10000000000000142
2002-07-08,929870,575055,1504925,0,0,0.0,85.0,20,-1.0,53.0,18,12.5,15,30.015,0.18999999999999773
2002-07-09,919623,579348,1498971,0,0,0.91,77.5,17,-1.5,79.5,29,11.5,13,30.0,0.14000000000000057
2002-07-10,941513,591208,1532721,0,0,0.0,74.0,10,0.0,67.0,42,12.5,11,30.095,0.10999999999999943
2002-07-11,969657,594276,1563933,0,0,0.0,70.5,9,-0.5,57.0,32,13.5,9,30.155,0.08999999999999986
2002-07-12,963191,618865,1582056,0,0,0.0,71.0,14,-1.0,56.0,44,6.5,13,30.045,0.11000000000000298
2002-07-13,624850,324416,949266,1,0,0.0,71.5,19,0.5,57.0,54,7.5,15,29.97,0.03999999999999915
2002-07-14,433166,239865,673031,0,1,0.0,75.0,26,-1.0,50.5,49,7.5,15,29.995,0.07000000000000028
2002-07-15,949705,608087,1557792,0,0,0.0,77.5,23,-0.5,54.0,42,6.0,12,30.045,0.06999999999999673
2002-07-16,946077,621832,1567909,0,0,0.0,82.0,18,0.0,51.0,40,6.0,12,30.055,0.07000000000000028
2002-07-17,931752,595378,1527130,0,0,0.0,81.5,17,-0.5,55.0,26,5.0,10,30.0,0.11999999999999744
2002-07-18,942643,596288,1538931,0,0,0.0,82.0,18,0.0,62.5,45,7.0,14,29.91,0.11999999999999744
2002-07-19,960153,612971,1573124,0,0,0.0,77.5,9,0.5,66.0,46,7.0,14,29.905,0.10999999999999943
2002-07-20,635657,339113,974770,1,0,0.0,80.0,22,0.0,57.5,31,6.0,12,29.96,0.10000000000000142
2002-07-21,412477,229156,641633,0,1,0.0,89.0,18,0.0,59.0,34,10.0,8,29.875,0.14999999999999858
2002-07-22,900537,595784,1496321,0,0,0.0,84.5,13,-0.5,62.5,37,9.0,10,29.895,0.13000000000000256
2002-07-23,955084,623156,1578240,0,0,0.0,74.0,10,0.0,56.0,40,15.0,12,30.09,0.21999999999999886
2002-07-24,945502,617518,1563020,0,0,0.0,73.0,10,0.0,51.5,49,9.0,8,30.17,0.09999999999999787
2002-07-25,931679,608190,1539869,0,0,0.0,74.5,13,-0.5,67.5,27,8.0,8,30.009999999999998,0.22000000000000242
2002-07-26,942389,590601,1532990,0,0,0.0,80.0,14,0.0,68.0,28,7.0,14,29.86,0.0799999999999983
2002-07-27,595484,327980,923464,1,0,0.26,81.0,20,0.0,74.5,39,12.5,15,29.810000000000002,0.23999999999999844
2002-07-28,414913,215040,629953,0,1,0.0,82.5,11,-0.5,69.0,16,11.5,9,29.77,0.11999999999999744
2002-07-29,893147,565324,1458471,0,0,0.09,80.5,11,-0.5,72.5,33,10.5,11,29.82,0.14000000000000057
2002-07-30,934322,614162,1548484,0,0,0.0,80.5,21,-0.5,64.0,46,8.0,8,29.97,0.120000000000001
2002-07-31,912632,603775,1516407,0,0,0.0,85.5,21,-1.5,56.5,53,8.0,8,29.965,0.13000000000000256
2002-08-01,969159,607964,1577123,0,0,0.0,86.0,18,-1.0,61.0,30,11.5,11,29.865000000000002,0.08999999999999986
2002-08-02,1004199,612785,1616984,0,0,0.02,77.0,10,1.0,63.0,32,14.0,20,30.015,0.21000000000000085
2002-08-03,674990,325279,1000269,1,0,0.0,79.5,21,-1.5,62.0,28,5.0,10,30.105,0.13000000000000256
2002-08-04,451144,234620,685764,0,1,0.17,82.0,18,-1.0,68.0,44,7.5,15,30.060000000000002,0.08000000000000185
2002-08-05,941406,569627,1511033,0,0,0.07,78.0,12,0.0,72.0,36,11.0,22,30.095,0.129999999999999
2002-08-06,955681,592722,1548403,0,0,0.0,70.5,9,-0.5,57.5,25,15.0,12,30.215000000000003,0.08999999999999986
2002-08-07,940727,585313,1526040,0,0,0.0,69.5,11,0.5,51.5,33,11.5,11,30.259999999999998,0.05999999999999872
2002-08-08,945096,589840,1534936,0,0,0.0,73.0,14,0.0,56.0,40,9.0,10,30.244999999999997,0.08999999999999986
2002-08-09,968109,592938,1561047,0,0,0.0,74.0,20,-1.0,56.5,45,8.0,8,30.159999999999997,0.16000000000000014
2002-08-10,667701,340015,1007716,1,0,0.0,78.0,24,0.0,52.5,41,8.5,9,30.009999999999998,0.120000000000001
2002-08-11,437332,230526,667858,0,1,0.0,83.0,20,0.0,53.0,40,10.0,10,29.97,0.08000000000000185
2002-08-12,908503,579800,1488303,0,0,0.0,81.0,20,0.0,60.0,48,11.5,11,29.924999999999997,0.08999999999999986
2002-08-13,871791,578996,1450787,0,0,0.75,79.0,20,0.0,70.0,48,12.5,25,29.855,0.1700000000000017
2002-08-14,893558,586107,1479665,0,0,0.0,73.0,10,-1.0,69.0,42,8.5,7,29.86,0.10000000000000142
2002-08-15,920323,599375,1519698,0,0,0.0,77.0,22,-1.0,70.0,48,13.0,16,29.89,0.120000000000001
2002-08-16,903666,592393,1496059,0,0,0.08,75.5,9,-0.5,75.0,38,6.5,13,29.975,0.16999999999999815
2002-08-17,644076,340569,984645,1,0,0.0,79.0,18,1.0,72.0,38,16.0,16,29.855,0.1700000000000017
2002-08-18,490868,285298,776166,0,1,0.0,71.0,22,-1.0,53.5,53,5.0,10,29.935000000000002,0.129999999999999
2002-08-19,847798,545503,1393301,0,0,0.18,69.0,12,0.0,70.0,48,7.0,14,29.905,0.28999999999999915
2002-08-20,918696,586734,1505430,0,0,0.0,67.0,16,0.0,65.0,50,7.5,15,30.105,0.10999999999999943
2002-08-21,904673,572717,1477390,0,0,0.0,77.5,23,-0.5,65.5,21,12.5,15,30.015,0.18999999999999773
2002-08-22,829797,533893,1363690,0,0,2.7,75.5,13,0.5,83.5,21,12.0,24,29.985,0.14999999999999858
2002-08-23,903292,570031,1473323,0,0,0.76,73.5,9,-0.5,86.0,16,5.0,10,29.94,0.14000000000000057
2002-08-24,625725,308392,934117,1,0,0.0,75.0,12,-1.0,74.0,40,4.5,9,29.93,0.10000000000000142
2002-08-25,441076,227484,668560,0,1,0.0,75.0,18,-1.0,69.0,36,6.5,13,29.975,0.05000000000000071
2002-08-26,920546,572967,1493513,0,0,0.0,76.0,12,0.0,67.5,45,8.0,8,30.015,0.05000000000000071
2002-08-27,923644,596884,1520528,0,0,0.0,77.0,14,0.0,65.5,49,10.5,11,30.115000000000002,0.11000000000000298
2002-08-28,922170,590348,1512518,0,0,0.0,74.0,10,0.0,67.5,39,10.5,7,30.189999999999998,0.08000000000000185
2002-08-29,808555,532322,1340877,0,0,0.0,72.5,13,-0.5,67.0,34,9.5,9,30.15,0.0400000000000027
2002-08-30,987793,608056,1595849,0,0,0.0,74.0,16,0.0,64.0,46,7.0,14,30.215,0.07000000000000028
2002-08-31,666152,345777,1011929,1,0,0.0,76.0,16,-1.0,58.5,41,6.0,12,30.235,0.129999999999999
2002-09-01,477226,257229,734455,0,1,0.0,78.0,18,0.0,60.0,38,5.0,10,30.075000000000003,0.19000000000000128
2002-09-02,381482,201136,582618,0,1,0.41,76.0,16,-1.0,72.0,36,12.0,12,29.91,0.28000000000000114
2002-09-03,1106907,625970,1732877,0,0,0.0,75.5,13,0.5,57.0,52,9.5,11,29.935,0.25
2002-09-04,1087925,634665,1722590,0,0,0.0,73.5,21,0.5,50.5,39,6.0,12,30.130000000000003,0.120000000000001
2002-09-05,1083538,634950,1718488,0,0,0.0,75.0,18,-1.0,57.5,47,7.5,15,30.145000000000003,0.08999999999999986
2002-09-06,1082951,634809,1717760,0,0,0.0,76.0,24,0.0,59.5,55,8.5,7,30.065,0.10999999999999943
2002-09-07,643335,318886,962221,1,0,0.0,77.5,27,-1.5,53.0,44,6.5,13,30.1,0.08000000000000185
2002-09-08,439942,218716,658658,0,1,0.0,81.0,24,0.0,50.5,35,6.0,12,30.145000000000003,0.08999999999999986
2002-09-09,1071206,630453,1701659,0,0,0.0,82.0,18,0.0,60.5,41,5.0,10,30.090000000000003,0.16000000000000014
2002-09-10,1050992,640278,1691270,0,0,0.08,78.5,25,-0.5,62.0,52,13.0,18,29.92,0.16000000000000014
2002-09-11,1045640,631554,1677194,0,0,0.0,67.0,16,1.0,54.5,41,9.5,11,30.045,0.11000000000000298
2002-09-12,1059762,645114,1704876,0,0,0.0,68.5,23,-0.5,53.0,48,4.5,9,30.064999999999998,0.08999999999999986
2002-09-13,1064345,655102,1719447,0,0,0.0,69.5,21,-1.5,54.5,41,6.0,12,29.994999999999997,0.129999999999999
2002-09-14,642689,327322,970011,1,0,0.0,74.5,23,-0.5,47.5,39,6.0,12,29.884999999999998,0.11000000000000298
2002-09-15,421429,221310,642739,0,1,0.0,64.5,15,1.5,67.0,32,9.0,18,30.03,0.16000000000000014
2002-09-16,1049667,617848,1667515,0,0,0.0,66.0,26,0.0,58.0,56,5.0,10,30.09,0.10000000000000142
2002-09-17,1064546,644444,1708990,0,0,0.0,68.5,23,-0.5,55.0,40,6.0,12,29.97,0.1999999999999993
2002-09-18,1039162,643763,1682925,0,0,0.3,73.0,18,0.0,74.5,39,10.0,10,29.765,0.1700000000000017
2002-09-19,1038608,640884,1679492,0,0,0.25,76.5,11,-0.5,77.0,34,13.5,13,29.65,0.120000000000001
2002-09-20,1019280,626196,1645476,0,0,0.46,68.5,9,-0.5,84.0,12,12.5,9,29.655,0.16999999999999815
2002-09-21,674983,330553,1005536,1,0,0.0,70.5,21,-0.5,59.5,61,11.5,11,29.875,0.25
2002-09-22,416973,215142,632115,0,1,0.22,59.5,17,-1.5,58.5,61,10.0,20,30.09,0.17999999999999972
2002-09-23,1055515,637798,1693313,0,0,0.0,58.5,25,-0.5,52.5,49,8.5,17,30.15,0.14000000000000057
2002-09-24,1055580,664958,1720538,0,0,0.0,53.0,18,-1.0,60.5,25,6.5,13,30.285,0.1700000000000017
2002-09-25,1064437,666345,1730782,0,0,0.0,61.5,27,-1.5,55.0,56,6.0,12,30.205,0.23000000000000043
2002-09-26,1057421,662347,1719768,0,0,0.0,66.0,22,-1.0,57.5,47,6.5,13,29.91,0.29999999999999716
2002-09-27,1058970,651373,1710343,0,0,0.0,60.5,15,-0.5,79.0,30,11.5,11,29.855,0.3100000000000023
2002-09-28,632188,338847,971035,1,0,0.0,63.5,23,0.5,63.5,39,7.0,6,30.085,0.129999999999999
2002-09-29,421618,232441,654059,0,1,0.15,74.0,24,0.0,68.5,51,10.0,12,30.04,0.1999999999999993
2002-09-30,1048696,634065,1682761,0,0,0.0,76.0,20,0.0,49.0,48,15.0,14,29.915,0.14999999999999858
2002-10-01,1098830,653561,1752391,0,0,0.0,75.5,13,0.5,65.0,26,9.5,11,29.93,0.0799999999999983
2002-10-02,1059836,648879,1708715,0,0,0.2,68.0,10,0.0,83.5,21,10.0,10,29.990000000000002,0.08000000000000185
2002-10-03,1100107,655905,1756012,0,0,0.0,62.0,4,0.0,83.5,13,10.0,12,29.96,0.1999999999999993
2002-10-04,1024955,626723,1651678,0,0,1.04,64.0,18,1.0,76.5,47,18.0,24,29.66,0.46000000000000085
2002-10-05,672805,338207,1011012,1,0,0.0,56.0,16,0.0,59.0,36,10.0,12,30.065,0.25
2002-10-06,423210,223075,646285,0,1,0.0,59.5,23,0.5,53.0,32,15.0,20,29.955,0.33000000000000185
2002-10-07,1086922,641838,1728760,0,0,0.0,49.0,12,0.0,52.0,44,10.5,21,30.195,0.21000000000000085
2002-10-08,1074824,650758,1725582,0,0,0.0,56.0,20,0.0,46.5,39,10.0,10,30.145,0.14999999999999858
2002-10-09,1064324,648974,1713298,0,0,0.0,59.0,18,-2.0,70.0,40,5.0,10,30.130000000000003,0.08000000000000185
2002-10-10,1072954,655002,1727956,0,0,0.0,62.5,21,-0.5,66.0,56,6.0,12,30.145,0.07000000000000028
2002-10-11,1074197,658585,1732782,0,0,0.0,63.0,20,0.0,62.0,48,5.0,10,30.1,0.09999999999999787
2002-10-12,612527,332781,945308,1,0,0.18,62.0,22,0.0,77.5,33,13.5,19,30.08,0.22000000000000242
2002-10-13,407917,323103,731020,0,1,0.0,44.5,11,-0.5,54.5,45,8.0,16,30.325,0.25
2002-10-14,806818,542057,1348875,0,0,0.0,46.5,21,-0.5,47.0,42,7.5,15,30.235,0.39000000000000057
2002-10-15,1068455,653527,1721982,0,0,0.0,49.5,21,0.5,57.0,22,9.0,8,29.965,0.10999999999999943
2002-10-16,1036205,645880,1682085,0,0,0.04,43.5,13,0.5,66.0,40,6.5,13,30.025,0.07000000000000028
2002-10-17,1030300,645590,1675890,0,0,0.03,41.0,8,0.0,73.0,26,6.5,13,29.994999999999997,0.08999999999999986
2002-10-18,1059316,643043,1702359,0,0,0.03,50.0,22,0.0,72.0,42,13.0,18,29.880000000000003,0.3000000000000007
2002-10-19,654965,333538,988503,1,0,0.0,46.0,18,1.0,62.0,28,11.5,11,29.93,0.3200000000000003
2002-10-20,424767,222167,646934,0,1,0.0,43.0,20,-1.0,60.5,43,6.0,12,30.125,0.09000000000000341
2002-10-21,1057968,632256,1690224,0,0,0.0,48.0,18,0.0,59.5,35,6.0,12,30.11,0.16000000000000014
2002-10-22,1047657,645112,1692769,0,0,0.0,47.0,12,-1.0,64.5,35,10.0,10,30.225,0.2900000000000027
2002-10-23,1013066,635553,1648619,0,0,0.02,43.5,5,0.5,72.5,19,12.5,11,30.39,0.10000000000000142
2002-10-24,1014798,642039,1656837,0,0,0.05,33.5,65,-9.5,75.5,29,11.0,6,30.32,0.17999999999999972
2002-10-25,1022926,632981,1655907,0,0,0.28,45.0,6,-1.0,86.5,21,5.0,10,30.095,0.28999999999999915
2002-10-26,626185,331030,957215,1,0,0.0,42.5,7,1.5,78.0,30,8.5,9,30.08,0.23999999999999844
2002-10-27,413385,217556,630941,0,1,0.0,41.5,9,-0.5,69.0,40,6.0,12,30.245,0.10999999999999943
2002-10-28,1041265,628314,1669579,0,0,0.01,46.0,8,0.0,69.5,31,12.5,9,30.155,0.08999999999999986
2002-10-29,1025525,636398,1661923,0,0,0.0,44.0,4,0.0,68.5,11,18.0,10,30.04,0.120000000000001
2002-10-30,1036745,639993,1676738,0,0,0.0,43.5,5,0.5,68.0,28,11.5,11,30.1,0.120000000000001
2002-10-31,1000155,635297,1635452,0,0,0.0,41.5,17,0.5,67.0,30,11.0,12,30.195,0.07000000000000028
2002-11-01,1069031,628183,1697214,0,0,0.0,32.5,13,-0.5,60.5,35,12.0,8,30.255,0.10999999999999943
2002-11-02,647400,313106,960506,1,0,0.0,37.0,18,0.0,56.5,35,8.5,17,30.134999999999998,0.08999999999999986
2002-11-03,418620,211506,630126,0,1,0.0,36.5,17,-0.5,69.5,47,8.0,16,30.075,0.14999999999999858
2002-11-04,1072235,633872,1706107,0,0,0.0,38.5,13,-0.5,72.5,39,6.0,12,30.085,0.1700000000000017
2002-11-05,994530,613203,1607733,0,0,0.2,37.5,3,0.5,86.0,14,7.0,14,29.905,0.41000000000000014
2002-11-06,1045767,644971,1690738,0,0,0.0,39.0,6,0.0,76.5,19,8.0,16,29.965,0.3100000000000023
2002-11-07,1065889,664817,1730706,0,0,0.0,44.5,25,-0.5,68.0,48,11.5,23,29.97,0.35999999999999943
2002-11-08,995294,646927,1642221,0,0,0.0,55.0,18,0.0,53.5,29,17.5,9,29.7,0.14000000000000057
2002-11-09,630142,329264,959406,1,0,0.1,58.0,10,0.0,77.5,31,16.0,12,29.475,0.3099999999999987
2002-11-10,419858,220134,639992,0,1,0.01,52.0,20,2.0,78.5,23,8.5,17,29.424999999999997,0.3099999999999987
2002-11-11,780558,519021,1299579,0,0,0.02,38.5,5,-0.5,81.5,23,8.5,17,29.905,0.6099999999999994
2002-11-12,1029700,637242,1666942,0,0,0.0,39.5,7,0.5,68.5,21,8.5,17,30.195,0.13000000000000256
2002-11-13,1035982,635224,1671206,0,0,0.0,45.5,19,0.5,63.0,38,10.5,13,30.009999999999998,0.2799999999999976
2002-11-14,956533,625010,1581543,0,0,0.23,48.0,14,0.0,69.0,48,10.0,12,29.895,0.10999999999999943
2002-11-15,1042694,630267,1672961,0,0,0.01,38.5,5,0.5,71.0,36,15.5,11,30.095,0.28999999999999915
2002-11-16,600110,314114,914224,1,0,0.0,34.0,4,0.0,63.5,23,11.0,6,30.175,0.1700000000000017
2002-11-17,393692,204651,598343,0,1,0.04,33.5,7,0.5,77.0,46,8.5,9,30.085,0.07000000000000028
2002-11-18,1018831,619368,1638199,0,0,0.1,37.0,18,0.0,78.5,29,9.5,11,30.015,0.25
2002-11-19,1058349,638719,1697068,0,0,0.01,43.5,19,0.5,69.5,45,13.0,10,30.0,0.17999999999999972
2002-11-20,1033748,630680,1664428,0,0,0.0,49.0,12,0.0,60.0,26,7.0,6,29.965,0.1700000000000017
2002-11-21,983825,621257,1605082,0,0,0.16,39.5,9,0.5,70.0,38,14.5,19,29.815,0.25
2002-11-22,1030889,618981,1649870,0,0,0.0,33.5,7,0.5,64.0,22,10.0,20,30.04,0.17999999999999972
2002-11-23,631388,353053,984441,1,0,0.0,38.0,16,0.0,64.5,17,13.0,14,29.985,0.18999999999999773
2002-11-24,393321,202257,595578,0,1,0.0,33.0,12,0.0,71.5,43,9.0,10,30.165,0.21000000000000085
2002-11-25,992101,602628,1594729,0,0,0.0,25.5,9,0.5,67.0,22,7.5,5,30.36,0.17999999999999972
2002-11-26,959679,611673,1571352,0,0,0.01,24.5,7,1.5,78.5,29,6.0,12,30.38,0.10000000000000142
2002-11-27,946620,584367,1530987,0,0,0.01,23.5,13,0.5,73.5,39,6.0,12,30.384999999999998,0.08999999999999986
2002-11-28,297477,145995,443472,0,1,0.0,26.0,18,0.0,73.5,25,10.5,13,30.08,0.5199999999999996
2002-11-29,676405,367260,1043665,0,0,0.0,41.0,10,0.0,60.5,19,17.5,11,29.619999999999997,0.26000000000000156
2002-11-30,525319,255100,780419,1,0,0.0,29.5,23,0.5,66.0,42,19.0,22,29.84,0.6799999999999997
2002-12-01,362192,187150,549342,0,1,0.0,25.0,22,0.0,50.5,27,14.0,14,30.0,0.35999999999999943
2002-12-02,966808,598780,1565588,0,0,0.01,30.0,12,0.0,76.0,48,10.5,21,30.095,0.5899999999999999
2002-12-03,1007666,622071,1629737,0,0,0.06,21.0,8,0.0,71.5,33,8.5,17,30.535,0.25
2002-12-04,1003459,610601,1614060,0,0,0.0,23.5,9,0.5,71.5,19,4.5,9,30.47,0.28000000000000114
2002-12-05,1005218,607822,1613040,0,0,0.0,21.0,10,1.0,66.0,12,11.0,10,30.245,0.14999999999999858
2002-12-06,1018401,602004,1620405,0,0,0.0,20.0,20,0.0,68.0,32,10.5,11,30.16,0.240000000000002
2002-12-07,627855,318034,945889,1,0,0.0,35.0,14,0.0,67.5,29,12.0,12,30.085,0.14999999999999858
2002-12-08,396717,202070,598787,0,1,0.0,24.5,11,-0.5,57.5,41,9.0,10,30.4,0.4599999999999973
2002-12-09,994622,575116,1569738,0,0,0.0,23.0,14,0.0,56.5,29,6.0,12,30.435000000000002,0.3099999999999987
2002-12-10,1030456,601656,1632112,0,0,0.0,34.5,19,-0.5,52.5,21,6.5,5,30.200000000000003,0.16000000000000014
2002-12-11,1021640,603601,1625241,0,0,0.0,35.0,18,0.0,50.0,38,4.5,9,30.085,0.07000000000000028
2002-12-12,1015667,602683,1618350,0,0,0.0,33.5,7,0.5,82.0,14,9.0,8,30.134999999999998,0.08999999999999986
2002-12-13,1020480,600852,1621332,0,0,0.0,37.0,4,0.0,85.0,16,7.5,15,29.965,0.2700000000000031
2002-12-14,653848,325639,979487,1,0,0.0,34.5,5,-0.5,78.5,17,11.0,6,29.94,0.17999999999999972
2002-12-15,435253,216394,651647,0,1,0.0,39.5,13,0.5,67.5,27,14.0,16,29.935,0.25
2002-12-16,1003932,577286,1581218,0,0,0.0,30.5,5,-0.5,65.5,13,15.5,11,30.105,0.13000000000000256
2002-12-17,985528,583328,1568856,0,0,0.05,32.5,9,-0.5,81.0,30,16.0,8,29.985,0.3100000000000023
2002-12-18,939870,571921,1511791,0,0,1.03,46.0,18,0.0,90.0,20,17.5,21,29.715,0.21000000000000085
2002-12-19,1020038,590493,1610531,0,0,0.0,45.0,18,1.0,77.5,25,12.5,9,29.625,0.22999999999999687
2002-12-20,984913,565925,1550838,0,0,0.0,33.0,6,0.0,74.0,26,18.0,16,29.58,0.18000000000000327
2002-12-21,614025,284719,898744,1,0,0.0,32.5,5,-0.5,67.5,17,13.5,17,29.75,0.17999999999999972
2002-12-22,404210,194323,598533,0,1,0.0,28.0,4,0.0,68.0,14,15.0,20,29.89,0.3200000000000003
2002-12-23,827316,467245,1294561,0,0,0.0,28.5,9,-0.5,55.0,40,13.5,17,30.1,0.14000000000000057
2002-12-24,621673,319916,941589,0,0,0.0,25.5,9,0.5,81.0,24,12.5,17,29.93,0.4200000000000017
2002-12-25,237547,96846,334393,0,1,0.0,27.0,6,0.0,80.5,23,13.5,13,29.98,0.46000000000000085
2002-12-26,661076,372317,1033393,0,0,0.0,22.5,9,-0.5,75.5,19,12.0,10,30.305,0.14999999999999858
2002-12-27,744896,424575,1169471,0,0,0.02,24.0,12,0.0,80.5,17,10.0,6,30.235,0.21000000000000085
2002-12-28,528087,236606,764693,1,0,0.0,30.0,6,0.0,85.5,15,7.0,14,30.0,0.240000000000002
2002-12-29,380197,181081,561278,0,1,0.0,33.5,17,-1.5,79.0,28,7.0,14,29.975,0.34999999999999787
2002-12-30,773707,469806,1243513,0,0,0.0,48.5,23,1.5,84.5,31,14.0,14,29.744999999999997,0.3099999999999987
2002-12-31,792623,456865,1249488,0,0,0.0,35.5,7,0.5,58.0,36,6.0,12,29.995,0.14999999999999858
2003-01-01,325478,169985,495463,0,1,0.0,31.5,3,0.5,70.5,9,17.5,11,30.064999999999998,0.08999999999999986
2003-01-02,757781,484840,1242621,0,0,0.0,29.0,2,0.0,76.0,20,11.5,11,30.025,0.10999999999999943
2003-01-03,861580,515985,1377565,0,0,0.0,29.0,10,0.0,70.0,32,8.5,9,30.055,0.13000000000000256
2003-01-04,570941,255217,826158,1,0,0.1,27.0,12,0.0,76.0,34,6.5,13,29.985,0.23000000000000043
2003-01-05,377813,177159,554972,0,1,0.05,31.5,3,0.5,93.5,13,6.0,12,30.0,0.28000000000000114
2003-01-06,982617,574868,1557485,0,0,0.01,29.5,9,0.5,72.5,41,11.5,13,30.275,0.34999999999999787
2003-01-07,982542,580676,1563218,0,0,0.0,35.0,20,0.0,71.0,22,15.0,16,29.995,0.6499999999999986
2003-01-08,1011812,592758,1604570,0,0,0.0,45.5,17,0.5,61.5,29,12.0,12,29.525,0.34999999999999787
2003-01-09,979678,586435,1566113,0,0,0.0,34.5,13,1.5,65.0,28,17.5,15,29.66,0.38000000000000256
2003-01-10,963808,567691,1531499,0,0,0.0,21.0,14,1.0,65.5,41,16.5,13,30.009999999999998,0.3000000000000007
2003-01-11,506478,250051,756529,1,0,0.0,14.0,10,0.0,52.0,24,13.0,14,30.305,0.3100000000000023
2003-01-12,346918,171467,518385,0,1,0.0,21.0,22,0.0,56.0,42,12.0,16,30.259999999999998,0.4400000000000013
2003-01-13,973653,585781,1559434,0,0,0.0,23.5,9,0.5,52.5,37,13.5,13,30.17,0.26000000000000156
2003-01-14,940805,594400,1535205,0,0,0.0,14.5,9,-0.5,70.0,32,11.5,11,30.285,0.13000000000000256
2003-01-15,928578,583104,1511682,0,0,0.0,13.0,16,0.0,58.0,32,9.0,10,30.405,0.10999999999999943
2003-01-16,945280,591915,1537195,0,0,0.0,20.5,9,-0.5,58.0,26,10.0,12,30.255000000000003,0.2699999999999996
2003-01-17,973358,584772,1558130,0,0,0.0,17.0,14,0.0,55.5,23,11.5,13,30.28,0.1999999999999993
2003-01-18,512435,261058,773493,1,0,0.0,13.5,15,0.5,77.0,32,10.5,9,29.994999999999997,0.3099999999999987
2003-01-19,327279,172937,500216,0,1,0.0,15.5,25,0.5,70.5,19,12.5,11,29.925,0.28999999999999915
2003-01-20,604089,375958,980047,0,0,0.0,17.5,7,0.5,50.5,25,11.5,9,30.060000000000002,0.2799999999999976
2003-01-21,954156,590827,1544983,0,0,0.0,13.0,10,0.0,43.5,29,10.5,11,30.28,0.14000000000000057
2003-01-22,912033,572491,1484524,0,0,0.0,8.5,11,1.5,48.5,13,13.0,10,30.42,0.13999999999999702
2003-01-23,822317,541015,1363332,0,0,0.0,5.0,14,0.0,48.0,18,12.5,11,30.56,0.14000000000000057
2003-01-24,893501,546353,1439854,0,0,0.0,9.5,13,0.5,51.5,31,10.5,9,30.494999999999997,0.2699999999999996
2003-01-25,547944,259287,807231,1,0,0.0,24.5,19,-0.5,67.5,51,13.0,10,30.22,0.26000000000000156
2003-01-26,335046,168783,503829,0,1,0.0,12.5,13,0.5,65.0,40,11.5,13,30.36,0.4200000000000017
2003-01-27,922033,564295,1486328,0,0,0.0,10.0,18,0.0,66.5,25,10.5,21,30.365,0.4299999999999997
2003-01-28,952120,598146,1550266,0,0,0.0,26.0,14,0.0,77.0,32,6.5,13,30.055,0.14999999999999858
2003-01-29,970605,594588,1565193,0,0,0.0,24.5,7,-0.5,79.0,20,8.0,16,30.255,0.3500000000000014
2003-01-30,993731,601060,1594791,0,0,0.03,26.5,7,-0.5,75.0,12,11.0,12,30.229999999999997,0.33999999999999986
2003-01-31,929004,577555,1506559,0,0,0.14,34.0,2,0.0,86.0,28,11.5,13,29.93,0.240000000000002
2003-02-01,639705,291226,930931,1,0,0.0,33.0,2,0.0,85.0,14,7.0,6,29.935000000000002,0.15000000000000213
2003-02-02,415598,192294,607892,0,1,0.02,35.0,4,0.0,91.0,18,9.5,11,29.795,0.19000000000000128
2003-02-03,1039918,596186,1636104,0,0,0.06,39.0,12,0.0,89.0,22,9.0,18,29.47,0.41999999999999815
2003-02-04,980582,597044,1577626,0,0,0.0,21.5,23,0.5,68.0,28,17.5,9,29.825000000000003,0.8099999999999987
2003-02-05,961776,585552,1547328,0,0,0.0,18.0,18,0.0,56.5,21,9.0,6,30.28,0.120000000000001
2003-02-06,981973,596888,1578861,0,0,0.0,25.0,16,1.0,59.0,32,11.0,12,30.21,0.14000000000000057
2003-02-07,953979,573249,1527228,0,0,0.0,13.0,8,0.0,63.0,28,13.0,8,30.240000000000002,0.120000000000001
2003-02-08,563430,270521,833951,1,0,0.0,21.0,18,0.0,61.5,25,13.5,9,30.04,0.23999999999999844
2003-02-09,367964,180861,548825,0,1,0.0,16.5,19,-0.5,47.0,34,10.5,13,30.045,0.33000000000000185
2003-02-10,948507,584120,1532627,0,0,0.0,19.0,18,0.0,65.5,41,13.0,16,29.895,0.36999999999999744
2003-02-11,928346,592292,1520638,0,0,0.0,19.5,25,0.5,71.0,44,18.5,23,29.81,0.46000000000000085
