Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
2015-04-01,72,54,35,38,36,32,89,-,26,28,-,0,30.06,-,29.79,-,0.00,-
2015-04-02,65,58,50,54,44,32,93,-,40,23,-,5,29.86,-,29.64,-,0.36,-
2015-04-03,53,42,30,33,29,27,92,-,38,22,-,4,30.19,-,29.81,-,0.00,-
2015-04-04,58,43,28,27,22,18,85,-,23,29,-,4,30.29,-,30.09,-,0.00,-
2015-04-05,66,51,36,33,26,19,85,-,18,21,-,4,30.11,-,29.96,-,0.00,-
2015-04-06,62,48,34,39,35,31,89,-,44,17,-,0,30.09,-,29.97,-,0.04,-
2015-04-07,46,42,38,44,38,34,96,-,79,21,-,9,30.12,-,30,-,0.00,-
2015-04-08,50,45,40,45,41,37,100,-,80,17,-,0,30,-,29.87,-,0.05,-
2015-04-09,71,56,41,64,52,40,93,-,66,33,-,0,29.86,-,29.44,-,1.41,-
2015-04-10,62,51,39,42,37,30,82,-,37,35,-,5,30.16,-,29.54,-,0.00,-
2015-04-11,62,50,38,36,32,27,82,-,29,16,-,5,30.27,-,30.15,-,0.00,-
2015-04-12,68,55,41,39,35,31,70,-,29,23,-,7,30.16,-,29.93,-,0.00,-
2015-04-13,65,57,49,54,41,26,93,-,24,25,-,6,30.18,-,29.83,-,0.22,-
2015-04-14,66,53,39,31,22,14,60,-,13,12,-,0,30.28,-,30.19,-,0.00,-
2015-04-15,64,54,43,32,28,22,53,-,26,18,-,5,30.28,-,30.17,-,0.00,-
2015-04-16,66,56,45,44,39,24,92,-,30,16,-,0,30.15,-,30.04,-,0.00,-
2015-04-17,78,62,45,49,45,41,93,-,31,14,-,0,30.11,-,29.98,-,0.00,-
2015-04-18,65,56,47,47,40,32,77,-,46,26,-,0,30.1,-,29.97,-,0.00,-
2015-04-19,68,58,48,51,41,25,100,-,30,16,-,6,29.96,-,29.26,-,0.46,-
2015-04-20,52,47,41,50,42,30,100,-,53,29,-,4,29.62,-,29.23,-,0.01,-
2015-04-21,54,46,38,33,27,22,73,-,32,38,-,9,29.7,-,29.58,-,0.00,-
2015-04-22,46,40,34,27,24,20,70,-,41,26,-,5,29.9,-,29.69,-,0.00,-
2015-04-23,55,44,32,27,22,15,69,-,22,22,-,0,30.07,-,29.91,-,0.00,-
2015-04-24,57,43,29,36,25,14,79,-,19,20,-,0,30.1,-,29.89,-,0.16,-
2015-04-25,48,44,39,42,37,30,89,-,62,22,-,9,29.9,-,29.72,-,0.16,-
2015-04-26,56,46,35,30,27,23,76,-,32,23,-,6,30.06,-,29.88,-,0.00,-
2015-04-27,55,47,38,35,32,30,76,-,43,20,-,0,30.14,-,30.05,-,0.00,-
2015-04-28,58,47,35,36,34,32,85,-,46,16,-,0,30.18,-,29.99,-,0.00,-
2015-04-29,61,50,38,37,35,33,79,-,39,17,-,0,29.98,-,29.9,-,0.00,-
2015-04-30,51,45,38,38,34,31,85,-,56,21,-,4,30.11,-,29.9,-,0.00,-
