Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
2013-01-01,25,18,11,9,4,1,73,-,36,14,-,4,30.22,-,30.13,-,0.00,-
2013-01-02,30,20,10,15,8,1,73,-,42,16,-,4,30.23,-,30.1,-,0.00,-
2013-01-03,29,24,18,24,19,13,85,-,69,17,-,7,30.27,-,30.07,-,0.00,-
2013-01-04,36,25,13,22,16,8,84,-,52,25,-,7,30.25,-,30.13,-,0.00,-
2013-01-05,39,29,18,34,27,16,100,-,54,22,-,4,30.25,-,29.94,-,0.03,-
2013-01-06,36,27,18,33,22,18,92,-,63,22,-,0,30.34,-,29.89,-,0.00,-
2013-01-07,41,28,15,26,21,14,92,-,45,25,-,5,30.34,-,30.12,-,0.00,-
2013-01-08,44,32,21,29,26,21,92,-,45,17,-,4,30.17,-,30.02,-,0.00,-
2013-01-09,50,39,27,31,25,19,82,-,31,33,-,0,30.49,-,30,-,0.00,-
2013-01-10,45,34,22,41,30,20,100,-,45,21,-,0,30.51,-,29.9,-,0.63,-
2013-01-11,52,46,39,52,48,42,100,-,81,22,-,6,29.86,-,29.65,-,0.31,-
2013-01-12,53,42,30,47,34,25,85,-,62,24,-,5,29.97,-,29.71,-,0.06,-
2013-01-13,30,26,22,28,19,6,92,-,81,14,-,6,30.25,-,29.85,-,0.10,-
2013-01-14,25,19,12,12,9,6,80,-,55,9,-,0,30.45,-,30.27,-,0.00,-
2013-01-15,31,22,12,16,13,10,88,-,47,7,-,0,30.44,-,30.12,-,0.00,-
2013-01-16,36,26,16,27,21,13,88,-,52,26,-,0,30.11,-,29.84,-,0.00,-
2013-01-17,33,27,20,29,14,4,85,-,35,18,-,4,30.41,-,30.06,-,0.00,-
2013-01-18,43,31,19,28,22,13,84,-,51,25,-,0,30.43,-,29.93,-,0.00,-
2013-01-19,47,38,28,36,28,2,85,-,31,29,-,12,29.93,-,29.74,-,0.00,-
2013-01-20,28,21,13,11,-1,-16,71,-,18,28,-,8,30.3,-,29.96,-,0.00,-
2013-01-21,15,10,5,1,-6,-11,63,-,41,25,-,9,30.3,-,30.15,-,0.00,-
2013-01-22,11,5,-1,-7,-8,-11,72,-,41,16,-,6,30.42,-,30.3,-,0.00,-
2013-01-23,23,17,10,14,5,-9,73,-,41,24,-,7,30.34,-,30.09,-,0.01,-
2013-01-24,22,13,4,6,0,-6,69,-,43,18,-,0,30.64,-,30.39,-,0.00,-
2013-01-25,29,24,18,18,14,4,92,-,45,17,-,7,30.35,-,29.96,-,0.06,-
2013-01-26,28,21,13,17,8,3,74,-,38,14,-,0,30.4,-,30.2,-,0.00,-
2013-01-27,37,30,23,36,25,17,100,-,63,24,-,8,30.39,-,29.9,-,0.29,-
2013-01-28,48,43,37,48,41,36,100,-,76,14,-,0,29.95,-,29.8,-,0.08,-
2013-01-29,63,51,39,59,54,39,100,-,84,17,-,0,29.8,-,29.39,-,1.33,-
2013-01-30,44,33,21,42,28,14,100,-,71,28,-,4,29.62,-,29.19,-,0.45,-
2013-01-31,21,14,6,16,6,-3,77,-,61,24,-,12,30.17,-,29.61,-,0.00,-
