Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
2017-12-01,53,41,28,28,26,24,78,-,38,13,-,0,30.27,-,30.16,-,0.00,-
2017-12-02,54,44,33,32,30,27,76,-,41,10,-,0,30.16,-,30.07,-,0.00,-
2017-12-03,58,44,29,35,31,26,85,-,36,18,-,0,30.22,-,29.98,-,0.00,-
2017-12-04,65,55,44,54,45,35,78,-,50,35,-,14,29.96,-,29.49,-,0.16,-
2017-12-05,44,36,27,34,17,7,70,-,35,38,-,10,30.01,-,29.61,-,0.00,-
2017-12-06,35,31,26,19,14,9,63,-,38,24,-,9,30.08,-,29.95,-,0.00,-
2017-12-07,29,24,19,16,11,6,74,-,42,18,-,8,30.21,-,30.05,-,0.00,-
2017-12-08,37,28,18,21,13,6,69,-,40,20,-,7,30.09,-,29.75,-,0.00,-
2017-12-09,32,26,20,26,20,12,85,-,57,26,-,4,30.09,-,29.64,-,0.03,-
2017-12-10,35,28,20,20,17,12,73,-,56,18,-,4,30.1,-,29.87,-,0.00,-
2017-12-11,39,31,23,31,25,17,89,-,59,28,-,0,30.08,-,29.69,-,0.08,-
2017-12-12,31,24,17,15,8,6,67,-,52,30,-,5,30.12,-,29.94,-,0.00,-
2017-12-13,38,30,22,31,21,9,69,-,53,31,-,5,29.9,-,29.27,-,0.00,-
2017-12-14,27,22,16,20,11,7,74,-,42,20,-,4,30.11,-,29.81,-,0.00,-
2017-12-15,37,29,21,23,18,12,74,-,49,25,-,5,30.02,-,29.88,-,0.00,-
2017-12-16,46,37,27,30,25,21,92,-,45,18,-,0,30.08,-,29.84,-,0.00,-
2017-12-17,42,36,29,34,32,28,100,-,62,10,-,0,30.09,-,29.98,-,0.00,-
2017-12-18,46,43,39,40,37,33,89,-,65,22,-,6,29.96,-,29.85,-,0.01,-
2017-12-19,50,43,35,35,27,17,79,-,31,21,-,6,30.11,-,29.84,-,0.00,-
2017-12-20,37,32,27,25,20,13,78,-,43,17,-,4,30.18,-,30.06,-,0.00,-
2017-12-21,40,36,32,29,25,21,75,-,48,14,-,6,30.1,-,29.92,-,0.00,-
2017-12-22,39,36,33,31,30,24,82,-,70,16,-,4,30.06,-,29.91,-,0.00,-
2017-12-23,33,26,19,25,17,10,78,-,53,18,-,4,30.29,-,30,-,0.00,-
2017-12-24,22,20,18,18,14,7,84,-,52,18,-,4,30.3,-,30.01,-,0.18,-
2017-12-25,21,12,2,10,3,-9,80,-,51,22,-,7,30.48,-,30.13,-,0.01,-
2017-12-26,5,1,-3,-8,-10,-12,69,-,56,15,-,4,30.69,-,30.49,-,0.00,-
2017-12-27,7,2,-4,-5,-9,-12,75,-,55,15,-,0,30.81,-,30.69,-,0.00,-
2017-12-28,15,8,0,6,3,-6,79,-,55,17,-,0,30.75,-,30.35,-,0.03,-
2017-12-29,15,12,9,10,7,3,88,-,64,13,-,4,30.4,-,30.2,-,0.08,-
2017-12-30,15,7,-1,8,-5,-11,80,-,54,24,-,7,30.51,-,30.19,-,0.00,-
2017-12-31,13,6,-1,-1,-6,-14,69,-,52,18,-,7,30.68,-,30.48,-,0.00,-
