Jan Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,48.0,34.0,21.0,46.0,31.0,18.0,90.0,nan,59.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,60.0,48.0,37.0,57.0,47.0,37.0,100.0,nan,77.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,51.0,40.0,30.0,46.0,29.0,16.0,87.0,nan,53.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
4,32.0,30.0,28.0,29.0,27.0,17.0,100.0,nan,59.0,21.0,nan,10.0,nan,nan,nan,nan,nan,nan
5,30.0,18.0,3.0,27.0,14.0,-7.0,93.0,nan,58.0,18.0,nan,9.0,nan,nan,nan,nan,nan,nan
6,9.0,4.0,-2.0,-1.0,-6.0,-12.0,68.0,nan,58.0,22.0,nan,13.0,nan,nan,nan,nan,nan,nan
7,23.0,15.0,7.0,13.0,3.0,-3.0,70.0,nan,47.0,12.0,nan,4.0,nan,nan,nan,nan,nan,nan
8,28.0,24.0,19.0,25.0,18.0,12.0,86.0,nan,60.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,27.0,22.0,18.0,19.0,17.0,15.0,93.0,nan,66.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,27.0,21.0,16.0,18.0,16.0,14.0,96.0,nan,64.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,39.0,32.0,27.0,33.0,25.0,17.0,82.0,nan,66.0,22.0,nan,8.0,nan,nan,nan,nan,nan,nan
12,37.0,34.0,30.0,34.0,28.0,24.0,100.0,nan,67.0,16.0,nan,7.0,nan,nan,nan,nan,nan,nan
13,34.0,30.0,25.0,28.0,20.0,17.0,82.0,nan,54.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
14,35.0,27.0,18.0,30.0,22.0,7.0,87.0,nan,57.0,28.0,nan,6.0,nan,nan,nan,nan,nan,nan
15,25.0,18.0,12.0,18.0,8.0,3.0,77.0,nan,42.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,28.0,26.0,24.0,20.0,18.0,16.0,75.0,nan,64.0,17.0,nan,7.0,nan,nan,nan,nan,nan,nan
17,34.0,31.0,28.0,34.0,28.0,19.0,100.0,nan,69.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,28.0,18.0,6.0,20.0,3.0,-5.0,69.0,nan,51.0,22.0,nan,10.0,nan,nan,nan,nan,nan,nan
19,17.0,10.0,3.0,4.0,0.0,-6.0,73.0,nan,54.0,13.0,nan,6.0,nan,nan,nan,nan,nan,nan
20,21.0,16.0,10.0,6.0,2.0,-2.0,84.0,nan,44.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,36.0,24.0,12.0,26.0,14.0,-1.0,84.0,nan,30.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,16.0,10.0,3.0,0.0,-9.0,-14.0,59.0,nan,41.0,24.0,nan,9.0,nan,nan,nan,nan,nan,nan
23,24.0,16.0,7.0,21.0,11.0,-7.0,93.0,nan,53.0,13.0,nan,5.0,nan,nan,nan,nan,nan,nan
24,21.0,16.0,12.0,17.0,11.0,6.0,91.0,nan,65.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,21.0,18.0,16.0,18.0,9.0,4.0,93.0,nan,53.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
26,24.0,22.0,19.0,22.0,18.0,14.0,93.0,nan,78.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,24.0,17.0,10.0,23.0,15.0,3.0,96.0,nan,65.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
28,10.0,6.0,1.0,4.0,-1.0,-8.0,83.0,nan,58.0,16.0,nan,8.0,nan,nan,nan,nan,nan,nan
29,3.0,2.0,0.0,0.0,-6.0,-12.0,85.0,nan,57.0,15.0,nan,6.0,nan,nan,nan,nan,nan,nan
30,3.0,-2.0,-8.0,-9.0,-13.0,-18.0,65.0,nan,55.0,16.0,nan,7.0,nan,nan,nan,nan,nan,nan
31,14.0,4.0,-6.0,4.0,-6.0,-14.0,72.0,nan,49.0,9.0,nan,4.0,nan,nan,nan,nan,nan,nan
