Sep Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,73.0,68.0,62.0,61.0,57.0,53.0,84.0,nan,53.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
2,74.0,68.0,62.0,59.0,55.0,51.0,84.0,nan,46.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,76.0,66.0,56.0,59.0,56.0,53.0,93.0,nan,46.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,80.0,70.0,59.0,59.0,57.0,55.0,90.0,nan,45.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,87.0,75.0,62.0,71.0,65.0,58.0,90.0,nan,50.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
6,91.0,83.0,75.0,74.0,72.0,70.0,87.0,nan,52.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
7,89.0,82.0,74.0,76.0,72.0,69.0,85.0,nan,55.0,29.0,nan,5.0,nan,nan,nan,nan,nan,nan
8,82.0,76.0,70.0,72.0,70.0,65.0,93.0,nan,62.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
9,81.0,72.0,63.0,71.0,65.0,58.0,93.0,nan,57.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,73.0,66.0,59.0,66.0,60.0,52.0,93.0,nan,49.0,26.0,nan,4.0,nan,nan,nan,nan,nan,nan
11,76.0,64.0,51.0,54.0,51.0,47.0,93.0,nan,36.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,79.0,67.0,54.0,56.0,53.0,50.0,86.0,nan,39.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,85.0,75.0,65.0,66.0,61.0,55.0,87.0,nan,47.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
14,74.0,69.0,64.0,63.0,58.0,52.0,93.0,nan,46.0,14.0,nan,5.0,nan,nan,nan,nan,nan,nan
15,78.0,69.0,60.0,60.0,58.0,56.0,90.0,nan,47.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,83.0,74.0,65.0,68.0,62.0,56.0,79.0,nan,58.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
17,82.0,74.0,64.0,67.0,61.0,50.0,93.0,nan,31.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,81.0,69.0,57.0,59.0,55.0,51.0,90.0,nan,39.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,88.0,72.0,56.0,63.0,53.0,47.0,80.0,nan,25.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,83.0,75.0,66.0,64.0,55.0,43.0,93.0,nan,26.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,74.0,70.0,65.0,66.0,63.0,61.0,93.0,nan,73.0,30.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,81.0,73.0,64.0,67.0,64.0,62.0,93.0,nan,58.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,73.0,70.0,67.0,67.0,65.0,63.0,90.0,nan,73.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
24,74.0,70.0,66.0,64.0,62.0,61.0,87.0,nan,68.0,14.0,nan,5.0,nan,nan,nan,nan,nan,nan
25,85.0,74.0,63.0,69.0,63.0,52.0,93.0,nan,55.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,69.0,63.0,56.0,54.0,41.0,32.0,72.0,nan,25.0,29.0,nan,7.0,nan,nan,nan,nan,nan,nan
27,70.0,61.0,51.0,46.0,37.0,30.0,72.0,nan,26.0,28.0,nan,7.0,nan,nan,nan,nan,nan,nan
28,60.0,55.0,50.0,55.0,49.0,44.0,86.0,nan,57.0,28.0,nan,4.0,nan,nan,nan,nan,nan,nan
29,65.0,62.0,59.0,60.0,57.0,55.0,90.0,nan,78.0,24.0,nan,9.0,nan,nan,nan,nan,nan,nan
30,64.0,62.0,60.0,60.0,59.0,57.0,90.0,nan,84.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
