Feb Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,23.0,22.0,20.0,20.0,18.0,16.0,100.0,nan,77.0,41.0,nan,13.0,nan,nan,nan,nan,nan,nan
2,23.0,14.0,5.0,20.0,14.0,1.0,100.0,nan,59.0,39.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,16.0,5.0,-6.0,0.0,-5.0,-9.0,80.0,nan,42.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
4,25.0,15.0,5.0,10.0,2.0,-5.0,60.0,nan,50.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
5,28.0,16.0,4.0,19.0,9.0,1.0,88.0,nan,50.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,32.0,28.0,24.0,29.0,26.0,21.0,100.0,nan,81.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,32.0,26.0,19.0,23.0,20.0,16.0,92.0,nan,63.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,20.0,11.0,2.0,18.0,3.0,-8.0,91.0,nan,51.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
9,12.0,5.0,-2.0,4.0,-6.0,-10.0,76.0,nan,55.0,12.0,nan,5.0,nan,nan,nan,nan,nan,nan
10,16.0,4.0,-9.0,5.0,-4.0,-12.0,83.0,nan,48.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
11,30.0,18.0,5.0,25.0,13.0,1.0,87.0,nan,67.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
12,37.0,31.0,24.0,29.0,25.0,21.0,88.0,nan,64.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
13,45.0,39.0,32.0,30.0,28.0,26.0,78.0,nan,53.0,25.0,nan,10.0,nan,nan,nan,nan,nan,nan
14,42.0,34.0,26.0,31.0,28.0,23.0,92.0,nan,53.0,26.0,nan,5.0,nan,nan,nan,nan,nan,nan
15,38.0,31.0,23.0,30.0,23.0,16.0,84.0,nan,48.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
16,49.0,43.0,37.0,45.0,36.0,30.0,96.0,nan,66.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
17,56.0,52.0,47.0,52.0,47.0,41.0,93.0,nan,83.0,28.0,nan,13.0,nan,nan,nan,nan,nan,nan
18,50.0,42.0,33.0,30.0,25.0,18.0,75.0,nan,39.0,28.0,nan,8.0,nan,nan,nan,nan,nan,nan
19,35.0,30.0,25.0,24.0,18.0,12.0,84.0,nan,47.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,36.0,32.0,28.0,34.0,32.0,24.0,100.0,nan,69.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
21,33.0,29.0,25.0,32.0,27.0,22.0,96.0,nan,85.0,22.0,nan,8.0,nan,nan,nan,nan,nan,nan
22,27.0,25.0,23.0,22.0,20.0,18.0,88.0,nan,68.0,13.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,33.0,29.0,24.0,31.0,25.0,19.0,100.0,nan,75.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
24,36.0,34.0,32.0,32.0,28.0,25.0,100.0,nan,64.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,36.0,33.0,29.0,28.0,24.0,20.0,100.0,nan,52.0,24.0,nan,5.0,nan,nan,nan,nan,nan,nan
26,33.0,29.0,24.0,31.0,25.0,21.0,100.0,nan,81.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,36.0,31.0,25.0,31.0,28.0,22.0,100.0,nan,64.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,37.0,31.0,25.0,28.0,23.0,18.0,92.0,nan,47.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
