Jan Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,22.0,16.0,10.0,16.0,14.0,3.0,80.0,nan,71.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
2,21.0,10.0,-1.0,16.0,8.0,-11.0,80.0,nan,61.0,22.0,nan,9.0,nan,nan,nan,nan,nan,nan
3,20.0,4.0,-12.0,10.0,-1.0,-15.0,74.0,nan,52.0,35.0,nan,4.0,nan,nan,nan,nan,nan,nan
4,31.0,25.0,19.0,27.0,21.0,10.0,85.0,nan,57.0,27.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,29.0,13.0,-3.0,25.0,7.0,-15.0,88.0,nan,53.0,31.0,nan,9.0,nan,nan,nan,nan,nan,nan
6,-2.0,-9.0,-16.0,-17.0,-23.0,-27.0,63.0,nan,49.0,28.0,nan,13.0,nan,nan,nan,nan,nan,nan
7,3.0,-4.0,-12.0,-8.0,-15.0,-21.0,78.0,nan,51.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,17.0,6.0,-6.0,-3.0,-6.0,-10.0,82.0,nan,42.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,27.0,12.0,-4.0,23.0,10.0,-10.0,81.0,nan,61.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,40.0,34.0,27.0,36.0,30.0,23.0,92.0,nan,82.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
11,40.0,36.0,31.0,37.0,30.0,23.0,92.0,nan,69.0,22.0,nan,8.0,nan,nan,nan,nan,nan,nan
12,44.0,36.0,28.0,30.0,26.0,22.0,78.0,nan,58.0,28.0,nan,8.0,nan,nan,nan,nan,nan,nan
13,45.0,36.0,27.0,31.0,28.0,20.0,76.0,nan,57.0,25.0,nan,5.0,nan,nan,nan,nan,nan,nan
14,35.0,29.0,22.0,29.0,21.0,14.0,82.0,nan,58.0,33.0,nan,4.0,nan,nan,nan,nan,nan,nan
15,22.0,19.0,15.0,14.0,8.0,6.0,77.0,nan,56.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
16,34.0,27.0,19.0,29.0,20.0,7.0,82.0,nan,55.0,26.0,nan,10.0,nan,nan,nan,nan,nan,nan
17,20.0,16.0,12.0,10.0,6.0,1.0,80.0,nan,54.0,17.0,nan,8.0,nan,nan,nan,nan,nan,nan
18,21.0,14.0,7.0,15.0,9.0,1.0,80.0,nan,66.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,37.0,24.0,10.0,26.0,16.0,4.0,83.0,nan,58.0,26.0,nan,7.0,nan,nan,nan,nan,nan,nan
20,35.0,24.0,13.0,25.0,18.0,7.0,80.0,nan,63.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,13.0,7.0,0.0,6.0,-6.0,-9.0,76.0,nan,42.0,26.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,15.0,8.0,0.0,6.0,-1.0,-12.0,73.0,nan,57.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,10.0,3.0,-5.0,-5.0,-10.0,-15.0,62.0,nan,51.0,21.0,nan,10.0,nan,nan,nan,nan,nan,nan
24,28.0,11.0,-6.0,22.0,6.0,-16.0,81.0,nan,43.0,38.0,nan,9.0,nan,nan,nan,nan,nan,nan
25,33.0,20.0,7.0,27.0,9.0,-8.0,85.0,nan,36.0,32.0,nan,7.0,nan,nan,nan,nan,nan,nan
26,31.0,19.0,6.0,19.0,8.0,-5.0,80.0,nan,51.0,33.0,nan,7.0,nan,nan,nan,nan,nan,nan
27,6.0,0.0,-7.0,-6.0,-16.0,-20.0,69.0,nan,45.0,26.0,nan,10.0,nan,nan,nan,nan,nan,nan
28,3.0,-4.0,-11.0,-8.0,-14.0,-20.0,69.0,nan,51.0,21.0,nan,7.0,nan,nan,nan,nan,nan,nan
29,23.0,12.0,1.0,4.0,-2.0,-9.0,69.0,nan,39.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
30,33.0,27.0,20.0,24.0,17.0,5.0,78.0,nan,43.0,37.0,nan,9.0,nan,nan,nan,nan,nan,nan
31,28.0,23.0,17.0,17.0,10.0,3.0,77.0,nan,49.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
