Jan Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,31.0,24.0,17.0,0.0,0.0,0.0,75.0,nan,57.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,30.0,24.0,18.0,0.0,0.0,0.0,74.0,nan,46.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,36.0,27.0,17.0,0.0,0.0,0.0,77.0,nan,56.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,37.0,27.0,17.0,0.0,0.0,0.0,100.0,nan,52.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,29.0,20.0,11.0,0.0,0.0,0.0,74.0,nan,39.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,30.0,23.0,16.0,0.0,0.0,0.0,92.0,nan,67.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,29.0,21.0,13.0,0.0,0.0,0.0,92.0,nan,73.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,21.0,17.0,12.0,0.0,0.0,0.0,84.0,nan,62.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,29.0,21.0,12.0,0.0,0.0,0.0,92.0,nan,61.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,29.0,25.0,20.0,0.0,0.0,0.0,92.0,nan,77.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,20.0,17.0,13.0,0.0,0.0,0.0,92.0,nan,62.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,29.0,16.0,3.0,0.0,0.0,0.0,100.0,nan,77.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,29.0,14.0,-2.0,0.0,0.0,0.0,92.0,nan,49.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,14.0,6.0,-2.0,0.0,0.0,0.0,87.0,nan,62.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,-1.0,-7.0,-13.0,0.0,0.0,0.0,70.0,nan,53.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,3.0,-7.0,-18.0,0.0,0.0,0.0,75.0,nan,50.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,24.0,14.0,3.0,0.0,0.0,0.0,81.0,nan,63.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,17.0,13.0,8.0,0.0,0.0,0.0,80.0,nan,56.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,23.0,16.0,9.0,0.0,0.0,0.0,91.0,nan,57.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,24.0,18.0,11.0,0.0,0.0,0.0,84.0,nan,57.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,28.0,21.0,13.0,0.0,0.0,0.0,84.0,nan,62.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,33.0,24.0,14.0,0.0,0.0,0.0,92.0,nan,63.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,34.0,24.0,13.0,0.0,0.0,0.0,92.0,nan,53.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,13.0,6.0,-1.0,0.0,0.0,0.0,69.0,nan,50.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,13.0,6.0,-2.0,0.0,0.0,0.0,69.0,nan,46.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,17.0,8.0,-1.0,0.0,0.0,0.0,69.0,nan,40.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,20.0,14.0,7.0,0.0,0.0,0.0,88.0,nan,54.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,18.0,13.0,8.0,0.0,0.0,0.0,84.0,nan,56.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,30.0,22.0,14.0,0.0,0.0,0.0,81.0,nan,58.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,14.0,9.0,4.0,0.0,0.0,0.0,73.0,nan,58.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,38.0,23.0,7.0,0.0,0.0,0.0,75.0,nan,63.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
