May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,74.0,61.0,48.0,57.0,49.0,37.0,78.0,nan,49.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
2,74.0,63.0,51.0,63.0,57.0,43.0,93.0,nan,55.0,33.0,nan,6.0,nan,nan,nan,nan,nan,nan
3,56.0,50.0,43.0,45.0,41.0,37.0,82.0,nan,55.0,23.0,nan,4.0,nan,nan,nan,nan,nan,nan
4,65.0,52.0,38.0,37.0,34.0,27.0,85.0,nan,27.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,75.0,63.0,50.0,43.0,38.0,34.0,59.0,nan,23.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
6,81.0,64.0,46.0,50.0,44.0,36.0,80.0,nan,21.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,70.0,60.0,49.0,61.0,55.0,39.0,93.0,nan,56.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
8,59.0,52.0,45.0,38.0,35.0,33.0,71.0,nan,40.0,20.0,nan,9.0,nan,nan,nan,nan,nan,nan
9,58.0,50.0,41.0,39.0,34.0,30.0,82.0,nan,36.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,61.0,50.0,38.0,41.0,37.0,33.0,79.0,nan,37.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,58.0,52.0,46.0,46.0,43.0,39.0,86.0,nan,57.0,31.0,nan,10.0,nan,nan,nan,nan,nan,nan
12,56.0,48.0,40.0,40.0,37.0,34.0,89.0,nan,55.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,73.0,57.0,40.0,52.0,45.0,37.0,82.0,nan,29.0,33.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,64.0,55.0,45.0,55.0,50.0,42.0,93.0,nan,52.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,57.0,50.0,43.0,43.0,37.0,28.0,93.0,nan,35.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,73.0,57.0,40.0,46.0,40.0,37.0,86.0,nan,31.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,73.0,63.0,52.0,49.0,41.0,32.0,71.0,nan,24.0,26.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,55.0,50.0,44.0,43.0,39.0,37.0,76.0,nan,54.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
19,60.0,50.0,40.0,39.0,33.0,27.0,82.0,nan,30.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,66.0,57.0,47.0,41.0,37.0,33.0,71.0,nan,29.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,66.0,54.0,41.0,38.0,35.0,34.0,76.0,nan,34.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,59.0,52.0,45.0,40.0,38.0,36.0,82.0,nan,51.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,57.0,52.0,46.0,40.0,39.0,37.0,76.0,nan,51.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
24,67.0,54.0,40.0,44.0,39.0,35.0,89.0,nan,32.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,78.0,61.0,44.0,60.0,50.0,40.0,83.0,nan,41.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,81.0,64.0,47.0,66.0,62.0,43.0,93.0,nan,54.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,50.0,46.0,42.0,40.0,35.0,30.0,82.0,nan,49.0,26.0,nan,14.0,nan,nan,nan,nan,nan,nan
28,62.0,53.0,43.0,39.0,32.0,25.0,82.0,nan,25.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
29,67.0,55.0,42.0,46.0,36.0,29.0,82.0,nan,26.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,77.0,66.0,55.0,68.0,60.0,48.0,90.0,nan,64.0,36.0,nan,4.0,nan,nan,nan,nan,nan,nan
31,79.0,69.0,59.0,62.0,57.0,48.0,93.0,nan,42.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
