Sep Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,64.0,63.0,62.0,63.0,61.0,60.0,100.0,nan,87.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
2,73.0,66.0,60.0,61.0,60.0,57.0,97.0,nan,64.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,82.0,71.0,60.0,65.0,60.0,51.0,100.0,nan,38.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,72.0,62.0,52.0,52.0,52.0,50.0,100.0,nan,49.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,75.0,62.0,50.0,54.0,51.0,49.0,100.0,nan,41.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,81.0,66.0,51.0,57.0,53.0,48.0,93.0,nan,42.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,86.0,72.0,61.0,64.0,60.0,55.0,87.0,nan,46.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,84.0,72.0,60.0,64.0,62.0,59.0,96.0,nan,44.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,82.0,72.0,63.0,66.0,63.0,58.0,97.0,nan,54.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,82.0,71.0,61.0,66.0,63.0,59.0,93.0,nan,52.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,84.0,74.0,64.0,64.0,61.0,52.0,93.0,nan,42.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
12,82.0,72.0,62.0,69.0,61.0,51.0,91.0,nan,58.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,82.0,75.0,68.0,67.0,63.0,58.0,93.0,nan,45.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,75.0,68.0,59.0,68.0,63.0,53.0,100.0,nan,62.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,73.0,64.0,53.0,54.0,48.0,42.0,93.0,nan,34.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,82.0,67.0,52.0,55.0,50.0,45.0,86.0,nan,27.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,82.0,68.0,53.0,56.0,53.0,50.0,93.0,nan,35.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,81.0,67.0,54.0,59.0,54.0,52.0,93.0,nan,38.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
19,66.0,58.0,50.0,56.0,48.0,42.0,90.0,nan,42.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,71.0,56.0,44.0,48.0,43.0,37.0,93.0,nan,32.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,75.0,62.0,48.0,57.0,50.0,46.0,100.0,nan,36.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,69.0,62.0,55.0,63.0,57.0,46.0,100.0,nan,45.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
23,70.0,58.0,48.0,48.0,43.0,37.0,86.0,nan,31.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
24,71.0,63.0,55.0,67.0,52.0,30.0,96.0,nan,26.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
25,61.0,52.0,45.0,44.0,38.0,35.0,93.0,nan,39.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,64.0,55.0,48.0,59.0,51.0,42.0,100.0,nan,50.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,61.0,54.0,46.0,50.0,43.0,38.0,93.0,nan,49.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
28,57.0,52.0,46.0,45.0,42.0,38.0,90.0,nan,51.0,17.0,nan,7.0,nan,nan,nan,nan,nan,nan
29,57.0,49.0,41.0,43.0,37.0,31.0,96.0,nan,36.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,55.0,48.0,39.0,40.0,32.0,25.0,86.0,nan,31.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
