Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,60.0,52.0,44.0,43.0,39.0,34.0,77.0,nan,43.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
2,70.0,56.0,42.0,47.0,43.0,37.0,83.0,nan,33.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,77.0,64.0,50.0,55.0,51.0,44.0,89.0,nan,46.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,81.0,69.0,57.0,63.0,59.0,52.0,86.0,nan,51.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,70.0,63.0,55.0,59.0,54.0,50.0,93.0,nan,67.0,25.0,nan,5.0,nan,nan,nan,nan,nan,nan
6,71.0,62.0,52.0,52.0,49.0,46.0,89.0,nan,53.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,81.0,68.0,55.0,71.0,63.0,47.0,90.0,nan,67.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
8,84.0,73.0,61.0,67.0,62.0,54.0,93.0,nan,40.0,28.0,nan,5.0,nan,nan,nan,nan,nan,nan
9,85.0,73.0,60.0,60.0,57.0,53.0,84.0,nan,40.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
10,92.0,80.0,68.0,67.0,62.0,57.0,68.0,nan,44.0,23.0,nan,4.0,nan,nan,nan,nan,nan,nan
11,72.0,65.0,58.0,61.0,57.0,54.0,93.0,nan,57.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,67.0,62.0,56.0,64.0,58.0,54.0,100.0,nan,86.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,86.0,71.0,56.0,69.0,61.0,55.0,100.0,nan,59.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,83.0,76.0,68.0,70.0,68.0,66.0,100.0,nan,63.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,80.0,74.0,68.0,73.0,70.0,68.0,93.0,nan,69.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,72.0,64.0,56.0,65.0,54.0,44.0,93.0,nan,44.0,14.0,nan,5.0,nan,nan,nan,nan,nan,nan
17,72.0,64.0,56.0,65.0,58.0,45.0,90.0,nan,62.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,79.0,69.0,58.0,70.0,65.0,50.0,100.0,nan,54.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,67.0,61.0,54.0,53.0,49.0,46.0,77.0,nan,58.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
20,78.0,66.0,53.0,68.0,58.0,45.0,78.0,nan,62.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,84.0,76.0,67.0,68.0,65.0,60.0,100.0,nan,44.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,83.0,75.0,66.0,74.0,71.0,65.0,97.0,nan,69.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,82.0,73.0,63.0,70.0,55.0,48.0,87.0,nan,33.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,79.0,70.0,60.0,62.0,58.0,53.0,84.0,nan,50.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,79.0,70.0,61.0,67.0,64.0,55.0,93.0,nan,62.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,67.0,63.0,58.0,61.0,58.0,54.0,97.0,nan,81.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
27,76.0,66.0,56.0,56.0,50.0,45.0,87.0,nan,33.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,79.0,67.0,54.0,62.0,54.0,47.0,93.0,nan,35.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,75.0,70.0,64.0,65.0,63.0,60.0,93.0,nan,64.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,77.0,67.0,57.0,64.0,60.0,53.0,93.0,nan,58.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
