May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,65.0,57.0,49.0,58.0,53.0,46.0,90.0,nan,63.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,80.0,69.0,57.0,64.0,59.0,55.0,97.0,nan,49.0,26.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,86.0,76.0,66.0,70.0,66.0,62.0,87.0,nan,55.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,73.0,64.0,55.0,67.0,56.0,50.0,90.0,nan,67.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,60.0,56.0,52.0,55.0,52.0,50.0,100.0,nan,75.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,70.0,61.0,51.0,57.0,53.0,49.0,93.0,nan,53.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,64.0,58.0,52.0,57.0,55.0,51.0,100.0,nan,72.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,70.0,61.0,52.0,52.0,46.0,42.0,96.0,nan,37.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,60.0,54.0,47.0,49.0,44.0,38.0,80.0,nan,54.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,67.0,57.0,46.0,44.0,34.0,25.0,86.0,nan,22.0,14.0,nan,5.0,nan,nan,nan,nan,nan,nan
11,78.0,61.0,43.0,44.0,39.0,32.0,70.0,nan,27.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,69.0,61.0,53.0,49.0,43.0,30.0,72.0,nan,36.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,72.0,61.0,50.0,38.0,31.0,22.0,54.0,nan,17.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,82.0,63.0,43.0,42.0,36.0,32.0,71.0,nan,17.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,86.0,72.0,57.0,59.0,45.0,37.0,68.0,nan,23.0,26.0,nan,5.0,nan,nan,nan,nan,nan,nan
16,65.0,58.0,50.0,47.0,34.0,28.0,67.0,nan,27.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,74.0,60.0,45.0,42.0,38.0,33.0,71.0,nan,25.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,85.0,69.0,53.0,45.0,42.0,37.0,71.0,nan,20.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
19,92.0,76.0,59.0,61.0,52.0,42.0,64.0,nan,25.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
20,93.0,79.0,65.0,62.0,57.0,52.0,73.0,nan,26.0,24.0,nan,5.0,nan,nan,nan,nan,nan,nan
21,67.0,61.0,54.0,53.0,45.0,39.0,72.0,nan,40.0,25.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,71.0,61.0,50.0,43.0,40.0,35.0,74.0,nan,33.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
23,82.0,65.0,47.0,49.0,41.0,34.0,86.0,nan,19.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,90.0,77.0,64.0,59.0,53.0,48.0,63.0,nan,27.0,31.0,nan,8.0,nan,nan,nan,nan,nan,nan
25,83.0,74.0,65.0,63.0,50.0,42.0,73.0,nan,31.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
26,86.0,73.0,60.0,59.0,53.0,46.0,68.0,nan,43.0,22.0,nan,6.0,nan,nan,nan,nan,nan,nan
27,97.0,84.0,70.0,66.0,60.0,53.0,68.0,nan,24.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
28,95.0,86.0,77.0,64.0,60.0,55.0,60.0,nan,26.0,28.0,nan,6.0,nan,nan,nan,nan,nan,nan
29,85.0,73.0,61.0,58.0,47.0,35.0,58.0,nan,18.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,70.0,62.0,53.0,49.0,45.0,43.0,72.0,nan,37.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
31,54.0,51.0,47.0,48.0,45.0,41.0,89.0,nan,66.0,18.0,nan,8.0,nan,nan,nan,nan,nan,nan
