Sep Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,75.0,70.0,65.0,63.0,59.0,55.0,78.0,nan,63.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
2,77.0,67.0,57.0,58.0,56.0,53.0,93.0,nan,46.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,78.0,66.0,53.0,62.0,57.0,53.0,100.0,nan,46.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,71.0,66.0,60.0,63.0,60.0,55.0,93.0,nan,68.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,78.0,69.0,59.0,59.0,57.0,51.0,90.0,nan,40.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,82.0,70.0,57.0,61.0,56.0,50.0,93.0,nan,36.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,82.0,70.0,57.0,61.0,57.0,51.0,96.0,nan,36.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,83.0,72.0,60.0,58.0,56.0,53.0,84.0,nan,37.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,70.0,67.0,63.0,64.0,59.0,54.0,93.0,nan,67.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
10,64.0,62.0,60.0,61.0,58.0,55.0,96.0,nan,78.0,17.0,nan,7.0,nan,nan,nan,nan,nan,nan
11,67.0,63.0,59.0,63.0,59.0,55.0,96.0,nan,78.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,72.0,68.0,63.0,67.0,64.0,62.0,100.0,nan,84.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,65.0,63.0,60.0,63.0,59.0,55.0,96.0,nan,78.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
14,73.0,65.0,57.0,58.0,56.0,54.0,93.0,nan,57.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,78.0,66.0,53.0,62.0,58.0,54.0,100.0,nan,45.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,79.0,69.0,58.0,62.0,58.0,56.0,87.0,nan,48.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
17,82.0,71.0,59.0,70.0,65.0,57.0,93.0,nan,58.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,71.0,61.0,51.0,59.0,48.0,40.0,93.0,nan,37.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
19,55.0,51.0,47.0,47.0,43.0,40.0,86.0,nan,66.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
20,62.0,52.0,42.0,42.0,39.0,34.0,89.0,nan,36.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,68.0,54.0,40.0,45.0,42.0,38.0,93.0,nan,42.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,71.0,64.0,57.0,64.0,57.0,45.0,100.0,nan,55.0,35.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,69.0,63.0,56.0,65.0,61.0,53.0,100.0,nan,81.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,66.0,58.0,49.0,54.0,49.0,41.0,93.0,nan,43.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,72.0,60.0,47.0,49.0,45.0,41.0,80.0,nan,38.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,71.0,59.0,47.0,48.0,44.0,40.0,93.0,nan,33.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,67.0,59.0,50.0,53.0,48.0,44.0,77.0,nan,52.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,59.0,50.0,40.0,44.0,40.0,36.0,89.0,nan,43.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,59.0,48.0,37.0,45.0,39.0,36.0,92.0,nan,40.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,66.0,57.0,48.0,52.0,48.0,44.0,100.0,nan,49.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
