Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,74.0,64.0,53.0,49.0,47.0,44.0,71.0,nan,41.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,86.0,71.0,56.0,57.0,52.0,47.0,86.0,nan,28.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,69.0,62.0,55.0,64.0,56.0,48.0,100.0,nan,60.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,78.0,66.0,54.0,64.0,59.0,54.0,100.0,nan,64.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,87.0,74.0,60.0,73.0,68.0,57.0,100.0,nan,57.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,87.0,80.0,73.0,70.0,68.0,67.0,84.0,nan,55.0,37.0,nan,12.0,nan,nan,nan,nan,nan,nan
7,85.0,77.0,69.0,0.0,0.0,0.0,93.0,nan,69.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,85.0,75.0,64.0,0.0,0.0,0.0,93.0,nan,65.0,32.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,74.0,70.0,65.0,0.0,0.0,0.0,93.0,nan,68.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,79.0,69.0,59.0,0.0,0.0,0.0,93.0,nan,42.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,86.0,74.0,61.0,0.0,0.0,0.0,93.0,nan,33.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,91.0,82.0,73.0,0.0,0.0,0.0,58.0,nan,41.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,82.0,74.0,65.0,0.0,0.0,0.0,93.0,nan,58.0,33.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,84.0,72.0,59.0,0.0,0.0,0.0,78.0,nan,33.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,81.0,71.0,61.0,0.0,0.0,0.0,79.0,nan,54.0,32.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,72.0,66.0,59.0,0.0,0.0,0.0,73.0,nan,37.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,76.0,66.0,55.0,0.0,0.0,0.0,72.0,nan,31.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,77.0,67.0,56.0,0.0,0.0,0.0,72.0,nan,33.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,82.0,70.0,58.0,0.0,0.0,0.0,73.0,nan,39.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,82.0,72.0,61.0,0.0,0.0,0.0,84.0,nan,28.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,82.0,70.0,57.0,0.0,0.0,0.0,80.0,nan,32.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,77.0,67.0,56.0,0.0,0.0,0.0,86.0,nan,43.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,82.0,69.0,55.0,0.0,0.0,0.0,86.0,nan,35.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,79.0,73.0,66.0,0.0,0.0,0.0,90.0,nan,57.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,86.0,78.0,70.0,0.0,0.0,0.0,97.0,nan,42.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,84.0,75.0,66.0,0.0,0.0,0.0,93.0,nan,62.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,83.0,74.0,64.0,0.0,0.0,0.0,84.0,nan,24.0,38.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,75.0,68.0,60.0,0.0,0.0,0.0,90.0,nan,53.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,80.0,70.0,59.0,0.0,0.0,0.0,84.0,nan,30.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
