Jan Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,31.0,25.0,19.0,22.0,18.0,12.0,77.0,nan,68.0,22.0,nan,10.0,nan,nan,nan,nan,nan,nan
2,32.0,26.0,20.0,23.0,19.0,16.0,84.0,nan,63.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
3,29.0,26.0,22.0,21.0,19.0,16.0,81.0,nan,68.0,21.0,nan,8.0,nan,nan,nan,nan,nan,nan
4,31.0,27.0,22.0,24.0,19.0,16.0,78.0,nan,58.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
5,33.0,25.0,17.0,22.0,18.0,12.0,84.0,nan,56.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
6,36.0,29.0,21.0,28.0,23.0,17.0,84.0,nan,56.0,16.0,nan,6.0,nan,nan,nan,nan,nan,nan
7,41.0,38.0,34.0,30.0,27.0,25.0,76.0,nan,59.0,13.0,nan,6.0,nan,nan,nan,nan,nan,nan
8,42.0,39.0,36.0,41.0,38.0,30.0,100.0,nan,76.0,10.0,nan,4.0,nan,nan,nan,nan,nan,nan
9,40.0,32.0,23.0,40.0,33.0,19.0,100.0,nan,84.0,26.0,nan,4.0,nan,nan,nan,nan,nan,nan
10,23.0,13.0,2.0,19.0,6.0,-6.0,84.0,nan,72.0,28.0,nan,10.0,nan,nan,nan,nan,nan,nan
11,24.0,12.0,-1.0,21.0,11.0,-7.0,96.0,nan,72.0,26.0,nan,4.0,nan,nan,nan,nan,nan,nan
12,20.0,12.0,3.0,13.0,2.0,-6.0,76.0,nan,63.0,26.0,nan,9.0,nan,nan,nan,nan,nan,nan
13,25.0,12.0,-2.0,19.0,6.0,-6.0,87.0,nan,68.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
14,44.0,34.0,24.0,37.0,30.0,19.0,85.0,nan,62.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
15,43.0,37.0,30.0,38.0,32.0,24.0,92.0,nan,76.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
16,30.0,20.0,9.0,24.0,16.0,0.0,81.0,nan,57.0,25.0,nan,8.0,nan,nan,nan,nan,nan,nan
17,8.0,4.0,-1.0,-2.0,-8.0,-11.0,69.0,nan,54.0,24.0,nan,12.0,nan,nan,nan,nan,nan,nan
18,7.0,2.0,-4.0,-5.0,-8.0,-12.0,72.0,nan,55.0,20.0,nan,10.0,nan,nan,nan,nan,nan,nan
19,17.0,9.0,0.0,4.0,-2.0,-9.0,75.0,nan,47.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,23.0,18.0,12.0,14.0,12.0,8.0,92.0,nan,59.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,29.0,19.0,9.0,17.0,14.0,9.0,92.0,nan,58.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,30.0,25.0,19.0,23.0,20.0,15.0,88.0,nan,63.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
23,33.0,27.0,20.0,24.0,20.0,18.0,88.0,nan,56.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,34.0,29.0,24.0,25.0,21.0,16.0,92.0,nan,61.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,41.0,33.0,24.0,39.0,31.0,21.0,93.0,nan,64.0,25.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,36.0,30.0,24.0,34.0,24.0,17.0,85.0,nan,63.0,28.0,nan,9.0,nan,nan,nan,nan,nan,nan
27,34.0,29.0,23.0,25.0,19.0,14.0,81.0,nan,53.0,29.0,nan,7.0,nan,nan,nan,nan,nan,nan
28,39.0,34.0,29.0,30.0,25.0,16.0,82.0,nan,53.0,22.0,nan,12.0,nan,nan,nan,nan,nan,nan
29,35.0,28.0,20.0,26.0,16.0,10.0,69.0,nan,41.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,46.0,41.0,35.0,38.0,33.0,28.0,89.0,nan,60.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
31,48.0,41.0,33.0,45.0,38.0,31.0,100.0,nan,85.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
