Sep Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,83.0,77.0,70.0,69.0,66.0,62.0,84.0,nan,51.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
2,82.0,75.0,67.0,65.0,60.0,54.0,87.0,nan,40.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,83.0,72.0,61.0,62.0,59.0,55.0,90.0,nan,42.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,85.0,78.0,71.0,71.0,65.0,61.0,84.0,nan,55.0,26.0,nan,4.0,nan,nan,nan,nan,nan,nan
5,88.0,76.0,64.0,72.0,66.0,55.0,82.0,nan,57.0,44.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,75.0,68.0,60.0,55.0,50.0,45.0,78.0,nan,35.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,80.0,67.0,54.0,52.0,49.0,45.0,80.0,nan,31.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,77.0,66.0,55.0,54.0,52.0,49.0,80.0,nan,38.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,79.0,71.0,63.0,63.0,59.0,52.0,78.0,nan,54.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,80.0,68.0,56.0,70.0,63.0,47.0,90.0,nan,62.0,28.0,nan,8.0,nan,nan,nan,nan,nan,nan
11,56.0,53.0,50.0,46.0,41.0,39.0,72.0,nan,59.0,17.0,nan,7.0,nan,nan,nan,nan,nan,nan
12,55.0,50.0,44.0,49.0,43.0,39.0,93.0,nan,59.0,18.0,nan,9.0,nan,nan,nan,nan,nan,nan
13,59.0,50.0,41.0,42.0,39.0,38.0,93.0,nan,51.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,65.0,54.0,42.0,47.0,42.0,40.0,89.0,nan,44.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,62.0,57.0,51.0,53.0,49.0,46.0,89.0,nan,64.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,68.0,56.0,44.0,48.0,43.0,39.0,93.0,nan,35.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,70.0,59.0,48.0,48.0,45.0,43.0,86.0,nan,40.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,70.0,62.0,53.0,55.0,52.0,47.0,93.0,nan,57.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,78.0,66.0,53.0,54.0,48.0,43.0,93.0,nan,28.0,23.0,nan,4.0,nan,nan,nan,nan,nan,nan
20,77.0,70.0,63.0,69.0,60.0,49.0,90.0,nan,56.0,28.0,nan,4.0,nan,nan,nan,nan,nan,nan
21,69.0,60.0,51.0,65.0,52.0,43.0,80.0,nan,51.0,28.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,67.0,57.0,46.0,46.0,42.0,39.0,82.0,nan,37.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,74.0,63.0,51.0,50.0,46.0,43.0,72.0,nan,41.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,77.0,66.0,54.0,52.0,49.0,44.0,89.0,nan,30.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,74.0,65.0,56.0,55.0,52.0,47.0,86.0,nan,38.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,79.0,65.0,51.0,57.0,53.0,49.0,100.0,nan,38.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,79.0,67.0,54.0,58.0,54.0,49.0,93.0,nan,42.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,78.0,66.0,53.0,59.0,55.0,52.0,100.0,nan,46.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,83.0,68.0,53.0,57.0,54.0,51.0,93.0,nan,37.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,58.0,53.0,47.0,52.0,47.0,44.0,93.0,nan,66.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
