Mar Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,39.0,30.0,21.0,28.0,23.0,15.0,87.0,nan,39.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,32.0,22.0,12.0,29.0,17.0,3.0,93.0,nan,57.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,30.0,20.0,10.0,28.0,16.0,2.0,93.0,nan,55.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,34.0,26.0,17.0,28.0,23.0,17.0,100.0,nan,59.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,24.0,22.0,19.0,18.0,16.0,11.0,93.0,nan,65.0,18.0,nan,8.0,nan,nan,nan,nan,nan,nan
6,27.0,20.0,12.0,19.0,16.0,10.0,95.0,nan,65.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,35.0,30.0,24.0,30.0,25.0,17.0,85.0,nan,75.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
8,41.0,26.0,12.0,34.0,24.0,6.0,96.0,nan,73.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,12.0,9.0,6.0,4.0,-6.0,-9.0,70.0,nan,42.0,21.0,nan,9.0,nan,nan,nan,nan,nan,nan
10,19.0,10.0,1.0,6.0,-1.0,-9.0,67.0,nan,47.0,14.0,nan,6.0,nan,nan,nan,nan,nan,nan
11,43.0,30.0,17.0,30.0,18.0,6.0,73.0,nan,43.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
12,41.0,36.0,30.0,33.0,30.0,28.0,94.0,nan,62.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,35.0,31.0,27.0,32.0,25.0,19.0,100.0,nan,56.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,54.0,39.0,24.0,29.0,24.0,19.0,81.0,nan,29.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
15,57.0,46.0,34.0,43.0,37.0,27.0,100.0,nan,53.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,66.0,54.0,42.0,52.0,46.0,41.0,100.0,nan,53.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
17,72.0,56.0,39.0,52.0,45.0,39.0,100.0,nan,38.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,44.0,40.0,37.0,43.0,39.0,32.0,100.0,nan,76.0,20.0,nan,8.0,nan,nan,nan,nan,nan,nan
19,48.0,42.0,36.0,45.0,37.0,30.0,100.0,nan,76.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,64.0,53.0,42.0,52.0,47.0,43.0,100.0,nan,56.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,46.0,42.0,39.0,46.0,37.0,29.0,100.0,nan,53.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,46.0,42.0,39.0,38.0,35.0,32.0,80.0,nan,68.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,62.0,52.0,42.0,38.0,35.0,32.0,82.0,nan,32.0,12.0,nan,4.0,nan,nan,nan,nan,nan,nan
24,73.0,58.0,43.0,51.0,41.0,30.0,74.0,nan,38.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
25,57.0,50.0,41.0,42.0,33.0,26.0,97.0,nan,31.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,59.0,46.0,34.0,33.0,29.0,25.0,75.0,nan,29.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,66.0,54.0,41.0,44.0,34.0,25.0,79.0,nan,23.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,61.0,49.0,36.0,55.0,44.0,26.0,94.0,nan,66.0,20.0,nan,8.0,nan,nan,nan,nan,nan,nan
29,37.0,32.0,27.0,27.0,23.0,18.0,86.0,nan,46.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,42.0,33.0,24.0,26.0,21.0,15.0,92.0,nan,35.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,54.0,40.0,25.0,42.0,27.0,21.0,88.0,nan,28.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
