Jan Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,1.0,-4.0,-9.0,-11.0,-14.0,-17.0,72.0,nan,51.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
2,8.0,0.0,-9.0,-2.0,-10.0,-16.0,71.0,nan,49.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
3,17.0,12.0,6.0,9.0,5.0,-4.0,80.0,nan,58.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
4,12.0,6.0,0.0,-4.0,-6.0,-8.0,69.0,nan,48.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
5,11.0,5.0,-1.0,-5.0,-7.0,-9.0,75.0,nan,50.0,20.0,nan,8.0,nan,nan,nan,nan,nan,nan
6,17.0,8.0,-2.0,-1.0,-6.0,-10.0,72.0,nan,36.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,33.0,21.0,8.0,30.0,18.0,-2.0,63.0,nan,53.0,24.0,nan,10.0,nan,nan,nan,nan,nan,nan
8,37.0,34.0,31.0,31.0,29.0,27.0,89.0,nan,70.0,18.0,nan,7.0,nan,nan,nan,nan,nan,nan
9,36.0,31.0,26.0,29.0,27.0,24.0,100.0,nan,75.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,56.0,43.0,30.0,50.0,40.0,27.0,96.0,nan,77.0,31.0,nan,8.0,nan,nan,nan,nan,nan,nan
11,59.0,41.0,23.0,55.0,46.0,16.0,93.0,nan,74.0,28.0,nan,6.0,nan,nan,nan,nan,nan,nan
12,23.0,19.0,14.0,16.0,9.0,-2.0,77.0,nan,46.0,29.0,nan,13.0,nan,nan,nan,nan,nan,nan
13,16.0,11.0,6.0,0.0,-3.0,-7.0,69.0,nan,40.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
14,21.0,13.0,5.0,14.0,7.0,-3.0,84.0,nan,41.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,24.0,17.0,10.0,19.0,12.0,5.0,88.0,nan,73.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
16,26.0,18.0,9.0,16.0,9.0,4.0,84.0,nan,55.0,18.0,nan,8.0,nan,nan,nan,nan,nan,nan
17,20.0,12.0,4.0,9.0,6.0,0.0,87.0,nan,62.0,25.0,nan,6.0,nan,nan,nan,nan,nan,nan
18,32.0,24.0,16.0,20.0,14.0,9.0,74.0,nan,54.0,22.0,nan,9.0,nan,nan,nan,nan,nan,nan
19,40.0,34.0,28.0,28.0,23.0,18.0,69.0,nan,52.0,26.0,nan,10.0,nan,nan,nan,nan,nan,nan
20,45.0,39.0,32.0,36.0,31.0,26.0,85.0,nan,58.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
21,44.0,40.0,36.0,43.0,39.0,34.0,100.0,nan,85.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,54.0,46.0,38.0,49.0,44.0,31.0,100.0,nan,77.0,24.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,39.0,34.0,28.0,33.0,26.0,21.0,89.0,nan,69.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
24,30.0,29.0,27.0,23.0,21.0,19.0,75.0,nan,69.0,13.0,nan,5.0,nan,nan,nan,nan,nan,nan
25,43.0,34.0,24.0,32.0,27.0,20.0,89.0,nan,62.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,51.0,42.0,33.0,34.0,31.0,29.0,89.0,nan,46.0,32.0,nan,5.0,nan,nan,nan,nan,nan,nan
27,50.0,43.0,36.0,37.0,29.0,23.0,70.0,nan,36.0,31.0,nan,6.0,nan,nan,nan,nan,nan,nan
28,40.0,34.0,28.0,28.0,26.0,24.0,85.0,nan,64.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
29,30.0,24.0,17.0,22.0,14.0,9.0,81.0,nan,55.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
30,31.0,23.0,15.0,18.0,12.0,8.0,80.0,nan,46.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,42.0,37.0,31.0,28.0,24.0,18.0,70.0,nan,45.0,25.0,nan,7.0,nan,nan,nan,nan,nan,nan
