Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,81.0,70.0,59.0,54.0,49.0,47.0,64.0,nan,33.0,25.0,nan,4.0,nan,nan,nan,nan,nan,nan
2,69.0,63.0,56.0,53.0,45.0,41.0,67.0,nan,37.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,87.0,71.0,55.0,67.0,61.0,46.0,84.0,nan,50.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,92.0,78.0,64.0,71.0,64.0,52.0,87.0,nan,40.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,85.0,73.0,60.0,61.0,54.0,48.0,90.0,nan,36.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,93.0,77.0,60.0,71.0,62.0,49.0,79.0,nan,39.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,96.0,86.0,75.0,71.0,66.0,58.0,82.0,nan,24.0,22.0,nan,7.0,nan,nan,nan,nan,nan,nan
8,95.0,81.0,66.0,68.0,63.0,56.0,67.0,nan,32.0,36.0,nan,8.0,nan,nan,nan,nan,nan,nan
9,69.0,60.0,50.0,65.0,56.0,43.0,100.0,nan,71.0,26.0,nan,4.0,nan,nan,nan,nan,nan,nan
10,69.0,60.0,51.0,61.0,54.0,46.0,100.0,nan,81.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,62.0,57.0,52.0,58.0,55.0,50.0,100.0,nan,72.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,64.0,57.0,50.0,54.0,47.0,40.0,100.0,nan,44.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,72.0,63.0,54.0,46.0,43.0,39.0,71.0,nan,37.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,77.0,65.0,53.0,54.0,48.0,40.0,71.0,nan,38.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,71.0,64.0,57.0,65.0,60.0,49.0,100.0,nan,47.0,32.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,81.0,71.0,61.0,62.0,60.0,56.0,100.0,nan,42.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,82.0,71.0,60.0,64.0,60.0,56.0,97.0,nan,51.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,84.0,73.0,61.0,68.0,62.0,55.0,90.0,nan,58.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,81.0,72.0,63.0,69.0,65.0,59.0,90.0,nan,62.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,79.0,72.0,65.0,70.0,67.0,65.0,97.0,nan,69.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,89.0,78.0,66.0,74.0,69.0,64.0,93.0,nan,53.0,55.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,73.0,69.0,64.0,67.0,63.0,60.0,93.0,nan,68.0,25.0,nan,6.0,nan,nan,nan,nan,nan,nan
23,71.0,67.0,62.0,63.0,59.0,56.0,87.0,nan,61.0,22.0,nan,8.0,nan,nan,nan,nan,nan,nan
24,68.0,64.0,60.0,57.0,55.0,53.0,90.0,nan,67.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
25,79.0,69.0,58.0,57.0,53.0,47.0,87.0,nan,37.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,81.0,69.0,57.0,57.0,52.0,48.0,78.0,nan,33.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,81.0,73.0,65.0,67.0,64.0,58.0,93.0,nan,57.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
28,81.0,72.0,63.0,56.0,53.0,51.0,73.0,nan,36.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,81.0,70.0,59.0,58.0,56.0,54.0,90.0,nan,39.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,88.0,74.0,60.0,69.0,61.0,55.0,90.0,nan,46.0,31.0,nan,0.0,nan,nan,nan,nan,nan,nan
