Jan Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,41.0,28.0,14.0,30.0,12.0,3.0,76.0,nan,49.0,29.0,nan,13.0,nan,nan,nan,nan,nan,nan
2,24.0,18.0,12.0,14.0,8.0,4.0,76.0,nan,44.0,20.0,nan,8.0,nan,nan,nan,nan,nan,nan
3,36.0,29.0,22.0,23.0,18.0,15.0,78.0,nan,47.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
4,30.0,22.0,13.0,22.0,13.0,5.0,81.0,nan,59.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
5,31.0,20.0,8.0,25.0,14.0,4.0,83.0,nan,53.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,28.0,23.0,18.0,21.0,14.0,4.0,81.0,nan,38.0,21.0,nan,7.0,nan,nan,nan,nan,nan,nan
7,22.0,17.0,12.0,14.0,10.0,4.0,80.0,nan,52.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
8,24.0,17.0,9.0,11.0,6.0,2.0,76.0,nan,54.0,22.0,nan,9.0,nan,nan,nan,nan,nan,nan
9,31.0,20.0,9.0,14.0,9.0,3.0,76.0,nan,43.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,33.0,26.0,18.0,18.0,15.0,9.0,84.0,nan,36.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,27.0,25.0,22.0,24.0,21.0,17.0,96.0,nan,63.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,26.0,23.0,20.0,19.0,17.0,16.0,91.0,nan,68.0,21.0,nan,7.0,nan,nan,nan,nan,nan,nan
13,24.0,20.0,15.0,18.0,15.0,12.0,92.0,nan,65.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,24.0,20.0,16.0,18.0,15.0,12.0,92.0,nan,68.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,24.0,19.0,13.0,19.0,14.0,9.0,91.0,nan,68.0,20.0,nan,8.0,nan,nan,nan,nan,nan,nan
16,22.0,14.0,6.0,16.0,9.0,2.0,88.0,nan,62.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,32.0,25.0,18.0,32.0,23.0,13.0,100.0,nan,73.0,24.0,nan,5.0,nan,nan,nan,nan,nan,nan
18,32.0,26.0,19.0,32.0,25.0,16.0,100.0,nan,78.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,23.0,19.0,15.0,15.0,11.0,7.0,84.0,nan,59.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
20,19.0,12.0,5.0,9.0,6.0,-5.0,73.0,nan,56.0,23.0,nan,4.0,nan,nan,nan,nan,nan,nan
21,8.0,2.0,-4.0,-1.0,-8.0,-11.0,79.0,nan,49.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,17.0,11.0,5.0,8.0,4.0,-3.0,83.0,nan,64.0,17.0,nan,7.0,nan,nan,nan,nan,nan,nan
23,20.0,12.0,4.0,11.0,3.0,-5.0,80.0,nan,45.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,27.0,21.0,15.0,25.0,18.0,10.0,100.0,nan,77.0,16.0,nan,6.0,nan,nan,nan,nan,nan,nan
25,29.0,25.0,21.0,25.0,23.0,19.0,96.0,nan,84.0,10.0,nan,4.0,nan,nan,nan,nan,nan,nan
26,28.0,23.0,18.0,25.0,19.0,12.0,92.0,nan,77.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
27,25.0,21.0,17.0,21.0,18.0,14.0,100.0,nan,74.0,16.0,nan,7.0,nan,nan,nan,nan,nan,nan
28,31.0,25.0,19.0,23.0,20.0,16.0,91.0,nan,58.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
29,33.0,30.0,26.0,27.0,24.0,23.0,92.0,nan,66.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,30.0,28.0,26.0,27.0,22.0,17.0,92.0,nan,63.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,26.0,23.0,20.0,18.0,16.0,12.0,91.0,nan,63.0,22.0,nan,10.0,nan,nan,nan,nan,nan,nan
