Apr Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,80.0,61.0,42.0,44.0,40.0,36.0,80.0,nan,23.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,71.0,55.0,39.0,47.0,38.0,35.0,89.0,nan,42.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,46.0,42.0,37.0,42.0,38.0,36.0,100.0,nan,83.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
4,37.0,34.0,32.0,37.0,35.0,30.0,100.0,nan,92.0,25.0,nan,6.0,nan,nan,nan,nan,nan,nan
5,32.0,29.0,26.0,29.0,21.0,18.0,88.0,nan,56.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
6,36.0,33.0,30.0,29.0,23.0,19.0,78.0,nan,52.0,22.0,nan,7.0,nan,nan,nan,nan,nan,nan
7,34.0,32.0,30.0,31.0,29.0,25.0,96.0,nan,70.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
8,32.0,31.0,30.0,31.0,28.0,27.0,96.0,nan,82.0,14.0,nan,6.0,nan,nan,nan,nan,nan,nan
9,43.0,36.0,28.0,28.0,26.0,22.0,89.0,nan,47.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,57.0,42.0,28.0,27.0,22.0,14.0,89.0,nan,20.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,70.0,50.0,33.0,34.0,26.0,21.0,70.0,nan,23.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,48.0,42.0,37.0,33.0,29.0,22.0,70.0,nan,39.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,66.0,48.0,30.0,36.0,33.0,27.0,88.0,nan,29.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,84.0,66.0,48.0,45.0,39.0,32.0,58.0,nan,22.0,22.0,nan,8.0,nan,nan,nan,nan,nan,nan
15,86.0,75.0,64.0,50.0,43.0,34.0,47.0,nan,23.0,23.0,nan,10.0,nan,nan,nan,nan,nan,nan
16,69.0,55.0,41.0,41.0,37.0,34.0,85.0,nan,29.0,22.0,nan,8.0,nan,nan,nan,nan,nan,nan
17,44.0,42.0,39.0,36.0,34.0,31.0,83.0,nan,65.0,22.0,nan,9.0,nan,nan,nan,nan,nan,nan
18,46.0,42.0,39.0,37.0,35.0,33.0,89.0,nan,73.0,14.0,nan,5.0,nan,nan,nan,nan,nan,nan
19,79.0,60.0,41.0,57.0,49.0,37.0,86.0,nan,32.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,68.0,60.0,51.0,57.0,50.0,41.0,83.0,nan,55.0,23.0,nan,10.0,nan,nan,nan,nan,nan,nan
21,51.0,48.0,44.0,45.0,39.0,30.0,90.0,nan,56.0,18.0,nan,9.0,nan,nan,nan,nan,nan,nan
22,55.0,46.0,37.0,32.0,28.0,20.0,67.0,nan,34.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,55.0,44.0,32.0,28.0,23.0,16.0,75.0,nan,24.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,60.0,48.0,37.0,31.0,28.0,25.0,70.0,nan,27.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
25,57.0,51.0,44.0,32.0,29.0,22.0,60.0,nan,31.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,57.0,47.0,37.0,30.0,24.0,11.0,76.0,nan,21.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,75.0,56.0,36.0,31.0,27.0,15.0,70.0,nan,19.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,77.0,66.0,55.0,47.0,39.0,30.0,62.0,nan,23.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,63.0,54.0,46.0,42.0,38.0,31.0,83.0,nan,42.0,13.0,nan,5.0,nan,nan,nan,nan,nan,nan
30,68.0,57.0,46.0,61.0,48.0,31.0,100.0,nan,56.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
