Feb Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,31.0,25.0,19.0,30.0,23.0,16.0,100.0,nan,84.0,30.0,nan,6.0,nan,nan,nan,nan,nan,nan
2,19.0,13.0,6.0,11.0,4.0,0.0,88.0,nan,53.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
3,26.0,14.0,2.0,22.0,15.0,1.0,88.0,nan,68.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,25.0,15.0,4.0,23.0,12.0,-4.0,96.0,nan,61.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
5,15.0,7.0,-2.0,4.0,-3.0,-8.0,86.0,nan,51.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,31.0,22.0,13.0,23.0,14.0,5.0,88.0,nan,57.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
7,41.0,30.0,18.0,36.0,29.0,19.0,100.0,nan,70.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
8,39.0,32.0,25.0,35.0,30.0,24.0,100.0,nan,85.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,27.0,23.0,19.0,23.0,19.0,15.0,100.0,nan,68.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
10,33.0,24.0,14.0,20.0,17.0,14.0,81.0,nan,56.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,35.0,27.0,18.0,29.0,22.0,7.0,85.0,nan,60.0,23.0,nan,7.0,nan,nan,nan,nan,nan,nan
12,18.0,13.0,8.0,7.0,-1.0,-5.0,67.0,nan,47.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,26.0,16.0,5.0,18.0,8.0,-2.0,83.0,nan,61.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
14,27.0,14.0,1.0,20.0,3.0,-13.0,77.0,nan,45.0,38.0,nan,8.0,nan,nan,nan,nan,nan,nan
15,15.0,6.0,-3.0,7.0,0.0,-14.0,76.0,nan,51.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,18.0,12.0,5.0,6.0,-2.0,-8.0,67.0,nan,36.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,19.0,14.0,8.0,13.0,7.0,-2.0,80.0,nan,54.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
18,8.0,3.0,-3.0,-2.0,-7.0,-16.0,79.0,nan,49.0,26.0,nan,9.0,nan,nan,nan,nan,nan,nan
19,4.0,-2.0,-8.0,-11.0,-15.0,-18.0,65.0,nan,44.0,23.0,nan,4.0,nan,nan,nan,nan,nan,nan
20,18.0,6.0,-7.0,8.0,0.0,-12.0,76.0,nan,49.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
21,32.0,25.0,17.0,22.0,17.0,10.0,77.0,nan,58.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,28.0,15.0,2.0,20.0,4.0,-10.0,75.0,nan,45.0,22.0,nan,9.0,nan,nan,nan,nan,nan,nan
23,12.0,4.0,-4.0,-7.0,-10.0,-15.0,62.0,nan,38.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
24,29.0,17.0,4.0,21.0,8.0,-6.0,75.0,nan,50.0,26.0,nan,9.0,nan,nan,nan,nan,nan,nan
25,26.0,18.0,10.0,17.0,11.0,-3.0,92.0,nan,42.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,19.0,10.0,0.0,14.0,7.0,-8.0,88.0,nan,49.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
27,14.0,6.0,-2.0,-4.0,-6.0,-10.0,72.0,nan,46.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
28,21.0,6.0,-10.0,14.0,2.0,-13.0,91.0,nan,39.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
