May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,57.0,51.0,45.0,50.0,44.0,38.0,100.0,nan,59.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,51.0,46.0,41.0,39.0,37.0,35.0,86.0,nan,56.0,25.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,56.0,46.0,35.0,39.0,32.0,26.0,92.0,nan,32.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,54.0,49.0,43.0,40.0,36.0,31.0,71.0,nan,53.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
5,61.0,51.0,41.0,40.0,38.0,35.0,83.0,nan,39.0,28.0,nan,4.0,nan,nan,nan,nan,nan,nan
6,58.0,51.0,44.0,41.0,33.0,22.0,83.0,nan,33.0,24.0,nan,6.0,nan,nan,nan,nan,nan,nan
7,59.0,48.0,36.0,30.0,25.0,19.0,59.0,nan,24.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
8,57.0,46.0,34.0,31.0,26.0,20.0,76.0,nan,28.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
9,61.0,52.0,42.0,43.0,36.0,30.0,76.0,nan,43.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,67.0,56.0,44.0,52.0,45.0,28.0,96.0,nan,46.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,65.0,57.0,49.0,49.0,45.0,38.0,93.0,nan,40.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,73.0,59.0,45.0,45.0,41.0,38.0,82.0,nan,31.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,82.0,65.0,47.0,50.0,45.0,39.0,80.0,nan,32.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,71.0,61.0,51.0,47.0,41.0,30.0,83.0,nan,39.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,82.0,66.0,50.0,57.0,48.0,34.0,71.0,nan,39.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
16,87.0,74.0,61.0,63.0,58.0,51.0,84.0,nan,29.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,84.0,73.0,62.0,62.0,59.0,53.0,84.0,nan,37.0,39.0,nan,10.0,nan,nan,nan,nan,nan,nan
18,78.0,63.0,48.0,62.0,55.0,40.0,81.0,nan,46.0,35.0,nan,10.0,nan,nan,nan,nan,nan,nan
19,50.0,47.0,43.0,44.0,40.0,36.0,92.0,nan,65.0,28.0,nan,8.0,nan,nan,nan,nan,nan,nan
20,64.0,56.0,48.0,59.0,49.0,35.0,93.0,nan,61.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,65.0,58.0,51.0,62.0,52.0,40.0,97.0,nan,52.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,73.0,61.0,48.0,53.0,46.0,40.0,80.0,nan,31.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
23,62.0,59.0,55.0,56.0,54.0,52.0,93.0,nan,67.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,62.0,58.0,53.0,52.0,50.0,48.0,93.0,nan,69.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
25,69.0,61.0,52.0,54.0,51.0,49.0,89.0,nan,55.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,71.0,62.0,52.0,55.0,53.0,49.0,93.0,nan,57.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,78.0,65.0,52.0,58.0,53.0,50.0,96.0,nan,46.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,77.0,67.0,56.0,61.0,55.0,46.0,84.0,nan,38.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,77.0,66.0,55.0,50.0,46.0,40.0,72.0,nan,27.0,30.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,74.0,64.0,54.0,48.0,44.0,38.0,77.0,nan,31.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
31,74.0,63.0,52.0,45.0,42.0,39.0,71.0,nan,29.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
