Feb Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,38.0,30.0,21.0,29.0,22.0,8.0,92.0,nan,38.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
2,24.0,19.0,14.0,6.0,5.0,2.0,67.0,nan,44.0,22.0,nan,7.0,nan,nan,nan,nan,nan,nan
3,28.0,21.0,14.0,6.0,3.0,-2.0,67.0,nan,31.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
4,33.0,22.0,10.0,14.0,8.0,4.0,80.0,nan,33.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
5,38.0,31.0,24.0,23.0,20.0,14.0,81.0,nan,45.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,55.0,38.0,21.0,43.0,36.0,19.0,100.0,nan,55.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,50.0,41.0,32.0,50.0,41.0,26.0,100.0,nan,82.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,32.0,26.0,19.0,23.0,17.0,8.0,78.0,nan,58.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
9,25.0,19.0,13.0,10.0,3.0,-2.0,67.0,nan,39.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
10,41.0,30.0,18.0,33.0,21.0,6.0,76.0,nan,56.0,26.0,nan,6.0,nan,nan,nan,nan,nan,nan
11,49.0,42.0,34.0,35.0,34.0,32.0,96.0,nan,61.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,47.0,39.0,31.0,35.0,25.0,11.0,89.0,nan,27.0,36.0,nan,7.0,nan,nan,nan,nan,nan,nan
13,44.0,35.0,25.0,25.0,21.0,17.0,81.0,nan,38.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
14,50.0,41.0,31.0,30.0,27.0,20.0,78.0,nan,42.0,25.0,nan,5.0,nan,nan,nan,nan,nan,nan
15,35.0,31.0,26.0,16.0,13.0,10.0,61.0,nan,39.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,41.0,36.0,30.0,24.0,16.0,8.0,69.0,nan,34.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
17,67.0,47.0,27.0,40.0,33.0,24.0,85.0,nan,34.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,70.0,55.0,40.0,37.0,35.0,33.0,70.0,nan,26.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,69.0,52.0,35.0,36.0,32.0,27.0,85.0,nan,24.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,70.0,56.0,41.0,48.0,44.0,32.0,92.0,nan,44.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,66.0,58.0,49.0,55.0,52.0,46.0,93.0,nan,60.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,68.0,59.0,50.0,54.0,53.0,49.0,96.0,nan,58.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,59.0,49.0,38.0,50.0,39.0,34.0,92.0,nan,66.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
24,40.0,37.0,33.0,38.0,36.0,28.0,92.0,nan,82.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
25,33.0,28.0,23.0,28.0,17.0,13.0,82.0,nan,55.0,24.0,nan,8.0,nan,nan,nan,nan,nan,nan
26,49.0,35.0,21.0,29.0,21.0,16.0,81.0,nan,31.0,30.0,nan,5.0,nan,nan,nan,nan,nan,nan
27,54.0,41.0,27.0,40.0,31.0,22.0,81.0,nan,45.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,60.0,54.0,47.0,56.0,51.0,41.0,93.0,nan,71.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
