May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,59.0,57.0,55.0,55.0,52.0,50.0,94.0,nan,81.0,16.0,nan,9.0,nan,nan,nan,nan,nan,nan
2,72.0,63.0,52.0,55.0,53.0,47.0,100.0,nan,44.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,73.0,62.0,51.0,58.0,53.0,46.0,97.0,nan,39.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,68.0,60.0,55.0,57.0,43.0,40.0,84.0,nan,42.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,57.0,52.0,48.0,43.0,40.0,36.0,77.0,nan,49.0,14.0,nan,5.0,nan,nan,nan,nan,nan,nan
6,57.0,49.0,41.0,38.0,33.0,25.0,76.0,nan,34.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,71.0,54.0,37.0,37.0,35.0,31.0,86.0,nan,26.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,73.0,60.0,48.0,47.0,42.0,36.0,63.0,nan,37.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
9,71.0,62.0,54.0,56.0,52.0,48.0,80.0,nan,51.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
10,73.0,64.0,55.0,58.0,54.0,48.0,100.0,nan,41.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,59.0,48.0,37.0,52.0,46.0,35.0,94.0,nan,70.0,25.0,nan,7.0,nan,nan,nan,nan,nan,nan
12,46.0,41.0,36.0,41.0,37.0,33.0,93.0,nan,79.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
13,50.0,47.0,44.0,43.0,42.0,39.0,93.0,nan,71.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,55.0,48.0,42.0,47.0,44.0,41.0,100.0,nan,62.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,62.0,56.0,48.0,52.0,48.0,46.0,92.0,nan,62.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,64.0,56.0,48.0,52.0,49.0,46.0,90.0,nan,56.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,73.0,62.0,50.0,55.0,50.0,46.0,89.0,nan,42.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,63.0,54.0,46.0,45.0,40.0,34.0,93.0,nan,35.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,64.0,52.0,43.0,39.0,37.0,36.0,86.0,nan,38.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,73.0,55.0,37.0,46.0,40.0,35.0,93.0,nan,29.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,61.0,52.0,44.0,49.0,35.0,26.0,71.0,nan,30.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,61.0,49.0,37.0,39.0,35.0,29.0,86.0,nan,41.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,75.0,57.0,39.0,40.0,34.0,26.0,83.0,nan,22.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,80.0,65.0,52.0,64.0,53.0,35.0,90.0,nan,40.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
25,75.0,68.0,64.0,64.0,62.0,60.0,94.0,nan,64.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,82.0,73.0,61.0,63.0,61.0,57.0,90.0,nan,47.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,87.0,72.0,59.0,65.0,62.0,57.0,93.0,nan,46.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,91.0,82.0,73.0,70.0,65.0,57.0,85.0,nan,31.0,14.0,nan,7.0,nan,nan,nan,nan,nan,nan
29,91.0,79.0,69.0,69.0,66.0,61.0,88.0,nan,43.0,26.0,nan,4.0,nan,nan,nan,nan,nan,nan
30,89.0,78.0,68.0,71.0,67.0,63.0,94.0,nan,49.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,75.0,70.0,64.0,67.0,63.0,53.0,93.0,nan,55.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
