Sep Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,69.0,60.0,50.0,52.0,47.0,43.0,69.0,nan,42.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
2,75.0,63.0,50.0,58.0,49.0,44.0,90.0,nan,35.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,84.0,71.0,57.0,58.0,54.0,49.0,93.0,nan,31.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
4,82.0,72.0,62.0,68.0,57.0,51.0,79.0,nan,49.0,24.0,nan,6.0,nan,nan,nan,nan,nan,nan
5,70.0,62.0,54.0,52.0,46.0,42.0,77.0,nan,40.0,26.0,nan,7.0,nan,nan,nan,nan,nan,nan
6,67.0,58.0,49.0,46.0,45.0,41.0,86.0,nan,40.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
7,71.0,62.0,52.0,48.0,45.0,36.0,83.0,nan,30.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,69.0,64.0,58.0,56.0,50.0,46.0,75.0,nan,56.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,72.0,63.0,54.0,53.0,48.0,42.0,78.0,nan,35.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,70.0,60.0,50.0,51.0,46.0,42.0,83.0,nan,37.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,75.0,64.0,52.0,52.0,48.0,43.0,83.0,nan,33.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,77.0,66.0,54.0,58.0,53.0,47.0,93.0,nan,36.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,77.0,68.0,58.0,62.0,59.0,56.0,90.0,nan,50.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
14,81.0,70.0,59.0,62.0,61.0,57.0,97.0,nan,45.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,87.0,75.0,62.0,62.0,59.0,55.0,90.0,nan,35.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
16,88.0,77.0,65.0,63.0,61.0,59.0,87.0,nan,40.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
17,86.0,75.0,63.0,65.0,62.0,55.0,78.0,nan,44.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,77.0,68.0,58.0,59.0,54.0,51.0,80.0,nan,43.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
19,79.0,72.0,64.0,66.0,63.0,61.0,93.0,nan,56.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,92.0,77.0,62.0,67.0,65.0,61.0,93.0,nan,44.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
21,94.0,83.0,72.0,70.0,66.0,61.0,79.0,nan,33.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,94.0,83.0,71.0,68.0,65.0,62.0,79.0,nan,36.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,95.0,84.0,72.0,67.0,65.0,61.0,74.0,nan,36.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,93.0,82.0,70.0,65.0,62.0,56.0,79.0,nan,30.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,92.0,80.0,67.0,62.0,57.0,51.0,68.0,nan,30.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,92.0,81.0,70.0,66.0,61.0,57.0,69.0,nan,34.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,72.0,64.0,56.0,62.0,50.0,45.0,73.0,nan,40.0,18.0,nan,9.0,nan,nan,nan,nan,nan,nan
28,74.0,64.0,53.0,46.0,43.0,40.0,71.0,nan,31.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
29,70.0,63.0,56.0,49.0,46.0,40.0,67.0,nan,35.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
30,68.0,61.0,53.0,47.0,43.0,38.0,71.0,nan,34.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
