Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,76.0,70.0,63.0,70.0,63.0,61.0,93.0,nan,68.0,25.0,nan,4.0,nan,nan,nan,nan,nan,nan
2,63.0,53.0,43.0,59.0,50.0,42.0,97.0,nan,71.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,68.0,56.0,43.0,46.0,42.0,38.0,100.0,nan,37.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,72.0,61.0,50.0,49.0,45.0,41.0,93.0,nan,35.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,73.0,64.0,54.0,52.0,48.0,45.0,83.0,nan,41.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
6,64.0,58.0,52.0,55.0,51.0,45.0,93.0,nan,60.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
7,68.0,60.0,52.0,51.0,45.0,36.0,83.0,nan,36.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,74.0,62.0,49.0,50.0,43.0,39.0,83.0,nan,31.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,80.0,68.0,55.0,61.0,55.0,49.0,83.0,nan,45.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
10,76.0,68.0,60.0,66.0,64.0,60.0,93.0,nan,64.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,83.0,72.0,60.0,64.0,62.0,59.0,100.0,nan,51.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,86.0,75.0,63.0,71.0,65.0,61.0,97.0,nan,58.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,73.0,66.0,58.0,63.0,56.0,50.0,100.0,nan,53.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
14,78.0,67.0,56.0,55.0,51.0,48.0,77.0,nan,43.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
15,80.0,69.0,58.0,68.0,61.0,50.0,87.0,nan,62.0,31.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,86.0,78.0,69.0,66.0,62.0,59.0,84.0,nan,45.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
17,88.0,74.0,59.0,59.0,55.0,52.0,90.0,nan,29.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,71.0,64.0,56.0,56.0,53.0,46.0,100.0,nan,52.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
19,75.0,64.0,53.0,54.0,46.0,33.0,83.0,nan,31.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
20,86.0,71.0,56.0,63.0,57.0,46.0,78.0,nan,46.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,82.0,75.0,68.0,67.0,65.0,61.0,90.0,nan,58.0,32.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,80.0,74.0,67.0,72.0,68.0,66.0,97.0,nan,67.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,87.0,77.0,66.0,72.0,68.0,64.0,93.0,nan,57.0,32.0,nan,5.0,nan,nan,nan,nan,nan,nan
24,89.0,78.0,67.0,72.0,67.0,63.0,93.0,nan,51.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
25,85.0,76.0,67.0,74.0,68.0,63.0,90.0,nan,70.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,80.0,73.0,66.0,70.0,66.0,64.0,93.0,nan,67.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,90.0,77.0,64.0,72.0,67.0,62.0,100.0,nan,44.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,83.0,75.0,67.0,63.0,61.0,58.0,81.0,nan,45.0,26.0,nan,6.0,nan,nan,nan,nan,nan,nan
29,72.0,68.0,64.0,63.0,60.0,54.0,93.0,nan,61.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
30,77.0,70.0,62.0,59.0,52.0,38.0,84.0,nan,31.0,29.0,nan,6.0,nan,nan,nan,nan,nan,nan
