May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,84.0,70.0,56.0,58.0,54.0,51.0,84.0,nan,34.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
2,55.0,49.0,42.0,48.0,41.0,37.0,83.0,nan,66.0,24.0,nan,9.0,nan,nan,nan,nan,nan,nan
3,48.0,44.0,40.0,45.0,41.0,37.0,93.0,nan,82.0,22.0,nan,6.0,nan,nan,nan,nan,nan,nan
4,71.0,60.0,48.0,49.0,46.0,43.0,93.0,nan,45.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,69.0,59.0,48.0,45.0,43.0,38.0,80.0,nan,42.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
6,71.0,61.0,50.0,42.0,39.0,35.0,64.0,nan,32.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,75.0,62.0,48.0,44.0,41.0,37.0,71.0,nan,31.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,79.0,64.0,48.0,48.0,44.0,37.0,80.0,nan,25.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,75.0,61.0,46.0,59.0,49.0,43.0,100.0,nan,46.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,47.0,46.0,44.0,46.0,43.0,39.0,100.0,nan,76.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,60.0,52.0,43.0,49.0,39.0,25.0,93.0,nan,35.0,31.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,55.0,46.0,37.0,34.0,28.0,22.0,76.0,nan,28.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
13,64.0,50.0,36.0,36.0,32.0,22.0,79.0,nan,22.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,91.0,71.0,50.0,58.0,48.0,37.0,61.0,nan,19.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,84.0,72.0,60.0,56.0,50.0,45.0,60.0,nan,28.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,83.0,68.0,53.0,53.0,46.0,39.0,86.0,nan,26.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,70.0,63.0,55.0,52.0,45.0,39.0,62.0,nan,48.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,80.0,68.0,56.0,61.0,56.0,47.0,86.0,nan,54.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,86.0,72.0,58.0,64.0,61.0,55.0,93.0,nan,45.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,89.0,77.0,65.0,68.0,61.0,52.0,93.0,nan,29.0,31.0,nan,4.0,nan,nan,nan,nan,nan,nan
21,81.0,73.0,64.0,66.0,63.0,60.0,93.0,nan,54.0,25.0,nan,5.0,nan,nan,nan,nan,nan,nan
22,73.0,63.0,52.0,66.0,62.0,52.0,100.0,nan,61.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,54.0,48.0,42.0,52.0,43.0,34.0,100.0,nan,60.0,28.0,nan,7.0,nan,nan,nan,nan,nan,nan
24,57.0,49.0,41.0,35.0,33.0,31.0,73.0,nan,38.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,57.0,51.0,44.0,41.0,37.0,34.0,70.0,nan,47.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,68.0,56.0,44.0,48.0,43.0,34.0,83.0,nan,48.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
27,62.0,58.0,53.0,56.0,53.0,46.0,93.0,nan,72.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
28,76.0,66.0,56.0,70.0,64.0,54.0,100.0,nan,74.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,84.0,74.0,64.0,68.0,64.0,61.0,100.0,nan,58.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,83.0,74.0,64.0,71.0,66.0,59.0,87.0,nan,63.0,26.0,nan,5.0,nan,nan,nan,nan,nan,nan
31,77.0,71.0,64.0,70.0,65.0,63.0,93.0,nan,64.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
