Jan Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,39.0,28.0,18.0,24.0,19.0,16.0,92.0,nan,39.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,39.0,34.0,28.0,38.0,33.0,24.0,97.0,nan,68.0,9.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,39.0,29.0,19.0,38.0,34.0,12.0,100.0,nan,64.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,19.0,13.0,7.0,9.0,2.0,-2.0,73.0,nan,47.0,25.0,nan,10.0,nan,nan,nan,nan,nan,nan
5,13.0,8.0,3.0,0.0,-3.0,-8.0,69.0,nan,53.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
6,9.0,5.0,0.0,-4.0,-7.0,-9.0,75.0,nan,49.0,16.0,nan,6.0,nan,nan,nan,nan,nan,nan
7,18.0,9.0,0.0,1.0,-3.0,-8.0,79.0,nan,43.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
8,19.0,11.0,2.0,3.0,-3.0,-6.0,75.0,nan,37.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,33.0,26.0,18.0,24.0,19.0,6.0,84.0,nan,49.0,22.0,nan,9.0,nan,nan,nan,nan,nan,nan
10,51.0,38.0,25.0,48.0,33.0,18.0,89.0,nan,68.0,40.0,nan,10.0,nan,nan,nan,nan,nan,nan
11,43.0,34.0,25.0,42.0,30.0,18.0,100.0,nan,70.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
12,28.0,24.0,19.0,25.0,18.0,7.0,96.0,nan,57.0,17.0,nan,8.0,nan,nan,nan,nan,nan,nan
13,27.0,22.0,16.0,21.0,13.0,5.0,88.0,nan,56.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
14,35.0,28.0,21.0,20.0,19.0,17.0,75.0,nan,52.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,36.0,28.0,20.0,24.0,19.0,13.0,84.0,nan,38.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,37.0,34.0,30.0,37.0,33.0,26.0,100.0,nan,78.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,39.0,37.0,35.0,38.0,36.0,33.0,100.0,nan,92.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,36.0,33.0,30.0,34.0,32.0,29.0,100.0,nan,82.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
19,42.0,36.0,30.0,37.0,35.0,30.0,100.0,nan,79.0,12.0,nan,4.0,nan,nan,nan,nan,nan,nan
20,43.0,41.0,38.0,42.0,39.0,37.0,100.0,nan,92.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,59.0,50.0,40.0,48.0,44.0,39.0,100.0,nan,62.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,46.0,42.0,38.0,42.0,39.0,37.0,100.0,nan,76.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,42.0,39.0,36.0,37.0,35.0,33.0,100.0,nan,76.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
24,38.0,36.0,34.0,34.0,32.0,31.0,92.0,nan,82.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,42.0,38.0,34.0,38.0,35.0,32.0,100.0,nan,85.0,22.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,34.0,32.0,30.0,32.0,27.0,22.0,96.0,nan,69.0,22.0,nan,10.0,nan,nan,nan,nan,nan,nan
27,31.0,28.0,24.0,23.0,20.0,16.0,81.0,nan,63.0,22.0,nan,8.0,nan,nan,nan,nan,nan,nan
28,29.0,27.0,24.0,23.0,20.0,17.0,81.0,nan,63.0,20.0,nan,8.0,nan,nan,nan,nan,nan,nan
29,28.0,25.0,21.0,18.0,15.0,9.0,68.0,nan,53.0,22.0,nan,6.0,nan,nan,nan,nan,nan,nan
30,37.0,26.0,15.0,31.0,15.0,6.0,75.0,nan,42.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
31,39.0,37.0,35.0,34.0,31.0,27.0,92.0,nan,59.0,25.0,nan,9.0,nan,nan,nan,nan,nan,nan
