Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,76.0,65.0,53.0,65.0,55.0,45.0,84.0,nan,60.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,70.0,61.0,52.0,59.0,53.0,45.0,84.0,nan,66.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,78.0,69.0,60.0,58.0,53.0,48.0,90.0,nan,36.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,80.0,68.0,55.0,50.0,48.0,45.0,77.0,nan,32.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
5,72.0,63.0,54.0,53.0,46.0,38.0,64.0,nan,44.0,23.0,nan,7.0,nan,nan,nan,nan,nan,nan
6,79.0,64.0,48.0,58.0,50.0,39.0,80.0,nan,45.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,81.0,71.0,60.0,58.0,55.0,48.0,73.0,nan,45.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,73.0,66.0,59.0,58.0,54.0,47.0,72.0,nan,57.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
9,82.0,70.0,57.0,65.0,60.0,50.0,93.0,nan,58.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,71.0,66.0,60.0,66.0,62.0,58.0,100.0,nan,84.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,70.0,66.0,61.0,63.0,60.0,57.0,93.0,nan,76.0,16.0,nan,6.0,nan,nan,nan,nan,nan,nan
12,80.0,71.0,62.0,69.0,65.0,59.0,93.0,nan,67.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,81.0,73.0,64.0,68.0,58.0,46.0,97.0,nan,30.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,81.0,73.0,64.0,54.0,50.0,46.0,67.0,nan,32.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,89.0,77.0,64.0,68.0,59.0,49.0,68.0,nan,43.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,92.0,81.0,69.0,71.0,68.0,64.0,97.0,nan,47.0,31.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,93.0,86.0,78.0,72.0,70.0,69.0,74.0,nan,46.0,22.0,nan,7.0,nan,nan,nan,nan,nan,nan
18,95.0,81.0,66.0,72.0,70.0,68.0,87.0,nan,46.0,28.0,nan,8.0,nan,nan,nan,nan,nan,nan
19,81.0,72.0,63.0,69.0,63.0,60.0,93.0,nan,67.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,77.0,71.0,65.0,64.0,61.0,57.0,87.0,nan,64.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,67.0,65.0,62.0,64.0,62.0,58.0,93.0,nan,78.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
22,64.0,62.0,59.0,60.0,58.0,57.0,90.0,nan,84.0,22.0,nan,7.0,nan,nan,nan,nan,nan,nan
23,81.0,72.0,62.0,64.0,57.0,53.0,90.0,nan,42.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,80.0,72.0,64.0,63.0,59.0,54.0,84.0,nan,54.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,78.0,70.0,61.0,61.0,59.0,56.0,90.0,nan,54.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,84.0,75.0,66.0,69.0,65.0,57.0,90.0,nan,58.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,80.0,75.0,69.0,68.0,65.0,62.0,90.0,nan,67.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,88.0,78.0,68.0,67.0,65.0,63.0,87.0,nan,48.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,96.0,85.0,73.0,0.0,0.0,0.0,84.0,nan,46.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,94.0,87.0,80.0,0.0,0.0,0.0,79.0,nan,49.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
