May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,49.0,46.0,42.0,45.0,44.0,42.0,100.0,nan,86.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,59.0,51.0,42.0,42.0,37.0,31.0,92.0,nan,38.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,67.0,54.0,40.0,41.0,37.0,34.0,76.0,nan,37.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,57.0,50.0,42.0,47.0,41.0,34.0,86.0,nan,56.0,29.0,nan,5.0,nan,nan,nan,nan,nan,nan
5,61.0,51.0,41.0,43.0,37.0,33.0,73.0,nan,47.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,82.0,62.0,42.0,49.0,44.0,38.0,83.0,nan,28.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,70.0,57.0,44.0,55.0,39.0,17.0,78.0,nan,23.0,32.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,71.0,56.0,41.0,41.0,35.0,28.0,70.0,nan,22.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,58.0,54.0,50.0,51.0,47.0,41.0,100.0,nan,61.0,25.0,nan,4.0,nan,nan,nan,nan,nan,nan
10,63.0,57.0,51.0,59.0,54.0,51.0,100.0,nan,90.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,69.0,60.0,51.0,60.0,55.0,52.0,100.0,nan,73.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,70.0,62.0,53.0,63.0,56.0,44.0,100.0,nan,52.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,66.0,55.0,43.0,53.0,47.0,41.0,100.0,nan,42.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,47.0,44.0,41.0,41.0,33.0,28.0,83.0,nan,49.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
15,55.0,45.0,35.0,32.0,28.0,23.0,82.0,nan,32.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,70.0,58.0,46.0,45.0,38.0,31.0,62.0,nan,31.0,23.0,nan,8.0,nan,nan,nan,nan,nan,nan
17,57.0,51.0,44.0,45.0,39.0,29.0,71.0,nan,41.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,65.0,53.0,41.0,46.0,38.0,29.0,71.0,nan,48.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,69.0,54.0,39.0,40.0,33.0,26.0,85.0,nan,22.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,68.0,56.0,44.0,43.0,39.0,34.0,83.0,nan,35.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,75.0,64.0,53.0,43.0,36.0,28.0,57.0,nan,19.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,77.0,65.0,53.0,44.0,43.0,40.0,66.0,nan,31.0,14.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,81.0,65.0,48.0,47.0,43.0,37.0,86.0,nan,25.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,86.0,73.0,60.0,58.0,50.0,43.0,64.0,nan,27.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,86.0,75.0,64.0,65.0,63.0,58.0,100.0,nan,44.0,32.0,nan,4.0,nan,nan,nan,nan,nan,nan
26,83.0,73.0,62.0,67.0,64.0,61.0,93.0,nan,51.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,81.0,74.0,66.0,70.0,66.0,63.0,93.0,nan,54.0,28.0,nan,6.0,nan,nan,nan,nan,nan,nan
28,81.0,73.0,64.0,66.0,64.0,59.0,93.0,nan,60.0,24.0,nan,6.0,nan,nan,nan,nan,nan,nan
29,79.0,71.0,63.0,62.0,60.0,56.0,93.0,nan,45.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
30,87.0,75.0,63.0,60.0,57.0,51.0,78.0,nan,29.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,83.0,73.0,63.0,63.0,59.0,53.0,87.0,nan,42.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
