Sep Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,66.0,60.0,54.0,52.0,50.0,48.0,93.0,nan,54.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,78.0,64.0,50.0,59.0,55.0,50.0,100.0,nan,48.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,84.0,74.0,63.0,68.0,63.0,56.0,84.0,nan,55.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,75.0,66.0,59.0,63.0,58.0,56.0,93.0,nan,55.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,78.0,66.0,55.0,62.0,58.0,54.0,96.0,nan,54.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,84.0,72.0,61.0,70.0,64.0,55.0,100.0,nan,56.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,87.0,78.0,69.0,72.0,69.0,66.0,97.0,nan,55.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
8,81.0,74.0,66.0,70.0,65.0,62.0,87.0,nan,54.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,72.0,64.0,55.0,67.0,62.0,54.0,100.0,nan,82.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,77.0,64.0,53.0,55.0,51.0,46.0,97.0,nan,35.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
11,78.0,66.0,54.0,60.0,54.0,48.0,88.0,nan,49.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,82.0,70.0,57.0,63.0,56.0,54.0,87.0,nan,41.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,68.0,62.0,57.0,63.0,52.0,45.0,87.0,nan,54.0,18.0,nan,7.0,nan,nan,nan,nan,nan,nan
14,63.0,58.0,55.0,47.0,44.0,41.0,69.0,nan,46.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
15,66.0,58.0,51.0,49.0,47.0,45.0,89.0,nan,50.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,71.0,59.0,48.0,54.0,49.0,44.0,93.0,nan,39.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,64.0,60.0,55.0,58.0,54.0,49.0,93.0,nan,63.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,69.0,63.0,57.0,63.0,58.0,55.0,100.0,nan,63.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,66.0,62.0,57.0,65.0,61.0,54.0,100.0,nan,81.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,73.0,63.0,54.0,61.0,55.0,51.0,97.0,nan,48.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,68.0,60.0,55.0,63.0,59.0,55.0,100.0,nan,73.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,73.0,63.0,53.0,57.0,54.0,51.0,97.0,nan,49.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,66.0,58.0,50.0,61.0,56.0,44.0,100.0,nan,78.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,55.0,49.0,44.0,43.0,39.0,32.0,83.0,nan,52.0,21.0,nan,10.0,nan,nan,nan,nan,nan,nan
25,57.0,48.0,39.0,37.0,34.0,30.0,77.0,nan,38.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,69.0,59.0,50.0,50.0,40.0,36.0,83.0,nan,31.0,18.0,nan,7.0,nan,nan,nan,nan,nan,nan
27,62.0,54.0,45.0,48.0,45.0,41.0,93.0,nan,51.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
28,55.0,54.0,52.0,49.0,47.0,46.0,83.0,nan,74.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
29,64.0,55.0,46.0,52.0,49.0,45.0,97.0,nan,56.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,71.0,57.0,44.0,56.0,49.0,45.0,100.0,nan,49.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
