Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,81.0,66.0,51.0,45.0,40.0,31.0,71.0,nan,18.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,86.0,70.0,53.0,44.0,42.0,39.0,61.0,nan,20.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,84.0,71.0,57.0,60.0,52.0,44.0,55.0,nan,34.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,92.0,79.0,66.0,63.0,58.0,50.0,73.0,nan,25.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
5,75.0,67.0,59.0,59.0,53.0,38.0,84.0,nan,42.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,76.0,65.0,54.0,46.0,43.0,37.0,77.0,nan,29.0,22.0,nan,8.0,nan,nan,nan,nan,nan,nan
7,77.0,67.0,56.0,49.0,44.0,37.0,77.0,nan,25.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,83.0,68.0,53.0,52.0,44.0,39.0,72.0,nan,22.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,87.0,76.0,65.0,58.0,55.0,51.0,68.0,nan,35.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
10,90.0,77.0,64.0,57.0,52.0,45.0,78.0,nan,22.0,31.0,nan,5.0,nan,nan,nan,nan,nan,nan
11,93.0,83.0,73.0,63.0,58.0,54.0,58.0,nan,28.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
12,95.0,84.0,73.0,65.0,61.0,57.0,60.0,nan,31.0,26.0,nan,7.0,nan,nan,nan,nan,nan,nan
13,88.0,78.0,68.0,66.0,63.0,61.0,78.0,nan,45.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,92.0,80.0,68.0,70.0,66.0,60.0,90.0,nan,49.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,91.0,80.0,68.0,68.0,63.0,54.0,90.0,nan,29.0,30.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,86.0,77.0,67.0,67.0,61.0,56.0,81.0,nan,44.0,31.0,nan,5.0,nan,nan,nan,nan,nan,nan
17,87.0,78.0,69.0,72.0,68.0,64.0,93.0,nan,59.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,79.0,74.0,69.0,70.0,62.0,54.0,87.0,nan,45.0,28.0,nan,7.0,nan,nan,nan,nan,nan,nan
19,80.0,71.0,62.0,57.0,54.0,51.0,78.0,nan,39.0,29.0,nan,5.0,nan,nan,nan,nan,nan,nan
20,80.0,69.0,58.0,56.0,53.0,49.0,86.0,nan,35.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,80.0,68.0,55.0,58.0,53.0,48.0,86.0,nan,35.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,88.0,78.0,68.0,70.0,67.0,60.0,74.0,nan,50.0,25.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,83.0,75.0,66.0,71.0,61.0,45.0,82.0,nan,26.0,25.0,nan,4.0,nan,nan,nan,nan,nan,nan
24,75.0,67.0,59.0,55.0,50.0,40.0,78.0,nan,31.0,28.0,nan,7.0,nan,nan,nan,nan,nan,nan
25,72.0,63.0,54.0,51.0,48.0,45.0,83.0,nan,40.0,22.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,75.0,65.0,54.0,49.0,45.0,39.0,83.0,nan,31.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,78.0,64.0,50.0,47.0,45.0,42.0,83.0,nan,31.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,80.0,69.0,58.0,65.0,57.0,46.0,87.0,nan,49.0,30.0,nan,5.0,nan,nan,nan,nan,nan,nan
29,81.0,74.0,66.0,68.0,64.0,61.0,93.0,nan,58.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
30,84.0,74.0,64.0,67.0,66.0,63.0,93.0,nan,55.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
