Jan Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,39.0,32.0,25.0,39.0,27.0,15.0,100.0,nan,58.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
2,54.0,44.0,34.0,54.0,42.0,30.0,100.0,nan,81.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,36.0,34.0,32.0,34.0,31.0,28.0,96.0,nan,85.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
4,35.0,32.0,30.0,31.0,29.0,27.0,93.0,nan,75.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
5,30.0,28.0,26.0,28.0,26.0,23.0,96.0,nan,80.0,23.0,nan,15.0,nan,nan,nan,nan,nan,nan
6,27.0,20.0,12.0,25.0,21.0,8.0,96.0,nan,74.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,27.0,18.0,10.0,22.0,16.0,7.0,92.0,nan,74.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,27.0,26.0,25.0,23.0,21.0,19.0,86.0,nan,74.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,34.0,30.0,26.0,34.0,28.0,22.0,100.0,nan,79.0,17.0,nan,7.0,nan,nan,nan,nan,nan,nan
10,34.0,32.0,30.0,30.0,26.0,24.0,87.0,nan,67.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,36.0,34.0,33.0,34.0,33.0,30.0,100.0,nan,87.0,13.0,nan,6.0,nan,nan,nan,nan,nan,nan
12,62.0,48.0,33.0,55.0,43.0,33.0,100.0,nan,78.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,43.0,30.0,15.0,41.0,29.0,1.0,96.0,nan,53.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
14,12.0,8.0,3.0,-1.0,-5.0,-9.0,61.0,nan,46.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
15,14.0,10.0,5.0,-3.0,-8.0,-12.0,64.0,nan,37.0,10.0,nan,7.0,nan,nan,nan,nan,nan,nan
16,14.0,8.0,3.0,0.0,-7.0,-14.0,67.0,nan,33.0,15.0,nan,9.0,nan,nan,nan,nan,nan,nan
17,10.0,6.0,1.0,-4.0,-8.0,-11.0,69.0,nan,38.0,15.0,nan,9.0,nan,nan,nan,nan,nan,nan
18,23.0,11.0,1.0,18.0,5.0,-9.0,89.0,nan,45.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,35.0,30.0,26.0,31.0,22.0,16.0,92.0,nan,64.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,28.0,26.0,23.0,25.0,21.0,17.0,93.0,nan,72.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,24.0,20.0,17.0,17.0,13.0,8.0,92.0,nan,55.0,21.0,nan,8.0,nan,nan,nan,nan,nan,nan
22,21.0,16.0,10.0,19.0,14.0,2.0,93.0,nan,64.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,23.0,16.0,9.0,14.0,7.0,0.0,84.0,nan,58.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,30.0,26.0,21.0,20.0,17.0,14.0,75.0,nan,61.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,42.0,34.0,25.0,35.0,26.0,21.0,88.0,nan,60.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,35.0,26.0,17.0,28.0,19.0,12.0,86.0,nan,69.0,21.0,nan,8.0,nan,nan,nan,nan,nan,nan
27,21.0,15.0,8.0,16.0,12.0,1.0,93.0,nan,54.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,27.0,16.0,5.0,11.0,5.0,-3.0,80.0,nan,42.0,14.0,nan,6.0,nan,nan,nan,nan,nan,nan
29,34.0,26.0,19.0,24.0,17.0,11.0,76.0,nan,52.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,34.0,31.0,26.0,27.0,26.0,24.0,92.0,nan,72.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,36.0,28.0,19.0,25.0,22.0,18.0,100.0,nan,52.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
