Sep Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,75.0,73.0,71.0,70.0,66.0,60.0,87.0,nan,64.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
2,82.0,78.0,73.0,72.0,70.0,67.0,93.0,nan,69.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
3,88.0,80.0,71.0,70.0,70.0,68.0,93.0,nan,55.0,12.0,nan,4.0,nan,nan,nan,nan,nan,nan
4,90.0,78.0,66.0,73.0,69.0,59.0,93.0,nan,47.0,36.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,86.0,75.0,63.0,67.0,63.0,61.0,100.0,nan,48.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,86.0,77.0,68.0,66.0,61.0,51.0,84.0,nan,30.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,78.0,69.0,59.0,67.0,61.0,55.0,90.0,nan,56.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,73.0,64.0,54.0,56.0,49.0,44.0,93.0,nan,38.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
9,72.0,64.0,55.0,56.0,52.0,47.0,93.0,nan,44.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
10,75.0,64.0,52.0,53.0,49.0,46.0,86.0,nan,36.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,83.0,68.0,52.0,56.0,52.0,47.0,89.0,nan,34.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
12,86.0,75.0,63.0,60.0,56.0,54.0,78.0,nan,34.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
13,71.0,63.0,54.0,58.0,53.0,49.0,93.0,nan,58.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,76.0,64.0,51.0,53.0,46.0,36.0,100.0,nan,29.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,79.0,65.0,50.0,49.0,46.0,42.0,83.0,nan,28.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,77.0,63.0,49.0,51.0,47.0,44.0,83.0,nan,31.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,78.0,67.0,55.0,61.0,57.0,49.0,93.0,nan,47.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,63.0,55.0,47.0,54.0,41.0,30.0,93.0,nan,33.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,73.0,57.0,41.0,45.0,39.0,37.0,89.0,nan,29.0,30.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,72.0,62.0,51.0,48.0,39.0,32.0,77.0,nan,25.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,60.0,54.0,48.0,51.0,45.0,38.0,100.0,nan,54.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,59.0,52.0,44.0,50.0,42.0,35.0,100.0,nan,44.0,26.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,61.0,51.0,40.0,40.0,34.0,28.0,86.0,nan,29.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,70.0,54.0,37.0,38.0,33.0,31.0,79.0,nan,23.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,77.0,63.0,49.0,62.0,51.0,39.0,93.0,nan,43.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
26,68.0,61.0,53.0,61.0,52.0,42.0,93.0,nan,52.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,65.0,56.0,46.0,48.0,45.0,41.0,86.0,nan,48.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
28,67.0,59.0,50.0,52.0,48.0,46.0,86.0,nan,48.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,79.0,64.0,48.0,53.0,45.0,37.0,93.0,nan,23.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,66.0,58.0,50.0,52.0,46.0,39.0,93.0,nan,40.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
