May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,67.0,53.0,38.0,41.0,38.0,34.0,92.0,nan,37.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,76.0,63.0,50.0,42.0,37.0,34.0,68.0,nan,23.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,78.0,67.0,55.0,59.0,48.0,39.0,90.0,nan,33.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
4,74.0,65.0,55.0,58.0,52.0,37.0,87.0,nan,48.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
5,56.0,52.0,47.0,51.0,47.0,38.0,100.0,nan,51.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
6,77.0,62.0,46.0,60.0,51.0,46.0,100.0,nan,57.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,83.0,68.0,52.0,62.0,53.0,48.0,89.0,nan,31.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,81.0,72.0,63.0,65.0,63.0,61.0,93.0,nan,51.0,31.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,64.0,56.0,47.0,63.0,53.0,42.0,100.0,nan,71.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,54.0,50.0,45.0,49.0,46.0,44.0,100.0,nan,83.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
11,68.0,58.0,47.0,62.0,53.0,40.0,100.0,nan,52.0,28.0,nan,4.0,nan,nan,nan,nan,nan,nan
12,56.0,50.0,44.0,41.0,38.0,33.0,68.0,nan,51.0,28.0,nan,6.0,nan,nan,nan,nan,nan,nan
13,52.0,46.0,40.0,36.0,34.0,31.0,79.0,nan,50.0,16.0,nan,6.0,nan,nan,nan,nan,nan,nan
14,66.0,55.0,43.0,52.0,43.0,32.0,82.0,nan,44.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
15,76.0,67.0,57.0,63.0,59.0,53.0,93.0,nan,60.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,79.0,71.0,62.0,66.0,64.0,60.0,93.0,nan,67.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,82.0,74.0,66.0,69.0,65.0,60.0,93.0,nan,54.0,28.0,nan,8.0,nan,nan,nan,nan,nan,nan
18,77.0,63.0,49.0,64.0,53.0,37.0,87.0,nan,40.0,26.0,nan,8.0,nan,nan,nan,nan,nan,nan
19,53.0,47.0,40.0,38.0,35.0,30.0,71.0,nan,54.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
20,48.0,44.0,39.0,40.0,32.0,25.0,86.0,nan,42.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,69.0,57.0,45.0,42.0,37.0,34.0,76.0,nan,27.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
22,66.0,57.0,47.0,41.0,33.0,25.0,76.0,nan,23.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
23,80.0,63.0,46.0,45.0,39.0,32.0,61.0,nan,23.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
24,72.0,66.0,59.0,62.0,54.0,45.0,93.0,nan,48.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
25,78.0,72.0,65.0,66.0,62.0,58.0,78.0,nan,54.0,26.0,nan,5.0,nan,nan,nan,nan,nan,nan
26,74.0,69.0,64.0,67.0,64.0,60.0,93.0,nan,68.0,31.0,nan,7.0,nan,nan,nan,nan,nan,nan
27,74.0,67.0,59.0,61.0,58.0,53.0,87.0,nan,49.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,82.0,68.0,54.0,57.0,54.0,52.0,93.0,nan,36.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,81.0,72.0,63.0,67.0,63.0,55.0,87.0,nan,54.0,25.0,nan,4.0,nan,nan,nan,nan,nan,nan
30,71.0,58.0,44.0,65.0,52.0,38.0,100.0,nan,76.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,55.0,49.0,42.0,42.0,39.0,37.0,89.0,nan,54.0,26.0,nan,8.0,nan,nan,nan,nan,nan,nan
