Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,65.0,57.0,49.0,49.0,44.0,37.0,89.0,nan,37.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
2,76.0,63.0,49.0,53.0,45.0,39.0,80.0,nan,31.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
3,81.0,69.0,57.0,53.0,49.0,44.0,86.0,nan,30.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
4,75.0,67.0,59.0,52.0,47.0,43.0,63.0,nan,33.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
5,70.0,64.0,57.0,53.0,49.0,45.0,80.0,nan,40.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
6,76.0,64.0,52.0,51.0,47.0,42.0,83.0,nan,31.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,82.0,68.0,54.0,46.0,44.0,40.0,72.0,nan,26.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,88.0,71.0,54.0,51.0,49.0,45.0,72.0,nan,26.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,90.0,78.0,65.0,52.0,50.0,47.0,58.0,nan,24.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
10,93.0,80.0,67.0,60.0,55.0,52.0,61.0,nan,24.0,26.0,nan,5.0,nan,nan,nan,nan,nan,nan
11,90.0,80.0,70.0,67.0,62.0,57.0,68.0,nan,42.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
12,78.0,69.0,59.0,55.0,46.0,42.0,65.0,nan,31.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
13,72.0,63.0,54.0,52.0,45.0,36.0,83.0,nan,28.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,87.0,72.0,56.0,52.0,48.0,45.0,80.0,nan,27.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,94.0,77.0,59.0,52.0,49.0,45.0,60.0,nan,20.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,94.0,82.0,69.0,66.0,60.0,50.0,90.0,nan,33.0,30.0,nan,5.0,nan,nan,nan,nan,nan,nan
17,87.0,78.0,69.0,67.0,61.0,52.0,90.0,nan,30.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,94.0,82.0,69.0,68.0,65.0,60.0,74.0,nan,33.0,36.0,nan,7.0,nan,nan,nan,nan,nan,nan
19,95.0,87.0,78.0,68.0,65.0,62.0,62.0,nan,39.0,23.0,nan,10.0,nan,nan,nan,nan,nan,nan
20,95.0,86.0,77.0,66.0,63.0,58.0,56.0,nan,36.0,26.0,nan,10.0,nan,nan,nan,nan,nan,nan
21,85.0,78.0,70.0,67.0,59.0,52.0,64.0,nan,32.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,87.0,76.0,64.0,55.0,51.0,47.0,73.0,nan,27.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
23,87.0,75.0,62.0,60.0,55.0,49.0,78.0,nan,30.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,94.0,80.0,65.0,62.0,57.0,54.0,78.0,nan,30.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,76.0,68.0,60.0,59.0,49.0,43.0,70.0,nan,33.0,22.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,83.0,70.0,56.0,54.0,49.0,44.0,78.0,nan,28.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,92.0,75.0,57.0,57.0,51.0,47.0,75.0,nan,25.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
28,100.0,88.0,76.0,77.0,68.0,55.0,85.0,nan,42.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,88.0,79.0,69.0,73.0,62.0,50.0,70.0,nan,30.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,92.0,81.0,69.0,71.0,67.0,63.0,93.0,nan,41.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
