Jan Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,23.0,14.0,6.0,14.0,10.0,3.0,92.0,nan,65.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
2,18.0,12.0,6.0,11.0,6.0,3.0,92.0,nan,71.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,28.0,18.0,8.0,25.0,17.0,1.0,95.0,nan,73.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
4,30.0,24.0,19.0,25.0,21.0,17.0,96.0,nan,81.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
5,36.0,30.0,21.0,28.0,24.0,14.0,82.0,nan,64.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
6,33.0,26.0,19.0,25.0,19.0,14.0,96.0,nan,59.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,34.0,28.0,21.0,29.0,23.0,15.0,89.0,nan,64.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
8,26.0,20.0,14.0,17.0,13.0,7.0,84.0,nan,63.0,14.0,nan,8.0,nan,nan,nan,nan,nan,nan
9,23.0,16.0,10.0,15.0,11.0,7.0,87.0,nan,71.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
10,34.0,26.0,19.0,24.0,19.0,13.0,81.0,nan,61.0,14.0,nan,5.0,nan,nan,nan,nan,nan,nan
11,39.0,28.0,18.0,29.0,24.0,16.0,92.0,nan,65.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,37.0,31.0,25.0,31.0,29.0,24.0,96.0,nan,78.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,35.0,34.0,33.0,32.0,31.0,30.0,96.0,nan,85.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
14,36.0,34.0,32.0,36.0,34.0,28.0,100.0,nan,81.0,13.0,nan,6.0,nan,nan,nan,nan,nan,nan
15,35.0,32.0,30.0,34.0,32.0,26.0,100.0,nan,81.0,17.0,nan,8.0,nan,nan,nan,nan,nan,nan
16,30.0,28.0,26.0,27.0,25.0,22.0,96.0,nan,82.0,15.0,nan,7.0,nan,nan,nan,nan,nan,nan
17,26.0,22.0,19.0,22.0,19.0,16.0,91.0,nan,71.0,12.0,nan,4.0,nan,nan,nan,nan,nan,nan
18,30.0,24.0,19.0,25.0,21.0,16.0,92.0,nan,72.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
19,27.0,22.0,17.0,23.0,18.0,12.0,88.0,nan,72.0,22.0,nan,7.0,nan,nan,nan,nan,nan,nan
20,24.0,18.0,10.0,11.0,10.0,6.0,81.0,nan,57.0,12.0,nan,5.0,nan,nan,nan,nan,nan,nan
21,25.0,18.0,10.0,14.0,11.0,4.0,88.0,nan,60.0,9.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,28.0,18.0,7.0,25.0,15.0,5.0,92.0,nan,63.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,34.0,28.0,21.0,25.0,23.0,18.0,92.0,nan,70.0,12.0,nan,5.0,nan,nan,nan,nan,nan,nan
24,27.0,22.0,17.0,21.0,17.0,11.0,88.0,nan,66.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
25,25.0,20.0,14.0,15.0,11.0,8.0,81.0,nan,57.0,12.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,30.0,26.0,21.0,28.0,24.0,15.0,93.0,nan,69.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
27,26.0,20.0,15.0,20.0,12.0,8.0,78.0,nan,66.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
28,28.0,21.0,14.0,27.0,17.0,7.0,93.0,nan,65.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,42.0,35.0,28.0,41.0,33.0,28.0,100.0,nan,81.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
30,37.0,34.0,32.0,37.0,34.0,31.0,100.0,nan,92.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,34.0,31.0,27.0,32.0,29.0,22.0,96.0,nan,79.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
