Feb Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,31.0,26.0,20.0,26.0,20.0,14.0,88.0,nan,71.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,21.0,10.0,-1.0,12.0,3.0,-3.0,76.0,nan,49.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,21.0,8.0,-6.0,5.0,-3.0,-11.0,82.0,nan,43.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,24.0,16.0,7.0,19.0,12.0,-3.0,81.0,nan,53.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,25.0,17.0,9.0,20.0,14.0,2.0,81.0,nan,61.0,25.0,nan,5.0,nan,nan,nan,nan,nan,nan
6,14.0,6.0,-2.0,5.0,-6.0,-11.0,79.0,nan,56.0,20.0,nan,8.0,nan,nan,nan,nan,nan,nan
7,11.0,4.0,-4.0,-3.0,-7.0,-11.0,71.0,nan,50.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
8,16.0,11.0,5.0,10.0,6.0,-4.0,83.0,nan,63.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,19.0,12.0,4.0,10.0,3.0,-6.0,80.0,nan,49.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
10,12.0,5.0,-3.0,-6.0,-9.0,-13.0,66.0,nan,46.0,15.0,nan,6.0,nan,nan,nan,nan,nan,nan
11,14.0,3.0,-8.0,-4.0,-9.0,-17.0,69.0,nan,44.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,24.0,10.0,-5.0,10.0,4.0,-8.0,79.0,nan,45.0,12.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,31.0,21.0,10.0,23.0,12.0,3.0,74.0,nan,42.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
14,22.0,17.0,12.0,12.0,5.0,2.0,68.0,nan,52.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
15,24.0,14.0,3.0,10.0,5.0,-3.0,80.0,nan,46.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,29.0,23.0,17.0,15.0,12.0,10.0,80.0,nan,50.0,16.0,nan,6.0,nan,nan,nan,nan,nan,nan
17,28.0,26.0,23.0,20.0,17.0,14.0,88.0,nan,62.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,46.0,31.0,16.0,27.0,23.0,15.0,92.0,nan,42.0,30.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,44.0,37.0,30.0,28.0,25.0,23.0,75.0,nan,41.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
20,49.0,42.0,34.0,45.0,33.0,27.0,100.0,nan,67.0,39.0,nan,4.0,nan,nan,nan,nan,nan,nan
21,37.0,32.0,26.0,27.0,18.0,7.0,75.0,nan,38.0,38.0,nan,10.0,nan,nan,nan,nan,nan,nan
22,35.0,28.0,21.0,15.0,10.0,8.0,58.0,nan,35.0,17.0,nan,8.0,nan,nan,nan,nan,nan,nan
23,28.0,22.0,15.0,9.0,5.0,2.0,57.0,nan,38.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
24,25.0,19.0,12.0,7.0,4.0,2.0,64.0,nan,42.0,22.0,nan,7.0,nan,nan,nan,nan,nan,nan
25,22.0,14.0,6.0,8.0,1.0,-7.0,64.0,nan,45.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,18.0,10.0,1.0,4.0,-6.0,-10.0,62.0,nan,42.0,26.0,nan,9.0,nan,nan,nan,nan,nan,nan
27,18.0,11.0,4.0,3.0,-9.0,-16.0,55.0,nan,29.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,30.0,17.0,3.0,16.0,3.0,-12.0,62.0,nan,36.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
