May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,48.0,46.0,43.0,45.0,39.0,25.0,100.0,nan,46.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
2,51.0,45.0,37.0,36.0,30.0,25.0,82.0,nan,46.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,69.0,44.0,33.0,35.0,28.0,21.0,83.0,nan,28.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,68.0,54.0,41.0,54.0,44.0,35.0,81.0,nan,46.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
5,66.0,52.0,37.0,41.0,36.0,32.0,93.0,nan,35.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,82.0,68.0,55.0,66.0,57.0,41.0,81.0,nan,57.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,55.0,50.0,46.0,50.0,37.0,30.0,86.0,nan,43.0,21.0,nan,9.0,nan,nan,nan,nan,nan,nan
8,82.0,65.0,48.0,64.0,50.0,31.0,87.0,nan,45.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,88.0,70.0,54.0,68.0,60.0,50.0,93.0,nan,48.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,84.0,71.0,57.0,68.0,62.0,57.0,100.0,nan,53.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,82.0,67.0,53.0,66.0,60.0,53.0,100.0,nan,50.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,84.0,75.0,66.0,68.0,65.0,63.0,100.0,nan,51.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,78.0,70.0,64.0,70.0,67.0,65.0,100.0,nan,74.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,68.0,59.0,50.0,65.0,54.0,48.0,100.0,nan,86.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,55.0,48.0,41.0,48.0,40.0,33.0,93.0,nan,49.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,70.0,54.0,37.0,53.0,45.0,38.0,100.0,nan,47.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,80.0,69.0,59.0,66.0,63.0,56.0,96.0,nan,54.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
18,64.0,62.0,50.0,64.0,52.0,36.0,100.0,nan,54.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,71.0,58.0,45.0,64.0,55.0,39.0,97.0,nan,69.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,84.0,73.0,64.0,75.0,71.0,64.0,100.0,nan,72.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,77.0,62.0,48.0,68.0,57.0,48.0,100.0,nan,71.0,39.0,nan,5.0,nan,nan,nan,nan,nan,nan
22,77.0,66.0,55.0,70.0,61.0,54.0,100.0,nan,64.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
23,81.0,66.0,54.0,70.0,61.0,54.0,100.0,nan,56.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,64.0,55.0,46.0,52.0,48.0,43.0,94.0,nan,62.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
25,71.0,58.0,46.0,61.0,53.0,43.0,100.0,nan,65.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
26,66.0,58.0,50.0,50.0,46.0,44.0,86.0,nan,48.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,78.0,62.0,48.0,64.0,55.0,47.0,97.0,nan,47.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,60.0,53.0,46.0,46.0,40.0,33.0,93.0,nan,47.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
29,66.0,57.0,48.0,55.0,47.0,36.0,90.0,nan,59.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,73.0,65.0,57.0,68.0,61.0,50.0,100.0,nan,72.0,28.0,nan,5.0,nan,nan,nan,nan,nan,nan
31,66.0,62.0,57.0,64.0,58.0,48.0,100.0,nan,64.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
