Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,90.0,77.0,63.0,64.0,58.0,51.0,73.0,nan,40.0,29.0,nan,5.0,nan,nan,nan,nan,nan,nan
2,83.0,76.0,68.0,66.0,63.0,58.0,79.0,nan,46.0,35.0,nan,8.0,nan,nan,nan,nan,nan,nan
3,81.0,74.0,66.0,60.0,51.0,46.0,70.0,nan,30.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,70.0,63.0,55.0,56.0,53.0,47.0,86.0,nan,44.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
5,76.0,64.0,52.0,50.0,42.0,36.0,83.0,nan,25.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,81.0,65.0,49.0,45.0,40.0,32.0,71.0,nan,21.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,84.0,71.0,57.0,60.0,49.0,41.0,81.0,nan,31.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,72.0,63.0,54.0,59.0,46.0,31.0,84.0,nan,27.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
9,78.0,67.0,55.0,56.0,47.0,39.0,63.0,nan,47.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
10,66.0,61.0,56.0,56.0,51.0,43.0,87.0,nan,55.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
11,67.0,62.0,57.0,58.0,56.0,53.0,93.0,nan,73.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
12,79.0,69.0,58.0,61.0,56.0,47.0,93.0,nan,46.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,75.0,65.0,55.0,46.0,41.0,30.0,66.0,nan,20.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
14,79.0,66.0,52.0,46.0,43.0,41.0,66.0,nan,27.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,84.0,72.0,60.0,63.0,55.0,45.0,60.0,nan,42.0,32.0,nan,8.0,nan,nan,nan,nan,nan,nan
16,88.0,78.0,67.0,67.0,61.0,57.0,81.0,nan,37.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
17,91.0,84.0,77.0,67.0,64.0,61.0,69.0,nan,43.0,28.0,nan,5.0,nan,nan,nan,nan,nan,nan
18,82.0,72.0,61.0,69.0,61.0,56.0,90.0,nan,54.0,32.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,79.0,69.0,59.0,65.0,60.0,55.0,90.0,nan,62.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
20,85.0,74.0,63.0,67.0,64.0,58.0,93.0,nan,51.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,84.0,72.0,60.0,66.0,61.0,55.0,93.0,nan,55.0,31.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,82.0,73.0,63.0,64.0,61.0,57.0,93.0,nan,54.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,81.0,74.0,66.0,67.0,64.0,58.0,87.0,nan,58.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,87.0,79.0,70.0,67.0,65.0,58.0,84.0,nan,40.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,80.0,70.0,59.0,65.0,58.0,54.0,90.0,nan,60.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,78.0,69.0,59.0,63.0,57.0,55.0,87.0,nan,60.0,10.0,nan,4.0,nan,nan,nan,nan,nan,nan
27,88.0,74.0,59.0,65.0,61.0,55.0,90.0,nan,43.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,87.0,79.0,71.0,69.0,67.0,64.0,79.0,nan,53.0,25.0,nan,4.0,nan,nan,nan,nan,nan,nan
29,85.0,77.0,69.0,70.0,66.0,64.0,79.0,nan,55.0,29.0,nan,8.0,nan,nan,nan,nan,nan,nan
30,87.0,77.0,67.0,74.0,67.0,63.0,87.0,nan,59.0,31.0,nan,0.0,nan,nan,nan,nan,nan,nan
