May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,63.0,55.0,47.0,56.0,38.0,30.0,86.0,nan,35.0,28.0,nan,4.0,nan,nan,nan,nan,nan,nan
2,59.0,51.0,42.0,35.0,30.0,26.0,65.0,nan,30.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,50.0,44.0,37.0,32.0,31.0,29.0,70.0,nan,50.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
4,59.0,48.0,37.0,35.0,29.0,23.0,85.0,nan,25.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,63.0,49.0,35.0,52.0,39.0,29.0,93.0,nan,46.0,23.0,nan,4.0,nan,nan,nan,nan,nan,nan
6,68.0,56.0,44.0,46.0,40.0,34.0,100.0,nan,29.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,60.0,52.0,43.0,49.0,44.0,38.0,89.0,nan,51.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,68.0,54.0,39.0,48.0,43.0,39.0,96.0,nan,48.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,73.0,60.0,47.0,50.0,45.0,39.0,80.0,nan,42.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,90.0,76.0,62.0,69.0,59.0,45.0,78.0,nan,48.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,87.0,75.0,63.0,72.0,67.0,63.0,100.0,nan,53.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,86.0,72.0,58.0,67.0,63.0,59.0,100.0,nan,44.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,77.0,62.0,47.0,63.0,54.0,44.0,97.0,nan,64.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,53.0,49.0,45.0,48.0,46.0,43.0,100.0,nan,83.0,28.0,nan,12.0,nan,nan,nan,nan,nan,nan
15,46.0,44.0,41.0,46.0,39.0,28.0,100.0,nan,49.0,31.0,nan,16.0,nan,nan,nan,nan,nan,nan
16,52.0,45.0,37.0,34.0,30.0,23.0,82.0,nan,38.0,26.0,nan,5.0,nan,nan,nan,nan,nan,nan
17,60.0,50.0,40.0,37.0,33.0,27.0,79.0,nan,30.0,24.0,nan,6.0,nan,nan,nan,nan,nan,nan
18,57.0,53.0,49.0,52.0,48.0,36.0,100.0,nan,56.0,13.0,nan,5.0,nan,nan,nan,nan,nan,nan
19,72.0,61.0,49.0,57.0,53.0,49.0,100.0,nan,61.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,73.0,62.0,50.0,58.0,54.0,48.0,100.0,nan,57.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,75.0,63.0,50.0,64.0,57.0,48.0,100.0,nan,64.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,87.0,74.0,61.0,66.0,61.0,56.0,93.0,nan,44.0,29.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,79.0,70.0,60.0,63.0,60.0,56.0,100.0,nan,45.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
24,66.0,57.0,47.0,60.0,47.0,39.0,93.0,nan,57.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
25,67.0,57.0,47.0,60.0,52.0,46.0,100.0,nan,78.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,49.0,46.0,43.0,47.0,41.0,32.0,100.0,nan,56.0,26.0,nan,10.0,nan,nan,nan,nan,nan,nan
27,58.0,49.0,40.0,45.0,40.0,35.0,86.0,nan,54.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,62.0,57.0,51.0,59.0,55.0,48.0,100.0,nan,84.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,70.0,61.0,52.0,63.0,59.0,52.0,100.0,nan,81.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,88.0,72.0,56.0,70.0,64.0,55.0,100.0,nan,50.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,85.0,77.0,69.0,70.0,65.0,51.0,74.0,nan,49.0,25.0,nan,7.0,nan,nan,nan,nan,nan,nan
