Apr Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,49.0,42.0,35.0,40.0,35.0,23.0,89.0,nan,54.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,40.0,34.0,27.0,30.0,24.0,11.0,75.0,nan,39.0,43.0,nan,5.0,nan,nan,nan,nan,nan,nan
3,71.0,49.0,26.0,42.0,28.0,15.0,70.0,nan,29.0,35.0,nan,4.0,nan,nan,nan,nan,nan,nan
4,38.0,34.0,29.0,29.0,24.0,19.0,75.0,nan,63.0,24.0,nan,6.0,nan,nan,nan,nan,nan,nan
5,45.0,35.0,24.0,33.0,21.0,11.0,81.0,nan,27.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,50.0,45.0,40.0,46.0,41.0,31.0,93.0,nan,70.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,41.0,37.0,33.0,38.0,31.0,23.0,85.0,nan,54.0,23.0,nan,9.0,nan,nan,nan,nan,nan,nan
8,41.0,34.0,26.0,35.0,27.0,16.0,82.0,nan,54.0,32.0,nan,4.0,nan,nan,nan,nan,nan,nan
9,38.0,30.0,22.0,18.0,14.0,8.0,74.0,nan,29.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,50.0,42.0,33.0,49.0,36.0,19.0,100.0,nan,56.0,25.0,nan,8.0,nan,nan,nan,nan,nan,nan
11,51.0,44.0,36.0,49.0,34.0,20.0,100.0,nan,31.0,24.0,nan,5.0,nan,nan,nan,nan,nan,nan
12,47.0,39.0,30.0,26.0,22.0,18.0,69.0,nan,34.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
13,56.0,45.0,34.0,33.0,29.0,25.0,70.0,nan,35.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
14,61.0,49.0,37.0,33.0,28.0,25.0,79.0,nan,27.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
15,68.0,55.0,42.0,37.0,33.0,27.0,65.0,nan,31.0,14.0,nan,5.0,nan,nan,nan,nan,nan,nan
16,76.0,59.0,41.0,44.0,40.0,35.0,76.0,nan,31.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,79.0,62.0,45.0,43.0,39.0,36.0,76.0,nan,24.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,83.0,66.0,49.0,44.0,40.0,37.0,74.0,nan,21.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,57.0,52.0,46.0,45.0,42.0,39.0,76.0,nan,66.0,21.0,nan,7.0,nan,nan,nan,nan,nan,nan
20,71.0,61.0,51.0,56.0,46.0,36.0,93.0,nan,38.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
21,70.0,60.0,50.0,58.0,53.0,43.0,100.0,nan,37.0,30.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,54.0,48.0,41.0,49.0,41.0,34.0,93.0,nan,61.0,25.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,60.0,49.0,38.0,43.0,38.0,34.0,86.0,nan,51.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
24,78.0,60.0,41.0,53.0,46.0,36.0,86.0,nan,40.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,83.0,71.0,58.0,61.0,54.0,50.0,77.0,nan,39.0,25.0,nan,7.0,nan,nan,nan,nan,nan,nan
26,68.0,55.0,42.0,55.0,42.0,38.0,100.0,nan,68.0,23.0,nan,7.0,nan,nan,nan,nan,nan,nan
27,49.0,45.0,41.0,43.0,39.0,34.0,89.0,nan,70.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
28,50.0,46.0,42.0,42.0,41.0,39.0,100.0,nan,74.0,22.0,nan,7.0,nan,nan,nan,nan,nan,nan
29,51.0,46.0,41.0,42.0,39.0,37.0,100.0,nan,66.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
30,48.0,46.0,43.0,45.0,42.0,37.0,100.0,nan,71.0,23.0,nan,7.0,nan,nan,nan,nan,nan,nan
