May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,48.0,42.0,35.0,33.0,26.0,20.0,76.0,nan,36.0,21.0,nan,5.0,nan,nan,nan,nan,nan,nan
2,44.0,40.0,35.0,29.0,25.0,22.0,70.0,nan,45.0,18.0,nan,7.0,nan,nan,nan,nan,nan,nan
3,52.0,43.0,33.0,28.0,24.0,19.0,70.0,nan,29.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
4,62.0,48.0,33.0,28.0,24.0,19.0,70.0,nan,20.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,70.0,54.0,38.0,32.0,29.0,25.0,58.0,nan,22.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,76.0,63.0,50.0,50.0,42.0,30.0,83.0,nan,38.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,60.0,53.0,45.0,50.0,44.0,40.0,86.0,nan,57.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
8,85.0,64.0,43.0,53.0,47.0,40.0,89.0,nan,26.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,77.0,70.0,62.0,60.0,56.0,49.0,87.0,nan,43.0,25.0,nan,5.0,nan,nan,nan,nan,nan,nan
10,82.0,71.0,60.0,57.0,52.0,46.0,90.0,nan,30.0,23.0,nan,4.0,nan,nan,nan,nan,nan,nan
11,64.0,54.0,43.0,52.0,46.0,36.0,93.0,nan,60.0,28.0,nan,6.0,nan,nan,nan,nan,nan,nan
12,55.0,49.0,42.0,41.0,37.0,30.0,89.0,nan,44.0,24.0,nan,9.0,nan,nan,nan,nan,nan,nan
13,73.0,61.0,49.0,60.0,47.0,31.0,100.0,nan,44.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,64.0,56.0,47.0,57.0,45.0,35.0,100.0,nan,43.0,30.0,nan,6.0,nan,nan,nan,nan,nan,nan
15,54.0,48.0,41.0,41.0,38.0,35.0,89.0,nan,50.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,60.0,52.0,44.0,40.0,35.0,30.0,76.0,nan,40.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,71.0,60.0,49.0,47.0,42.0,34.0,67.0,nan,40.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
18,75.0,66.0,57.0,50.0,46.0,40.0,67.0,nan,29.0,24.0,nan,6.0,nan,nan,nan,nan,nan,nan
19,72.0,62.0,51.0,63.0,57.0,46.0,100.0,nan,56.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,68.0,58.0,47.0,52.0,46.0,35.0,100.0,nan,36.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
21,73.0,58.0,43.0,47.0,44.0,40.0,89.0,nan,34.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,80.0,69.0,57.0,56.0,48.0,37.0,77.0,nan,21.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,70.0,61.0,52.0,52.0,48.0,46.0,83.0,nan,45.0,21.0,nan,7.0,nan,nan,nan,nan,nan,nan
24,67.0,57.0,47.0,48.0,46.0,42.0,93.0,nan,45.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
25,69.0,58.0,47.0,49.0,45.0,43.0,86.0,nan,39.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,75.0,66.0,56.0,51.0,44.0,38.0,72.0,nan,31.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,70.0,59.0,48.0,49.0,44.0,39.0,93.0,nan,33.0,32.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,68.0,58.0,48.0,48.0,45.0,40.0,93.0,nan,37.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
29,70.0,57.0,43.0,48.0,44.0,42.0,92.0,nan,37.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,74.0,60.0,46.0,51.0,46.0,41.0,100.0,nan,35.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,72.0,59.0,46.0,52.0,49.0,44.0,93.0,nan,49.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
