Feb Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,35.0,22.0,8.0,25.0,4.0,-8.0,78.0,nan,39.0,26.0,nan,8.0,nan,nan,nan,nan,nan,nan
2,22.0,14.0,5.0,3.0,-4.0,-8.0,66.0,nan,34.0,17.0,nan,7.0,nan,nan,nan,nan,nan,nan
3,41.0,32.0,22.0,28.0,18.0,5.0,92.0,nan,33.0,28.0,nan,8.0,nan,nan,nan,nan,nan,nan
4,35.0,20.0,4.0,28.0,13.0,-7.0,85.0,nan,60.0,24.0,nan,5.0,nan,nan,nan,nan,nan,nan
5,12.0,5.0,-3.0,7.0,1.0,-10.0,83.0,nan,50.0,14.0,nan,5.0,nan,nan,nan,nan,nan,nan
6,21.0,12.0,3.0,12.0,7.0,0.0,88.0,nan,49.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,20.0,14.0,8.0,12.0,8.0,2.0,88.0,nan,61.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
8,21.0,14.0,7.0,18.0,10.0,2.0,91.0,nan,61.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
9,28.0,23.0,18.0,24.0,20.0,10.0,92.0,nan,68.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
10,22.0,18.0,14.0,15.0,10.0,4.0,80.0,nan,54.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
11,22.0,17.0,11.0,17.0,13.0,2.0,84.0,nan,61.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
12,27.0,16.0,4.0,6.0,2.0,-1.0,83.0,nan,33.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,35.0,21.0,7.0,23.0,13.0,3.0,83.0,nan,38.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,44.0,34.0,24.0,40.0,34.0,22.0,100.0,nan,65.0,16.0,nan,6.0,nan,nan,nan,nan,nan,nan
15,48.0,43.0,38.0,43.0,38.0,31.0,100.0,nan,70.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,37.0,29.0,20.0,32.0,20.0,8.0,82.0,nan,39.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
17,35.0,26.0,17.0,31.0,22.0,9.0,92.0,nan,57.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,41.0,27.0,12.0,32.0,23.0,11.0,92.0,nan,64.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,60.0,49.0,37.0,56.0,46.0,32.0,100.0,nan,76.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,66.0,50.0,34.0,60.0,51.0,30.0,100.0,nan,78.0,25.0,nan,6.0,nan,nan,nan,nan,nan,nan
21,34.0,31.0,27.0,30.0,21.0,18.0,89.0,nan,54.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
22,40.0,35.0,29.0,35.0,29.0,22.0,85.0,nan,59.0,22.0,nan,8.0,nan,nan,nan,nan,nan,nan
23,44.0,39.0,33.0,41.0,36.0,28.0,93.0,nan,70.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,50.0,42.0,33.0,47.0,35.0,27.0,93.0,nan,70.0,25.0,nan,7.0,nan,nan,nan,nan,nan,nan
25,50.0,42.0,34.0,47.0,28.0,23.0,82.0,nan,41.0,32.0,nan,6.0,nan,nan,nan,nan,nan,nan
26,53.0,41.0,28.0,32.0,28.0,23.0,85.0,nan,35.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,62.0,51.0,39.0,38.0,34.0,28.0,82.0,nan,37.0,23.0,nan,9.0,nan,nan,nan,nan,nan,nan
28,59.0,48.0,37.0,46.0,37.0,34.0,85.0,nan,54.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
