Sep Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,84.0,74.0,64.0,69.0,66.0,64.0,100.0,nan,53.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,82.0,74.0,66.0,72.0,68.0,66.0,100.0,nan,69.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,80.0,73.0,66.0,72.0,59.0,53.0,89.0,nan,39.0,15.0,nan,6.0,nan,nan,nan,nan,nan,nan
4,84.0,72.0,61.0,62.0,57.0,53.0,87.0,nan,36.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,82.0,71.0,61.0,63.0,60.0,51.0,100.0,nan,35.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,84.0,72.0,60.0,63.0,61.0,59.0,100.0,nan,44.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,89.0,74.0,60.0,64.0,62.0,58.0,100.0,nan,36.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,91.0,76.0,61.0,70.0,66.0,61.0,100.0,nan,46.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,90.0,79.0,68.0,72.0,69.0,67.0,100.0,nan,46.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,89.0,77.0,63.0,71.0,66.0,55.0,97.0,nan,44.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,75.0,64.0,55.0,58.0,51.0,42.0,83.0,nan,33.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,78.0,64.0,50.0,58.0,52.0,49.0,100.0,nan,37.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,77.0,65.0,53.0,59.0,55.0,51.0,100.0,nan,42.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,82.0,68.0,55.0,62.0,57.0,53.0,100.0,nan,38.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,72.0,63.0,55.0,63.0,57.0,52.0,93.0,nan,57.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,75.0,62.0,50.0,56.0,52.0,49.0,100.0,nan,38.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,79.0,65.0,51.0,62.0,56.0,50.0,97.0,nan,42.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,80.0,70.0,62.0,70.0,65.0,58.0,100.0,nan,68.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,80.0,76.0,73.0,75.0,72.0,69.0,100.0,nan,77.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
20,72.0,68.0,63.0,72.0,68.0,62.0,100.0,nan,84.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
21,80.0,70.0,59.0,63.0,57.0,43.0,97.0,nan,40.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,66.0,57.0,48.0,51.0,45.0,36.0,100.0,nan,34.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,69.0,54.0,39.0,45.0,42.0,40.0,100.0,nan,35.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,61.0,51.0,42.0,46.0,41.0,38.0,100.0,nan,46.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,73.0,58.0,44.0,55.0,47.0,40.0,100.0,nan,30.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,75.0,62.0,48.0,62.0,53.0,49.0,100.0,nan,38.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,66.0,60.0,53.0,63.0,57.0,44.0,100.0,nan,67.0,15.0,nan,6.0,nan,nan,nan,nan,nan,nan
28,73.0,62.0,52.0,62.0,57.0,47.0,96.0,nan,57.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,84.0,73.0,62.0,66.0,63.0,59.0,100.0,nan,53.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,84.0,76.0,69.0,63.0,57.0,50.0,73.0,nan,31.0,21.0,nan,7.0,nan,nan,nan,nan,nan,nan
