Sep Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,82.0,68.0,55.0,64.0,60.0,56.0,100.0,nan,45.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,84.0,74.0,63.0,64.0,62.0,59.0,93.0,nan,46.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,84.0,72.0,63.0,67.0,64.0,59.0,97.0,nan,45.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,82.0,72.0,62.0,67.0,63.0,60.0,100.0,nan,51.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,84.0,75.0,66.0,68.0,66.0,64.0,94.0,nan,56.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,80.0,69.0,57.0,72.0,65.0,55.0,94.0,nan,59.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
7,73.0,65.0,57.0,55.0,51.0,45.0,93.0,nan,41.0,13.0,nan,5.0,nan,nan,nan,nan,nan,nan
8,70.0,64.0,59.0,57.0,54.0,51.0,90.0,nan,53.0,20.0,nan,8.0,nan,nan,nan,nan,nan,nan
9,73.0,64.0,55.0,58.0,55.0,49.0,96.0,nan,48.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,80.0,66.0,51.0,59.0,54.0,50.0,100.0,nan,36.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,82.0,70.0,57.0,60.0,57.0,53.0,93.0,nan,41.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,84.0,70.0,57.0,61.0,58.0,55.0,96.0,nan,38.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,84.0,72.0,59.0,66.0,61.0,55.0,93.0,nan,46.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,84.0,74.0,64.0,67.0,64.0,61.0,87.0,nan,51.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
15,86.0,76.0,69.0,69.0,66.0,64.0,93.0,nan,53.0,26.0,nan,8.0,nan,nan,nan,nan,nan,nan
16,73.0,67.0,61.0,67.0,56.0,48.0,96.0,nan,44.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
17,70.0,62.0,55.0,52.0,49.0,45.0,86.0,nan,43.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,84.0,64.0,53.0,59.0,52.0,45.0,93.0,nan,34.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,79.0,66.0,55.0,57.0,49.0,45.0,90.0,nan,32.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,78.0,64.0,51.0,53.0,47.0,41.0,84.0,nan,28.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
21,82.0,68.0,53.0,54.0,50.0,46.0,93.0,nan,28.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,82.0,67.0,54.0,55.0,52.0,50.0,86.0,nan,35.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,84.0,70.0,55.0,56.0,53.0,51.0,93.0,nan,32.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,82.0,72.0,62.0,59.0,51.0,40.0,78.0,nan,23.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
25,73.0,62.0,52.0,52.0,50.0,47.0,93.0,nan,41.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,72.0,60.0,48.0,53.0,48.0,40.0,100.0,nan,33.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,75.0,60.0,46.0,52.0,48.0,41.0,96.0,nan,29.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,66.0,59.0,52.0,56.0,48.0,41.0,86.0,nan,50.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,73.0,56.0,48.0,47.0,45.0,40.0,86.0,nan,43.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,72.0,55.0,39.0,51.0,41.0,33.0,100.0,nan,26.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
