Feb Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,24.0,18.0,11.0,16.0,12.0,3.0,84.0,nan,65.0,20.0,nan,8.0,nan,nan,nan,nan,nan,nan
2,12.0,9.0,6.0,3.0,-1.0,-8.0,79.0,nan,50.0,22.0,nan,6.0,nan,nan,nan,nan,nan,nan
3,11.0,3.0,-6.0,3.0,-6.0,-17.0,76.0,nan,44.0,32.0,nan,9.0,nan,nan,nan,nan,nan,nan
4,2.0,-2.0,-6.0,-12.0,-14.0,-18.0,68.0,nan,48.0,22.0,nan,8.0,nan,nan,nan,nan,nan,nan
5,5.0,-2.0,-10.0,-12.0,-16.0,-20.0,64.0,nan,44.0,18.0,nan,7.0,nan,nan,nan,nan,nan,nan
6,10.0,3.0,-5.0,4.0,-3.0,-15.0,87.0,nan,51.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,11.0,5.0,-2.0,-3.0,-6.0,-11.0,79.0,nan,50.0,17.0,nan,8.0,nan,nan,nan,nan,nan,nan
8,11.0,4.0,-4.0,-3.0,-9.0,-15.0,66.0,nan,51.0,17.0,nan,9.0,nan,nan,nan,nan,nan,nan
9,17.0,10.0,2.0,-1.0,-5.0,-10.0,63.0,nan,46.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
10,13.0,6.0,-1.0,-2.0,-5.0,-9.0,72.0,nan,53.0,14.0,nan,8.0,nan,nan,nan,nan,nan,nan
11,27.0,16.0,5.0,22.0,10.0,-5.0,69.0,nan,56.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,31.0,28.0,25.0,27.0,24.0,21.0,92.0,nan,75.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,27.0,21.0,15.0,22.0,17.0,12.0,92.0,nan,71.0,30.0,nan,13.0,nan,nan,nan,nan,nan,nan
14,21.0,14.0,7.0,10.0,6.0,-2.0,88.0,nan,53.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
15,14.0,8.0,2.0,0.0,-4.0,-7.0,69.0,nan,53.0,18.0,nan,8.0,nan,nan,nan,nan,nan,nan
16,19.0,8.0,-4.0,15.0,0.0,-10.0,80.0,nan,53.0,25.0,nan,9.0,nan,nan,nan,nan,nan,nan
17,26.0,21.0,16.0,18.0,14.0,8.0,92.0,nan,59.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,22.0,17.0,11.0,7.0,3.0,-5.0,73.0,nan,31.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,42.0,28.0,13.0,30.0,22.0,6.0,81.0,nan,53.0,31.0,nan,8.0,nan,nan,nan,nan,nan,nan
20,45.0,38.0,30.0,31.0,29.0,28.0,92.0,nan,53.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,48.0,36.0,23.0,35.0,30.0,23.0,92.0,nan,65.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,40.0,34.0,27.0,32.0,23.0,19.0,85.0,nan,52.0,31.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,33.0,28.0,23.0,22.0,19.0,14.0,81.0,nan,49.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
24,32.0,29.0,26.0,29.0,20.0,10.0,92.0,nan,46.0,30.0,nan,13.0,nan,nan,nan,nan,nan,nan
25,38.0,35.0,31.0,37.0,32.0,28.0,100.0,nan,85.0,23.0,nan,10.0,nan,nan,nan,nan,nan,nan
26,34.0,32.0,30.0,31.0,28.0,25.0,92.0,nan,78.0,18.0,nan,8.0,nan,nan,nan,nan,nan,nan
27,33.0,31.0,29.0,26.0,25.0,23.0,85.0,nan,66.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,35.0,32.0,28.0,28.0,26.0,24.0,85.0,nan,69.0,26.0,nan,0.0,nan,nan,nan,nan,nan,nan
