Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,64.0,56.0,48.0,54.0,49.0,47.0,100.0,nan,56.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
2,55.0,52.0,50.0,54.0,48.0,44.0,96.0,nan,67.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,55.0,52.0,48.0,47.0,45.0,42.0,87.0,nan,72.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,55.0,50.0,46.0,45.0,44.0,43.0,93.0,nan,69.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
5,57.0,52.0,46.0,55.0,51.0,44.0,100.0,nan,86.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,62.0,56.0,51.0,58.0,54.0,52.0,100.0,nan,84.0,9.0,nan,4.0,nan,nan,nan,nan,nan,nan
7,68.0,60.0,52.0,56.0,53.0,50.0,97.0,nan,63.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,73.0,60.0,48.0,55.0,51.0,45.0,100.0,nan,47.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,81.0,65.0,50.0,59.0,55.0,50.0,100.0,nan,43.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,82.0,74.0,66.0,68.0,61.0,58.0,76.0,nan,47.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
11,87.0,78.0,68.0,69.0,66.0,61.0,90.0,nan,48.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,86.0,74.0,63.0,68.0,65.0,62.0,100.0,nan,49.0,32.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,91.0,80.0,68.0,72.0,69.0,68.0,100.0,nan,52.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,91.0,80.0,69.0,72.0,68.0,64.0,93.0,nan,48.0,25.0,nan,6.0,nan,nan,nan,nan,nan,nan
15,77.0,70.0,64.0,69.0,62.0,56.0,96.0,nan,51.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,86.0,70.0,55.0,63.0,57.0,54.0,93.0,nan,43.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,87.0,71.0,55.0,64.0,56.0,51.0,96.0,nan,32.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,91.0,78.0,64.0,65.0,62.0,56.0,100.0,nan,30.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,84.0,74.0,66.0,67.0,62.0,55.0,68.0,nan,47.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
20,75.0,70.0,64.0,58.0,53.0,48.0,75.0,nan,44.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,69.0,64.0,59.0,61.0,55.0,49.0,96.0,nan,53.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,69.0,60.0,52.0,58.0,54.0,51.0,100.0,nan,66.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,73.0,62.0,51.0,55.0,53.0,50.0,100.0,nan,46.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,81.0,66.0,51.0,58.0,55.0,52.0,100.0,nan,39.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,84.0,72.0,59.0,62.0,59.0,57.0,93.0,nan,41.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,86.0,74.0,63.0,60.0,58.0,56.0,87.0,nan,36.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,87.0,75.0,63.0,64.0,61.0,57.0,90.0,nan,38.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,86.0,74.0,63.0,66.0,63.0,60.0,97.0,nan,41.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,87.0,76.0,66.0,65.0,64.0,63.0,87.0,nan,46.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
30,88.0,78.0,69.0,67.0,65.0,62.0,87.0,nan,43.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
