Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,79.0,71.0,62.0,66.0,62.0,57.0,93.0,nan,50.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,79.0,68.0,57.0,56.0,53.0,50.0,87.0,nan,37.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,84.0,70.0,55.0,57.0,54.0,49.0,93.0,nan,35.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,72.0,67.0,62.0,65.0,61.0,54.0,93.0,nan,57.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,79.0,70.0,61.0,63.0,57.0,50.0,93.0,nan,37.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,82.0,71.0,59.0,61.0,52.0,43.0,97.0,nan,28.0,26.0,nan,4.0,nan,nan,nan,nan,nan,nan
7,67.0,59.0,51.0,51.0,48.0,45.0,80.0,nan,48.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
8,70.0,61.0,52.0,52.0,47.0,43.0,83.0,nan,47.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
9,72.0,63.0,53.0,63.0,55.0,47.0,93.0,nan,56.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,90.0,77.0,63.0,68.0,63.0,60.0,100.0,nan,38.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,91.0,81.0,71.0,70.0,65.0,61.0,73.0,nan,41.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
12,79.0,69.0,59.0,70.0,43.0,31.0,74.0,nan,23.0,26.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,86.0,70.0,54.0,61.0,51.0,46.0,86.0,nan,32.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,87.0,76.0,64.0,70.0,63.0,54.0,82.0,nan,51.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
15,90.0,79.0,68.0,71.0,68.0,63.0,97.0,nan,44.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,77.0,70.0,63.0,64.0,60.0,55.0,84.0,nan,58.0,22.0,nan,7.0,nan,nan,nan,nan,nan,nan
17,85.0,73.0,61.0,57.0,53.0,49.0,90.0,nan,29.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
18,87.0,73.0,58.0,55.0,52.0,48.0,72.0,nan,27.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,89.0,76.0,62.0,63.0,58.0,55.0,73.0,nan,34.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,93.0,82.0,70.0,71.0,64.0,49.0,71.0,nan,34.0,24.0,nan,7.0,nan,nan,nan,nan,nan,nan
21,84.0,74.0,64.0,53.0,50.0,46.0,67.0,nan,28.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,76.0,72.0,67.0,68.0,64.0,54.0,100.0,nan,53.0,36.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,78.0,71.0,64.0,68.0,64.0,54.0,100.0,nan,67.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,82.0,72.0,62.0,62.0,57.0,53.0,84.0,nan,42.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
25,89.0,77.0,65.0,71.0,65.0,55.0,87.0,nan,50.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
26,90.0,81.0,72.0,72.0,66.0,56.0,87.0,nan,34.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,90.0,80.0,69.0,64.0,60.0,54.0,84.0,nan,29.0,24.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,71.0,64.0,57.0,61.0,53.0,36.0,81.0,nan,28.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
29,81.0,68.0,55.0,53.0,49.0,46.0,86.0,nan,33.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,78.0,68.0,57.0,60.0,53.0,48.0,78.0,nan,40.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
