May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,82.0,72.0,62.0,57.0,53.0,50.0,75.0,nan,34.0,24.0,nan,6.0,nan,nan,nan,nan,nan,nan
2,81.0,72.0,64.0,59.0,53.0,50.0,65.0,nan,38.0,16.0,nan,8.0,nan,nan,nan,nan,nan,nan
3,86.0,72.0,57.0,57.0,52.0,49.0,84.0,nan,31.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
4,60.0,54.0,48.0,54.0,47.0,40.0,93.0,nan,69.0,16.0,nan,7.0,nan,nan,nan,nan,nan,nan
5,66.0,56.0,48.0,52.0,46.0,38.0,89.0,nan,42.0,17.0,nan,7.0,nan,nan,nan,nan,nan,nan
6,75.0,65.0,55.0,63.0,49.0,35.0,97.0,nan,39.0,25.0,nan,5.0,nan,nan,nan,nan,nan,nan
7,66.0,60.0,55.0,63.0,56.0,43.0,96.0,nan,46.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
8,75.0,62.0,48.0,49.0,45.0,42.0,83.0,nan,34.0,24.0,nan,5.0,nan,nan,nan,nan,nan,nan
9,80.0,67.0,54.0,50.0,46.0,43.0,80.0,nan,28.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
10,81.0,69.0,57.0,62.0,55.0,43.0,94.0,nan,38.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,64.0,54.0,44.0,63.0,53.0,40.0,100.0,nan,71.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,57.0,47.0,39.0,41.0,34.0,26.0,86.0,nan,39.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,68.0,54.0,39.0,37.0,33.0,27.0,89.0,nan,25.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,66.0,54.0,44.0,53.0,46.0,36.0,86.0,nan,43.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,88.0,72.0,57.0,68.0,62.0,52.0,84.0,nan,43.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
16,89.0,76.0,64.0,69.0,63.0,51.0,90.0,nan,28.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,84.0,73.0,62.0,66.0,62.0,59.0,93.0,nan,43.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,80.0,66.0,57.0,58.0,41.0,32.0,59.0,nan,33.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
19,73.0,62.0,48.0,44.0,41.0,38.0,80.0,nan,30.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,77.0,62.0,48.0,54.0,48.0,41.0,80.0,nan,34.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,70.0,62.0,55.0,66.0,60.0,45.0,96.0,nan,56.0,21.0,nan,7.0,nan,nan,nan,nan,nan,nan
22,66.0,53.0,46.0,46.0,42.0,38.0,89.0,nan,46.0,25.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,63.0,53.0,44.0,46.0,43.0,39.0,93.0,nan,52.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
24,60.0,52.0,44.0,48.0,46.0,42.0,100.0,nan,58.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,59.0,50.0,44.0,48.0,45.0,39.0,100.0,nan,49.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,57.0,47.0,39.0,50.0,44.0,27.0,100.0,nan,41.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,61.0,54.0,48.0,52.0,49.0,46.0,96.0,nan,67.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,66.0,58.0,51.0,56.0,52.0,48.0,97.0,nan,57.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,62.0,53.0,44.0,52.0,44.0,33.0,97.0,nan,39.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,60.0,52.0,45.0,39.0,35.0,31.0,80.0,nan,36.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,62.0,54.0,48.0,50.0,46.0,34.0,96.0,nan,48.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
