Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,79.0,70.0,61.0,53.0,46.0,35.0,67.0,nan,29.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,80.0,68.0,55.0,51.0,48.0,44.0,81.0,nan,34.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,73.0,64.0,55.0,54.0,49.0,42.0,84.0,nan,39.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,77.0,64.0,52.0,53.0,45.0,38.0,89.0,nan,25.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,81.0,64.0,50.0,51.0,44.0,40.0,89.0,nan,27.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,82.0,68.0,55.0,60.0,53.0,48.0,77.0,nan,35.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,82.0,73.0,63.0,61.0,59.0,56.0,84.0,nan,44.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
8,84.0,72.0,61.0,58.0,55.0,50.0,87.0,nan,35.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
9,68.0,62.0,55.0,52.0,48.0,42.0,72.0,nan,50.0,18.0,nan,9.0,nan,nan,nan,nan,nan,nan
10,63.0,56.0,50.0,50.0,46.0,34.0,92.0,nan,42.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
11,64.0,58.0,52.0,47.0,43.0,37.0,83.0,nan,44.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
12,69.0,60.0,51.0,48.0,44.0,41.0,77.0,nan,42.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,75.0,62.0,48.0,52.0,48.0,47.0,93.0,nan,41.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,79.0,65.0,53.0,54.0,51.0,45.0,89.0,nan,37.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,86.0,74.0,63.0,61.0,58.0,53.0,75.0,nan,43.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,90.0,82.0,73.0,66.0,62.0,60.0,66.0,nan,39.0,15.0,nan,6.0,nan,nan,nan,nan,nan,nan
17,91.0,82.0,73.0,66.0,62.0,58.0,73.0,nan,36.0,18.0,nan,8.0,nan,nan,nan,nan,nan,nan
18,77.0,72.0,68.0,67.0,66.0,64.0,87.0,nan,64.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
19,87.0,78.0,68.0,66.0,58.0,53.0,87.0,nan,32.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
20,79.0,71.0,64.0,59.0,57.0,54.0,80.0,nan,46.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,87.0,78.0,70.0,71.0,68.0,61.0,87.0,nan,59.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,82.0,74.0,66.0,68.0,62.0,56.0,87.0,nan,42.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,73.0,66.0,59.0,56.0,47.0,34.0,75.0,nan,27.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,82.0,66.0,51.0,50.0,45.0,38.0,89.0,nan,23.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,73.0,67.0,62.0,63.0,57.0,47.0,94.0,nan,49.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,71.0,66.0,60.0,61.0,58.0,53.0,100.0,nan,61.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
27,81.0,70.0,60.0,59.0,56.0,52.0,83.0,nan,42.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,77.0,66.0,57.0,60.0,56.0,53.0,90.0,nan,46.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,80.0,67.0,55.0,57.0,53.0,49.0,97.0,nan,35.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,84.0,68.0,53.0,59.0,55.0,50.0,89.0,nan,42.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
